Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR7530
EA_G__MRC2	9.5108	6.3393	6.5107	6.1911	6.1822	8.4666	6.2529	6.9342	7.854	7.6383	6.094	6.172	6.5812	6.1795	6.195	7.3137	6.1677	6.3087	9.0085	6.3022	8.5076	6.5354	6.5896	6.3506	9.5693	6.3342	7.1079	6.09	6.0684	7.1592	6.5291	9.3857	7.4802	6.2204	6.9931	6.3224	7.244	6.7034
EA_G__NCOA1	5.7013	6.7755	6.6703	6.6969	6.4277	6.0786	5.9324	5.7387	6.4161	5.8875	7.9094	7.0539	6.4869	6.4759	6.3607	7.8082	6.9388	5.9142	6.0282	6.6922	6.4098	6.6132	6.8043	5.7002	7.2551	6.1257	5.8861	7.114	6.5122	6.1483	6.4088	5.6262	5.8318	7.6638	6.9219	6.5437	6.7976	6.3701
EA_G__CA5B	6.9369	6.4488	6.1867	9.8853	7.5831	6.9713	7.9319	6.4217	6.3814	6.7546	9.6441	7.5718	6.1838	6.8366	6.9423	8.1787	8.8326	6.433	6.1952	6.711	7.0975	6.8575	7.7441	6.8363	7.3049	8.2804	6.0855	9.1757	9.2258	6.4901	6.0825	6.6733	6.9056	6.6601	9.1303	7.0359	6.9926	7.6827
EA_G__RCAN1	8.3981	7.276	8.0798	5.9413	6.4002	7.1087	6.4347	7.2862	6.3657	5.7634	6.2422	6.0939	8.7301	6.7756	7.0026	6.3005	6.7504	6.2905	7.4835	8.3032	6.4474	6.406	5.9538	5.8937	7.2709	8.4988	6.5914	6.3447	7.4459	6.391	7.0801	7.2268	7.1898	6.2648	6.6532	7.4684	6.9513	7.1788
EA_G__HBEGF	5.9666	5.7872	5.8554	4.9068	5.1174	9.3836	5.6136	5.5354	5.6776	5.656	4.9952	5.2972	5.4996	7.5528	5.0328	5.0985	5.4704	6.2009	5.3934	5.9594	7.3717	5.279	5.3204	5.4978	6.9636	5.6472	9.1191	4.8683	5.0741	5.512	5.1797	6.7088	7.5776	5.4672	5.2866	5.6012	5.0115	5.4451
EA_G__UPP1	5.4549	6.1015	7.1467	5.448	5.1849	6.6737	5.1357	6.9823	5.3696	6.6838	4.889	5.2305	5.3407	7.397	7.9997	5.1198	5.3149	6.9028	6.8339	6.2895	6.4335	5.6169	5.127	5.3567	6.8378	5.5727	6.9034	4.8709	5.1442	5.3505	5.686	7.1274	6.8426	5.5523	5.5613	5.6237	5.6119	5.6276
EA_G__MLLT11	8.007	6.2008	6.3829	5.7109	6.3736	8.5988	6.3349	5.8992	6.8591	6.23	6.483	6.4591	6.2006	5.9117	5.5161	7.3871	5.3775	5.7241	9.0878	6.1603	7.701	6.562	7.0744	8.2785	9.0157	6.1221	6.7845	8.4846	7.7671	7.8246	5.9092	7.6861	8.4946	5.9528	6.7688	7.357	6.6726	6.743
EA_G__CYR61	8.1331	7.5718	8.3996	6.2582	7.0497	10.1687	6.6562	8.8232	5.6125	7.8517	6.3522	6.707	7.4924	9.2169	9.0015	6.8394	7.3317	9.6694	10.232	7.091	10.623	6.3553	5.982	5.9694	8.6434	7.9536	11.0584	6.8937	6.6652	6.7454	8.1061	10.084	9.4395	6.6971	6.4717	6.9073	7.0874	8.5372
EA_G__C8orf38	5.6885	5.2961	6.0933	7.4005	6.7728	6.36	6.5944	5.9578	5.9875	5.4229	9.7617	7.3404	6.8741	7.5749	6.428	6.7847	7.2665	6.1555	5.9237	6.2838	7.1253	6.3628	6.663	6.598	6.2003	6.087	6.4429	6.5667	6.5273	6.1991	5.3366	5.7822	5.8823	5.7278	5.6055	6.2685	6.7931	5.5767
EA_G__FLJ13236	6.7954	7.7967	5.1752	6.5348	9.1619	5.2503	7.904	4.8608	4.1423	4.6762	4.6083	8.1356	8.0704	5.1715	5.9532	8.082	7.4603	6.899	7.2254	6.3988	6.9516	7.6782	7.4126	6.2302	6.3646	5.057	6.6025	8.0168	7.6279	6.7583	5.2131	5.2002	4.8706	7.998	8.4853	7.9546	8.5294	5.7201
EA_G__CDYL2	7.3631	7.0718	8.1386	8.2646	8.9194	5.849	8.0675	5.272	5.5548	5.3771	8.4468	8.5447	5.8033	5.7744	7.8384	8.2642	8.1388	5.639	5.5573	5.97	6.2366	8.7179	8.367	8.0456	5.4427	8.2305	6.9612	8.487	8.1416	7.5519	7.1617	5.9508	6.3854	8.3072	7.6963	7.086	7.575	8.1768
EA_G__CDH1	9.4474	3.8156	9.8271	10.2402	10.823	4.1816	8.2155	9.3623	7.7169	4.0645	9.8984	10.4438	8.4461	9.4381	9.6232	10.1534	4.383	8.3525	4.2405	9.6597	4.2637	9.9596	10.2763	6.5768	4.0202	10.0856	3.8114	11.1983	10.3286	7.0185	4.1026	4.9675	4.0229	9.5589	9.2285	9.8379	9.9968	5.7449
EA_G__SLC24A3	6.1884	5.8567	4.866	7.6921	8.927	4.9069	8.2005	5.4026	8.4196	5.6591	7.088	7.3408	6.854	4.81	5.1148	6.8799	7.4995	5.2071	4.6949	7.2516	7.5909	6.3113	7.6462	7.4927	4.6514	6.4122	4.8684	7.4147	6.5707	7.3839	6.6887	4.7718	4.925	7.853	7.3459	7.4011	6.4345	9.5214
