Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__MEX3A	6.9085	6.1795	5.701	6.7054	8.166	6.6277	7.1697	5.6068	8.748	6.6212	4.9417	5.7638	7.7913	5.7301	5.8253	6.9167	6.2928	7.4725	6.6572	5.8291	6.7018	6.6933	6.635	6.7528	5.7599	5.5121	6.199	6.6456	5.51	5.887	5.9952	6.5633	5.9186	5.6607	6.2936	6.2476	5.9397	6.663
EA_G__RHOBTB3	6.8543	6.5474	7.4704	5.4411	6.1739	7.0789	7.5618	4.4781	5.2445	7.2688	6.5487	9.8641	7.4908	7.8144	7.5197	6.9526	6.6402	6.8244	6.9868	7.0553	7.6878	7.5053	6.8792	4.5866	6.1834	8.5237	3.908	6.9359	7.1391	7.2233	7.0365	7.012	6.6676	7.2343	5.2581	7.6606	5.5109	4.7252
EA_G__TP53	5.7292	8.0697	9.7741	9.491	8.7114	11.1255	9.1072	10.6802	10.468	10.2335	7.4818	9.4006	6.1339	6.3833	9.6285	9.4924	6.6471	9.2941	9.5478	8.7205	9.6663	8.1214	6.0538	7.9739	6.9703	8.6801	7.4081	8.8461	9.8908	10.5753	8.4554	6.6962	9.7631	6.4265	9.2768	9.1729	8.2932	9.1528
EA_G__FAM83A	6.2667	9.2665	6.9613	6.4079	5.4584	5.1123	5.3789	5.0616	9.4749	5.205	6.0218	6.385	5.005	7.37	6.5828	7.5888	5.9004	5.0462	6.8265	5.0033	5.9803	5.2402	4.9435	5.8912	5.7117	4.9014	6.4144	6.7959	5.5079	6.2875	5.5004	5.4083	5.8496	5.8332	5.7875	5.6898	5.2744	5.1521
EA_G__PEG10	7.5938	8.4237	4.9697	9.4047	10.8894	9.8295	5.0635	4.9456	6.4695	8.2184	10.4563	9.4316	10.9411	8.226	8.4791	10.7977	9.6944	8.2742	7.3161	8.5317	4.9175	9.4605	10.6777	9.8791	9.049	5.9308	12.1461	8.6123	8.2909	10.2006	9.5417	9.8494	5.6315	7.8759	9.1193	9.7808	6.7363	7.7367
EA_G__TSPAN12	8.1459	4.8065	5.8963	7.7101	6.1921	4.3818	4.2948	4.7016	6.0141	4.4727	8.3821	5.7973	5.0621	4.4833	5.7382	8.3077	6.0146	4.17	5.5669	4.8314	5.8543	4.838	4.91	10.0466	8.0057	8.1337	5.1424	5.347	5.4176	6.1065	4.1776	9.0237	6.801	6.3377	6.1741	6.5665	5.9616	6.0829
EA_G__GTF2H2	5.0168	6.2007	6.1545	5.4935	6.4197	7.134	7.0588	5.2525	6.1047	5.9034	6.7451	6.7485	5.7983	6.458	5.5018	6.5077	6.2479	6.4542	5.9592	7.1931	6.3349	5.6664	6.2029	5.0151	4.5368	7.9252	4.7259	6.7036	5.6078	5.7591	8.0914	6.4786	5.2863	6.4758	6.9225	6.3934	6.5748	6.2038
EA_G__PKP2	6.7495	7.5495	8.6533	7.7015	6.9657	4.7456	7.4996	8.2026	6.6322	5.3578	6.7218	7.065	6.41	8.1324	7.2123	7.5238	8.6177	4.7553	7.1983	4.4923	6.4169	6.5739	4.4958	6.8716	7.5323	6.088	5.4561	7.1349	5.0147	7.1472	5.3546	6.9558	8.4247	7.5975	7.0049	7.4082	6.4209	6.8372
EA_G__DST	5.7695	5.6314	6.6489	5.8496	6.8365	6.522	5.4187	7.8516	4.2306	7.0187	7.1174	7.453	5.4133	7.5451	7.2884	6.3799	7.9233	6.8408	6.4526	8.5037	5.7353	5.4619	7.1812	6.4687	7.1402	8.3095	5.1303	5.9384	9.1508	6.632	8.1101	5.6277	8.0696	6.6125	6.5333	5.4791	6.8436	5.1731
EA_G__SAT1	9.6344	7.1856	7.0784	8.5647	5.7801	6.2256	5.0978	6.9633	5.0015	5.936	8.7038	5.3289	6.1538	6.9544	7.7947	8.9141	9.673	7.1432	8.4228	5.6257	6.2945	7.3281	6.9265	8.3603	8.3079	7.4734	4.8276	6.5373	7.3396	8.7211	5.0473	5.2257	7.5962	9.3788	7.7302	6.4651	4.7563	7.7445
EA_G__PLCB1	6.4221	5.2373	4.0511	6.0303	7.481	6.0417	3.957	6.6046	6.021	6.8197	4.0873	6.3016	6.6798	4.0717	5.9303	4.4982	4.7203	8.1615	7.4687	8.739	7.8823	4.3357	4.3	6.0516	4.7943	4.8304	5.7997	5.8301	5.7799	5.2577	4.1843	6.0416	6.7266	6.5736	7.0923	7.5776	4.5869	5.4937
EA_G__FAM83B	6.3988	4.2489	8.0882	7.5482	6.1591	7.1767	8.1613	8.9338	7.3558	6.2679	8.1672	9.0873	5.885	9.7395	9.0246	4.7067	9.3121	4.5395	8.5196	4.3005	9.9937	5.4213	5.593	7.5611	10.6464	7.693	6.9275	5.2107	4.5717	8.9613	4.6842	8.0655	8.6428	7.971	7.8105	4.9443	9.305	8.0142
EA_G__CRABP1	4.8226	5.1661	4.8173	4.9957	7.7027	4.9595	10.7418	4.8742	4.8406	4.564	5.0847	4.6772	8.4409	6.756	5.0858	5.3617	5.5451	4.3649	5.7906	4.9128	8.0664	9.4595	6.9542	9.1514	7.22	6.4765	5.9732	5.6534	4.863	5.1217	4.772	5.0576	5.023	5.3886	5.7072	9.7499	7.0687	5.8284
