Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
EA_G__PLS3	8.5024	8.5034	5.8148	7.2577	10.2417	6.775	9.5683	10.178	8.0677	8.6415	8.9161	8.5303	8.6841	9.4534	9.3802	9.6655	3.6126	9.0918	10.7811	10.4548	9.9395	9.3095	7.2571	2.9423	2.9913	8.6509	6.9315	9.6195	7.9502	9.2696	9.0541	7.3506	8.6755	10.095	9.637	8.4954	9.0071	6.3094	8.0676	7.7958	3.0837	5.4175	7.5616	8.7272	8.325
EA_G__TSEN54	8.1719	8.2347	7.9326	8.2435	7.3471	8.602	7.9961	8.0255	7.8688	7.7773	7.9281	8.6685	8.0825	8.1462	7.6475	7.6268	8.5393	7.7482	8.202	7.3186	7.7329	7.1781	9.233	9.0618	7.7048	7.5306	7.8915	7.7392	8.7507	7.4928	7.4268	9.2291	8.6467	7.2748	7.5815	7.3676	7.6907	7.6974	7.7498	8.2297	8.3159	11.2902	8.2921	7.5444	8.5669
EA_G__ROR1	5.1251	5.3372	5.2175	4.9534	6.5973	5.439	6.7696	7.28	10.4317	8.9012	4.743	5.6664	5.7236	6.7942	8.3774	7.9003	5.2403	4.7319	7.7308	6.1285	7.9918	9.5253	5.5238	5.0728	7.0798	7.725	5.7081	9.3852	4.8051	6.7134	6.9942	5.6738	5.391	7.1617	5.9191	7.2763	8.7107	5.8718	6.0622	5.2006	5.3266	6.4913	4.955	5.8288	5.4154
EA_G__ANTXR1	5.3638	5.021	6.2803	4.3643	8.3203	6.4484	7.697	7.9829	6.8212	6.5266	4.5447	5.1114	6.4815	6.0603	7.8974	7.4695	4.5918	6.41	7.5128	8.3548	8.5385	8.4815	6.8244	5.5532	4.8534	9.1346	5.6954	7.7099	4.9336	5.5327	8.2659	5.7268	5.1019	6.795	7.686	8.0006	8.3681	6.3598	6.7588	6.3156	5.2435	4.7063	4.9089	5.2067	5.114
EA_G__APOBEC3C	4.9575	4.3796	5.0079	4.3185	4.6432	3.9746	8.5489	6.252	7.5233	7.2601	4.2715	4.3922	4.4322	7.6314	8.0586	6.1462	4.3766	4.9659	6.7292	8.0813	6.5526	7.1948	4.5514	4.7951	5.3873	7.4161	4.4358	7.5841	7.6699	8.5436	6.6585	4.8073	4.7309	9.1981	4.6374	7.9769	7.4662	5.0818	8.9395	4.9317	4.2818	4.981	4.5283	4.8494	4.3357
EA_G__BEX4	8.9361	5.6188	6.1791	8.0725	4.2978	5.6652	5.3066	4.8114	7.3642	5.1709	6.8946	5.837	4.4937	5.8369	5.2212	6.516	6.1857	5.2613	6.1891	8.0966	4.6612	4.7209	7.2116	6.2217	8.6899	6.7259	8.1452	4.8113	8.149	8.1283	5.9711	5.8092	5.6201	5.417	7.0737	5.2215	4.8546	6.8738	7.9242	6.2657	8.1437	7.0682	8.1866	8.1282	6.8652
EA_G__PREX1	7.9747	10.1507	9.9138	10.6924	5.4353	7.9321	7.6176	6.5773	5.3663	7.5136	7.7622	8.9501	7.3264	7.5541	6.2879	6.5214	6.2959	8.8888	5.6941	6.1752	5.4909	7.4025	11.1024	10.0746	8.4321	7.209	8.8094	5.6266	9.2822	8.1605	7.7654	6.6959	10.2442	5.6497	5.5217	5.7424	8.1249	6.3237	8.9225	9.8773	8.7623	9.0802	7.3444	10.0143	7.4778
EA_G__C14orf132	6.4609	5.5705	8.4638	8.6792	5.3165	8.0379	6.797	5.3487	4.9919	6.7504	5.1462	8.7482	5.8088	5.8244	5.8882	5.3831	5.7346	6.3701	5.2943	5.7783	5.1583	6.8672	7.7373	7.8371	8.3405	7.3807	8.2325	5.0814	7.7743	7.4253	6.5511	6.6213	6.3315	5.4117	6.2419	5.8516	7.0244	6.8051	6.305	6.8849	8.9104	7.6033	5.8417	8.0493	5.7646
EA_G__CDK6	7.6087	5.6752	5.5281	6.6409	6.9192	3.5988	6.7525	8.8538	6.6364	7.2937	6.125	4.3767	6.4356	7.7804	7.8837	6.7871	6.4649	6.8198	7.98	7.6771	7.5952	8.5033	5.7383	5.2545	4.2023	8.4198	6.2835	7.8416	5.6047	6.5876	6.1665	4.1059	6.5554	7.7945	8.4041	6.9278	7.5734	6.8846	7.8478	4.3604	4.162	6.3636	3.7064	5.6158	4.1368
EA_G__ELL2	6.8523	5.9738	5.4848	6.3876	9.0239	5.5223	7.9779	7.8213	6.2642	7.1177	7.3842	5.1636	5.7827	7.7042	7.7394	8.4219	6.5212	7.63	8.1983	8.1004	6.8832	8.7843	4.8266	5.4662	7.4627	7.4624	6.6419	7.7774	5.8231	9.4469	8.0832	6.9037	5.7191	8.9563	7.9853	7.358	9.1605	9.5203	6.8344	5.428	6.024	7.8429	5.6388	6.764	5.8718
EA_G__LOC89944	9.5309	8.1245	5.7328	7.9913	5.1728	6.3567	6.9182	6.7604	7.7169	6.6277	5.2785	8.556	8.0674	9.0918	8.6779	5.3934	5.356	8.3861	7.4216	5.908	5.8739	4.9956	7.2981	6.844	7.6157	5.59	7.8318	5.5176	6.336	8.0634	6.7937	6.3137	7.5949	6.4561	5.8909	5.4548	7.1899	9.1575	8.6427	8.3475	8.8721	7.9322	5.9566	6.4662	8.4921
EA_G__DST	5.7695	5.6314	5.8496	6.8365	6.522	5.4187	7.2984	7.8516	4.2306	7.0187	7.1174	7.453	5.4133	6.8962	7.5451	7.2884	7.3602	6.3799	7.9233	6.8408	6.4526	8.5037	5.407	5.7353	5.4619	7.1812	6.4687	7.7141	7.1402	8.3095	6.7303	5.1303	5.9384	7.8887	9.1508	6.632	8.1101	5.6277	6.6125	6.5333	5.4791	6.1783	6.8436	7.8944	5.1731
EA_G__IMPA1	6.2638	5.64	6.7796	7.4844	8.5002	7.0914	6.9401	8.1413	6.4712	8.0437	10.1349	7.6023	7.4605	7.4336	7.2358	7.1067	6.8733	6.3577	7.343	9.2356	6.7086	8.7102	6.2201	6.475	7.7587	8.1433	6.6791	8.6678	6.847	6.3373	7.476	6.3375	5.9252	7.8892	7.897	7.4781	8.082	6.392	7.6818	7.4752	6.9355	6.6468	7.3998	5.4152	7.6444
EA_G__SLC4A8	6.1742	5.1797	5.3497	7.4196	5.5149	7.0729	6.2833	4.7902	4.6576	4.9181	7.7206	6.37	4.0643	4.2266	4.0046	4.6154	4.2819	6.0253	4.535	5.4474	4.6531	5.2518	6.505	6.7182	8.218	5.5374	7.7695	3.9907	5.7194	7.9154	4.9126	6.8865	5.8841	3.9941	5.7113	4.5121	4.2936	7.778	8.222	6.0153	9.3627	7.4555	6.9785	7.3203	6.2058
EA_G__PSMB9	6.9429	6.3563	5.3201	7.5091	7.2465	6.3855	7.0012	5.8205	7.8684	9.4407	4.9445	7.0672	6.7022	8.0447	8.7527	9.6395	7.5638	5.8946	6.8749	8.4528	10.2444	6.664	6.645	4.9041	6.606	8.7138	5.6229	7.5196	5.8368	7.0753	6.0337	5.6665	6.2453	8.0425	6.8692	7.5742	8.1866	6.6373	7.3004	8.0178	5.5168	7.021	6.066	5.5524	4.8427
EA_G__SLC2A10	9.6698	7.9608	10.7486	9.8002	6.8356	10.1507	8.164	6.4242	5.8402	6.8335	11.2291	7.9253	8.8672	6.5273	6.8478	6.7776	6.6976	10.3875	5.8592	8.0537	7.7648	6.767	8.3111	8.0817	7.3966	8.4211	10.4721	6.001	10.875	10.7141	7.1378	9.5163	8.1679	5.5527	8.2501	6.9448	5.9196	11.5189	9.9163	7.1665	9.4465	10.1347	10.4236	11.0404	9.4271
