Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
EA_G__LOC124220	8.934	7.4736	8.0215	8.0349	5.4055	8.8675	5.5477	5.9469	5.7857	5.9124	7.9883	7.6471	5.8141	6.6156	6.0411	5.8713	8.307	7.8574	5.7468	5.5707	7.5995	6.7221	8.0322	7.9345	8.4762	5.7493	7.8782	7.1355	9.1801	8.6759	5.882	7.6816	5.7451	7.9156	5.9907	6.0924	6.2257	6.4568	6.7771	8.2349	8.0054	8.3906	8.6771	7.3629	7.7702
EA_G__SLC9A3R1	10.8284	10.4111	10.9597	12.1339	8.7121	11.6704	9.4501	8.938	9.3166	7.8985	11.4576	12.2228	9.8097	9.4062	9.2397	9.4918	10.8515	10.1126	9.0002	8.2983	10.211	7.7047	11.5891	11.5335	10.9539	7.5431	10.175	9.0363	12.6162	10.3807	7.9427	11.9228	10.2745	10.702	8.1113	7.9923	8.16	8.1862	10.5458	10.2024	10.9276	11.5295	11.2349	11.3238	11.858
EA_G__KIAA1161	7.5336	8.5935	8.0995	8.3119	5.961	8.8216	5.6557	7.4813	5.558	4.978	6.8816	8.6918	5.8828	6.5016	6.3173	6.5558	8.3268	10.7468	7.2179	6.3672	7.4519	5.3607	6.8104	6.6223	7.1909	5.4313	7.8995	5.6807	9.0698	8.6115	4.4892	7.4427	6.7264	9.0701	6.5382	5.6673	5.8678	4.9556	7.0576	7.8144	8.5458	7.9949	8.0196	7.4192	6.7034
EA_G__PKP2	6.7495	7.5495	7.7015	6.9657	4.7456	7.4996	6.7204	8.2026	6.6322	5.3578	6.7218	7.065	6.41	8.847	8.1324	7.2123	6.4488	7.5238	8.6177	4.7553	7.1983	4.4923	6.545	6.4169	6.5739	4.4958	6.8716	7.8134	7.5323	6.088	6.8972	5.4561	7.1337	7.1349	9.5748	5.0147	7.1472	5.3546	6.9558	7.5975	7.0049	7.4082	8.6442	6.4209	6.8372
EA_G__FAM126A	6.3818	4.5794	7.153	4.3663	8.6294	6.0958	8.0276	6.8821	7.6573	8.533	3.5746	4.3202	7.0721	8.1954	7.9781	8.1677	5.2757	4.5708	7.4622	7.9965	6.1561	9.3766	5.7628	4.3029	2.9915	9.1447	5.9057	7.9583	6.4401	5.131	9.254	4.7284	7.8763	4.2539	8.293	8.47	5.9557	9.0501	6.6312	6.138	7.4823	6.8191	3.0637	6.6976	7.2663
EA_G__FLJ21963	3.8881	7.8605	4.6116	6.1423	3.7657	5.0162	3.7605	4.5512	5.6827	3.7178	4.4978	9.5439	3.6912	5.7086	3.5851	3.9281	7.619	4.6064	3.5861	6.6594	3.5759	3.7577	7.802	8.4698	4.9766	5.1395	6.5431	7.8168	3.4088	7.7311	4.4241	4.3437	3.3501	8.0313	3.9041	3.8298	6.2589	3.7492	3.5876	4.2478	7.0205	7.0556	8.0734	4.1461	3.5797
EA_G__PXMP4	8.0834	8.9046	5.2497	7.8843	7.8873	8.6164	7.4129	7.7706	6.0246	7.3667	9.3589	8.5329	7.1034	7.101	7.44	6.2103	8.5107	5.7135	7.4931	7.5792	5.2531	7.1659	8.1338	8.2939	8.034	7.0092	9.098	6.47	8.0163	8.7127	6.7662	8.6084	5.1091	8.904	6.6577	7.1319	7.7288	6.6909	8.0563	8.1254	9.6272	4.7825	5.7751	9.4987	7.5512
EA_G__S100A3	4.4039	5.3412	4.3282	4.2059	5.6023	4.3749	8.6903	6.6335	6.9833	6.4591	4.2712	4.0737	4.3869	5.8534	6.0279	5.0119	4.6463	4.5809	6.6095	7.8016	4.8696	7.5816	4.6237	4.3372	4.3606	8.4498	4.8696	6.8913	4.202	4.152	7.0581	5.2117	8.3333	6.455	7.2524	6.0566	6.3403	6.9666	4.1692	4.8878	4.3484	4.3764	5.5405	4.3595	4.5112
EA_G__SERPINA1	8.4084	6.0914	6.926	8.1427	4.8651	4.5021	5.308	5.2038	4.6022	5.1433	4.7795	6.7707	5.5588	4.9026	5.508	4.7926	5.1552	5.0654	5.4058	4.9145	5.1516	4.6727	5.6835	5.3772	4.9932	4.8065	5.1902	4.6721	8.3465	5.8342	4.859	5.5057	4.8716	5.5763	7.8759	4.8264	5.8225	5.1528	5.5648	6.9738	8.3627	7.8604	7.4293	7.3305	5.8752
EA_G__LOX	4.0749	4.3528	4.4889	3.8604	11.8002	3.914	6.3952	6.6246	6.7898	7.5504	3.5531	4.0064	8.533	6.0924	5.0426	3.8545	4.5193	6.5508	7.0379	9.1134	6.2016	11.1703	4.2671	4.1135	3.8759	8.062	4.1215	7.2851	4.4892	3.6242	7.0178	4.1681	5.7811	3.9021	6.8512	11.4184	9.062	6.3026	3.8599	4.396	3.8898	4.255	3.6751	5.2499	3.5707
