Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__CLCA2	3.7227	5.4736	3.9769	9.3552	3.0331	7.4614	6.097	3.0589	6.5649	3.8866	3.2461	9.319	3.2042	6.093	7.2526	4.7088	7.1879	5.0093	3.2672	3.3105	3.8089	3.6486	3.4346	3.2976	3.1401	7.5734	3.3498	10.4045	11.2438	10.9482	4.7001	4.2562	4.0675	3.7224	10.9404	10.2878	3.5201	4.2438	8.0633	4.1802
EA_G__KRT4	9.7219	10.5022	8.4322	5.6982	7.0224	4.8566	5.1172	5.7409	5.386	5.2757	7.0767	6.0104	5.2304	8.9052	9.3809	7.0895	11.8887	5.8807	5.2835	10.6574	5.3413	5.9723	5.2885	5.2528	4.9354	6.8817	5.3237	5.0901	7.7435	6.0481	10.6123	5.1709	5.6639	5.5898	6.5852	7.4726	6.6242	7.5048	5.938	5.2551
EA_G__SNTB1	6.5174	9.0401	5.3419	5.6897	6.342	6.1939	5.2882	6.8135	7.5273	6.0278	5.2358	6.1383	5.151	5.3682	6.147	5.4435	7.9611	5.7358	5.328	7.1994	8.4768	5.5713	5.5621	5.3527	6.4132	5.801	6.978	5.4164	7.0513	5.7734	7.048	7.0599	6.3088	7.2352	8.8972	5.898	5.5137	5.5402	5.8036	6.2733
EA_G__MPP2	6.1691	6.2134	6.0063	5.3463	8.2711	6.776	6.3588	6.5849	5.6217	6.5627	4.9561	8.105	6.8007	6.2796	6.0538	5.9262	5.5303	5.8452	7.423	6.4743	6.5471	6.62	6.5894	8.2721	6.6649	6.0583	6.5197	5.5904	5.3955	6.0175	5.7428	5.9556	5.4923	5.7716	5.6234	7.7935	6.9553	7.2392	5.8677	6.9831
EA_G__TDRD1	8.5848	9.3247	3.1454	3.3968	3.1632	3.5355	3.3401	3.3948	4.4019	3.5965	3.301	8.6857	3.3682	3.5632	3.076	8.7778	8.1653	3.6578	3.2298	7.6194	3.3586	6.8114	6.3366	3.5619	3.1603	4.5212	3.2631	3.3948	3.5465	3.9365	8.8592	3.7634	3.5056	3.5987	8.1851	8.6035	3.8299	3.4964	3.6653	3.2557
EA_G__TGFA	6.3629	5.5145	7.6284	6.1973	5.791	5.3757	5.4324	8.1416	6.3221	4.9146	6.4146	7.4134	5.2882	8.9068	8.1292	7.6788	7.2032	7.1936	5.1957	7.2558	5.0225	5.8052	5.81	6.5098	5.1393	6.0162	6.7124	6.3208	5.4841	5.7603	5.7866	5.3489	6.6355	5.6539	6.7139	6.6719	6.4806	6.862	6.463	6.1656
EA_G__APLP1	6.6556	6.7871	7.1358	7.5477	8.5018	8.7495	8.9122	6.9223	6.2862	8.4279	6.6353	7.8881	7.5909	6.545	6.4702	6.3941	6.2521	7.4983	8.1402	6.7957	8.3393	7.3509	7.0396	10.3161	9.1095	8.4935	6.4126	7.1772	6.2183	7.6014	6.8051	7.6283	6.5227	6.3312	6.6896	8.1133	7.4847	8.2639	6.969	7.6054
EA_G__RHPN2	8.4062	9.8289	9.1307	9.8958	9.5112	8.422	8.8264	10.3046	7.5243	8.441	10.9511	8.1916	8.3838	8.3638	9.1064	9.351	10.317	9.6608	8.5513	10.0162	8.2615	8.511	9.6042	9.1654	8.774	9.3723	8.6248	9.6419	8.5652	8.4596	9.8901	7.3359	7.1282	7.9715	8.2995	7.3494	8.0286	8.5079	8.7618	9.6543
EA_G__TTC19	8.6527	8.2419	9.1502	8.8749	8.2278	8.7502	8.0066	8.9872	8.1973	8.8045	11.2654	7.9345	8.8368	8.701	8.9498	8.4536	8.3788	8.8937	8.1428	7.8048	8.3982	8.0098	8.7224	8.0369	8.7694	7.8061	8.8368	8.2474	8.4269	8.5385	8.4692	8.3053	8.2343	7.9473	8.1058	8.6106	8.0567	8.1428	8.3585	8.3437
EA_G__MPP7	8.0834	7.201	6.8077	7.6254	7.7941	3.5809	7.1178	6.0094	6.4583	3.9626	7.6765	8.069	7.0109	4.702	6.5822	6.5066	8.1318	6.4942	4.974	6.8515	4.1343	6.835	7.312	7.3818	3.4258	7.7846	4.8621	7.4319	7.8872	4.7048	6.7447	3.9781	5.7979	4.8244	8.0238	5.708	8.7197	7.3438	7.4885	6.8702
