Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__POPDC3	4.9801	4.9063	8.8153	4.6823	4.9301	4.7796	5.9364	4.6287	4.9503	7.1219	6.8476	4.7879	6.7287	4.8478	5.5473	6.8111	6.8852	5.7957	4.8642	4.8038	4.6629	6.6873	4.8127	7.3238	4.7884	4.741	4.6897	5.0638	6.7314	7.1693	4.899	5.0638	5.0716	9.3478	4.6326	4.8257	4.8086
U133A__KYNU	3.1107	7.5015	4.3378	3.7016	4.199	6.8799	3.3451	3.3778	5.2812	5.0897	9.7837	6.6414	8.1632	5.8705	8.3008	4.2979	3.6763	3.9397	9.3041	9.2168	3.205	6.7245	6.0479	5.4828	6.253	3.5387	3.4423	4.7613	3.2793	9.6851	5.4603	3.4978	7.9465	4.0878	8.121	5.7334	3.5004
U133A__CEACAM6	11.5329	9.4214	4.7174	10.8388	4.9611	5.2365	5.2078	4.8552	4.8702	5.0137	6.169	7.6943	7.9434	9.7564	6.0992	4.9348	7.757	5.6867	7.1518	7.4223	4.6502	4.7137	7.7183	5.1115	10.5666	10.2236	4.9072	5.7482	4.7969	5.0174	4.96	9.9143	11.0544	6.1476	5.309	6.6025	5.6763
U133A__KIAA0182	8.7175	8.7547	8.2326	9.4399	5.5927	8.9031	7.0695	8.2032	9.5198	6.5335	7.1268	7.6521	7.6461	8.5395	7.194	7.6429	7.7941	6.6802	9.3437	9.2681	7.1592	5.5687	8.3507	6.8539	9.4821	8.1927	8.8215	8.4014	6.3604	6.768	6.9346	9.4211	8.9541	8.2608	10.1651	9.5845	8.7069
U133A__C4orf19	7.472	6.995	6.1152	5.7927	5.2571	5.9706	5.259	4.7316	6.7285	5.4242	6.6961	7.585	5.7606	10.2326	6.1892	5.0874	6.2435	4.9288	5.7074	6.7407	6.5187	5.4766	6.6493	4.9949	7.6176	8.3724	6.8461	6.9588	5.0222	4.9962	5.2601	8.0656	6.9566	7.7508	8.4822	5.3883	6.2493
U133A__NXN	7.5201	5.0095	6.0575	5.7535	8.3716	6.529	7.7664	8.4054	5.6117	8.0771	8.1691	6.7657	7.223	5.3557	6.4697	7.3231	7.8487	7.2476	5.4589	6.0448	5.3731	9.1328	6.9807	7.7845	6.3448	5.8264	5.2453	5.2668	8.8314	7.8895	6.2312	5.8514	8.3257	6.6533	7.0094	5.6373	5.9735
U133A__AZGP1	11.0784	9.5652	4.1337	4.3722	3.828	4.9144	9.7205	4.6557	3.8861	7.4406	3.8669	7.7823	6.7995	6.6826	8.834	3.7841	10.0723	4.0968	4.4819	3.7957	3.9856	3.0804	7.5474	4.0232	6.4078	9.4461	9.2802	5.7217	4.0741	3.8247	3.7598	4.1752	9.6783	4.0009	5.3704	8.8218	4.9162
U133A__FXYD3	11.5397	11.0245	8.0183	10.1672	5.6784	10.1874	10.7614	6.2523	10.0586	7.166	10.7566	11.6944	10.7079	9.3959	11.2081	6.987	11.426	6.3006	7.5367	10.2466	10.2571	5.9241	11.9506	6.3403	11.0188	11.5663	10.5882	10.2691	6.2193	8.8516	6.3659	10.3356	11.292	11.1506	8.8209	10.5311	10.7219
U133A__AIM1	6.2106	8.7963	9.3408	8.6813	6.0558	6.8131	8.9159	4.982	8.2196	8.2287	8.0492	8.7932	9.4742	11.7793	8.8987	8.7905	9.2289	5.3024	8.576	7.7136	7.7323	7.4837	7.2483	7.8501	9.1928	8.7391	8.6797	8.0793	8.5952	7.7807	5.5788	7.1878	8.6909	8.4594	7.3956	8.6011	6.7955
U133A__MFAP2	6.1012	6.6076	6.4087	5.9402	7.5045	5.7163	6.9391	8.4452	7.7932	6.2262	8.1355	7.0665	6.1253	6.7741	5.872	7.9716	6.0081	8.2035	5.8531	6.5901	7.7756	6.9779	6.299	6.5138	6.3103	6.1716	6.4924	6.7567	7.848	8.0483	6.2524	9.4332	5.8981	6.033	6.5117	6.4525	6.9361
U133A__FHL2	6.8345	7.5313	10.607	6.7725	6.7465	4.7439	8.3456	5.4334	4.6551	7.6402	7.5109	8.0003	9.859	5.3809	7.916	7.8709	7.455	9.4441	6.409	6.7517	6.052	8.0689	7.7059	7.9957	5.0216	7.9393	4.7353	6.6008	10.66	8.0581	7.9105	7.7389	9.5596	9.8828	8.7644	6.2594	5.9175
U133A__KMO	5.7671	7.6837	5.6079	6.0018	5.4186	4.9161	5.6305	4.6965	5.4732	5.4523	4.9175	5.0193	5.6756	7.1436	7.2444	5.8379	4.714	5.3228	4.7488	4.7064	4.5188	5.1243	7.3547	4.6571	7.0098	5.6323	8.8071	6.233	5.1258	5.2933	4.7453	5.5913	8.7828	4.6167	6.1682	6.2072	4.8873
