Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__SLC16A1	5.5794	5.7645	8.3004	6.0565	7.9693	6.5954	7.3152	6.2764	5.9809	7.3342	8.5427	8.3794	8.0237	5.2666	7.0439	8.327	8.4403	7.6278	6.1698	6.5289	6.4164	7.8131	4.8744	5.4479	5.6483	8.4516	5.5286	5.5178	8.0539	8.2358	8.9896	5.3126	6.7675	5.835	6.0467	4.937	7.0823
U133A__NR3C1	5.0765	6.954	7.0652	5.1788	8.9925	6.6683	6.9561	9.1735	6.103	6.7952	7.9111	7.5877	6.4	5.6099	4.8193	7.9143	7.896	7.9943	6.4699	6.8241	5.5863	8.052	4.8591	8.189	5.6192	5.6545	7.9997	5.85	7.6812	6.8754	7.9483	5.625	6.4618	4.868	6.6686	6.906	6.4361
U133A__SLC27A3	7.2835	6.8031	4.7907	7.2837	4.9482	8.9034	7.3823	7.2365	4.9793	6.363	5.5198	5.3032	6.0769	6.66	6.0547	6.0294	6.3945	5.64	7.0647	7.0305	6.369	6.1087	6.5284	5.2056	6.0497	6.5406	7.6815	6.8684	5.6795	6.2293	5.1971	5.7902	5.4264	5.9204	5.941	5.332	7.1086
U133A__S100A9	7.9647	11.9201	10.3006	5.7847	5.4442	5.8403	6.0309	6.2418	6.3714	8.7074	8.3063	10.7464	12.1734	12.1265	10.5052	5.607	8.7234	5.5487	4.8491	5.2184	5.2175	5.4068	11.3006	5.0361	5.7072	5.0373	5.4591	10.8214	5.383	7.9261	5.5795	6.5783	7.8847	5.9403	11.6483	5.5256	6.655
U133A__ELF3	7.5457	9.7151	8.1411	8.6588	4.5443	6.8332	8.8709	8.6235	7.3098	7.955	6.3115	8.395	8.3632	9.5127	8.8539	7.0033	8.8438	5.3407	7.0076	8.1508	5.7695	5.0759	8.4196	5.1225	7.6662	7.8192	7.1622	8.9949	5.89	6.1304	4.9205	8.3142	7.5694	7.2921	8.2882	9.5173	7.633
U133A__SIK1	5.5407	6.6616	6.0677	4.9096	6.6913	5.4221	7.7282	8.163	5.4636	5.4409	6.6593	5.7017	6.0411	5.3807	7.5037	6.582	5.9786	5.4702	6.3386	6.4975	5.7459	5.7844	5.5274	5.4881	5.517	5.6329	4.9697	5.7079	6.6356	7.7926	6.1986	5.6693	6.413	5.5653	6.0509	5.3543	5.5297
U133A__ALDH4A1	6.0591	7.4246	6.5647	8.3471	6.082	7.9374	5.962	6.3012	7.4468	6.466	6.4855	7.1706	5.8314	7.2935	6.2652	5.8633	7.3004	6.2349	6.5478	7.738	7.2079	6.0012	7.847	5.8512	7.521	6.2685	9.9506	7.4964	5.9475	6.3586	5.7202	7.4961	6.5002	7.6683	7.696	7.7586	7.7793
U133A__SOD2	5.5088	6.9736	6.9797	4.881	7.7208	5.6061	6.6548	7.6545	5.7471	8.3722	7.9873	6.5132	7.3532	5.9588	7.7653	6.3289	7.5586	6.3059	5.2549	6.0585	6.0706	8.5843	5.3729	5.5954	5.823	6.3231	5.1422	6.0321	7.3062	8.7586	9.3681	4.9814	6.5449	5.6744	6.295	4.8445	6.1557
U133A__XIST	7.4954	9.2012	4.4356	3.8785	3.9121	4.3337	4.6098	8.5036	7.7232	4.3864	3.9876	4.0078	3.9	4.7839	7.027	8.1843	7.4679	4.8628	4.5531	7.1401	7.2642	7.8189	6.8515	4.3492	4.1485	7.8787	6.4632	7.1041	4.9547	3.8857	6.9101	4.1381	7.8729	4.508	8.1491	7.1912	4.174
U133A__RAB31	6.2413	8.0673	8.3752	5.1431	8.3412	5.7159	8.1732	6.3882	5.2803	6.3372	7.6547	6.0256	7.7825	5.7421	7.6507	9.5565	6.5396	8.4846	8.4498	8.1669	5.4419	9.649	4.7638	8.3981	8.3539	8.6618	5.3344	8.156	9.8536	8.2197	8.2362	5.2265	5.4669	6.4993	7.2702	5.4727	8.7646
