Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
EA_G__7A5	10.3607	8.9896	8.1824	8.3314	3.2606	7.2942	7.6597	5.6095	3.7134	9.2592	6.5231	3.7622	8.2988	8.3687	9.8414	8.9054	8.2759	4.0236	9.6757	3.4441	6.8545	7.4974	5.2953	3.1486	9.6105	4.0122	7.6718	8.5499	7.1	8.7273	3.9994	6.9247	3.9668	7.1495	9.2352	7.0569	8.1383	7.3096	9.2036
EA_G__FYN	6.4822	4.8816	6.1063	4.3322	4.5595	4.1797	6.6783	5.2254	6.9111	3.9868	4.3095	5.2342	4.7263	7.1599	5.2737	5.5262	6.8905	6.7575	4.3306	8.3757	5.4058	4.5424	6.8396	8.064	4.864	7.376	4.0949	4.3392	4.9848	5.0097	6.3964	5.0807	7.2559	4.5524	5.9687	5.3704	4.4577	4.2118	4.5727
EA_G__CD82	9.229	9.8771	8.1254	8.8679	8.794	8.1078	7.3811	10.5764	7.6428	7.5429	9.3678	7.1548	8.3926	9.3078	8.7068	9.6325	8.8753	8.245	10.3563	7.8305	7.488	6.3946	5.5576	7.6367	10.0199	7.4616	9.111	9.3887	8.9446	9.813	8.1362	7.3628	6.4821	8.8958	9.7895	9.1063	9.9672	9.374	8.5304
EA_G__ALDH3B2	7.8751	9.1519	7.5805	11.3608	5.8866	9.7334	6.4255	8.223	6.1384	9.5823	7.6199	7.7955	6.3071	6.4469	7.0901	10.2674	6.2786	6.047	6.1466	5.7429	8.5602	9.6127	10.4301	5.6515	9.014	5.9874	10.8628	9.2617	9.5867	8.9624	6.0873	8.4091	5.947	8.3315	10.3339	9.1412	9.1133	9.9559	8.9847
EA_G__TMPRSS2	7.1443	7.2062	5.9505	7.4163	4.76	5.2206	5.9465	7.398	4.4614	8.4729	6.5273	4.686	4.6026	5.5772	4.5393	9.8984	4.5147	4.4592	8.9766	4.216	7.2592	6.7275	6.4975	4.3741	6.8914	4.2222	6.094	7.3281	6.4244	7.2688	4.3749	4.9769	4.5539	6.2306	7.1473	5.1128	7.3834	4.9624	4.7479
EA_G__EPB41L4A	6.9861	4.8197	5.9817	7.0521	3.9585	5.7618	5.0865	4.4588	4.1933	8.3309	7.5778	3.9447	4.723	5.6705	6.4675	7.9628	5.5236	3.7847	6.6248	4.0786	4.8247	4.7297	7.9019	3.733	7.1104	5.7975	7.6741	9.1353	8.1433	5.9446	3.8929	8.5043	4.0766	8.46	8.061	7.4104	6.8676	5.3605	5.4527
EA_G__FSCN1	6.8308	6.9952	7.5474	7.1701	8.8985	6.7299	9.8533	9.8245	9.7445	6.454	7.0825	8.4576	11.4143	9.3293	9.3009	7.0833	8.7193	9.1685	9.4212	9.8571	7.5215	7.7422	6.5522	9.6478	6.8572	8.4388	6.817	7.4765	7.24	7.0958	7.3337	9.286	10.5846	7.0571	7.894	7.1431	7.0679	6.8126	8.0465
EA_G__TNC	6.8419	4.5317	8.0622	7.9377	6.5045	4.5282	10.3359	11.7961	10.5952	4.4803	4.2461	6.7117	5.6666	6.5706	9.083	6.9443	8.7277	10.3709	9.8215	9.1583	4.8052	4.8852	9.5513	10.3004	5.5014	6.8871	5.9621	9.4908	9.8865	4.591	9.3078	7.1626	9.313	6.8903	6.6164	9.3018	4.8565	4.5568	4.34
EA_G__SLC40A1	6.8502	8.0701	4.2189	8.1892	3.7959	8.0269	4.4506	4.0922	4.2159	7.8833	10.106	6.5779	5.4936	4.2927	5.1166	8.1015	4.3603	6.1059	5.223	4.0297	4.289	4.0528	4.0146	5.7339	8.6986	4.346	9.6424	8.3737	9.2989	7.1985	4.2552	4.3975	4.2056	8.3935	7.4368	7.0743	10.0715	8.6955	7.2722
EA_G__C9orf150	6.3988	7.1869	6.5076	7.0707	8.6927	9.877	7.1481	7.4135	7.6684	8.5063	8.2506	5.0014	5.7357	6.51	8.3959	8.0107	6.6126	6.4634	9.9622	6.4075	7.596	7.9432	9.3978	7.9167	8.0685	5.8597	8.115	9.0118	6.6495	6.7351	7.0564	6.7245	7.6222	6.9489	8.5812	7.2989	10.3317	7.1346	6.9196
EA_G__C20orf54	7.8454	7.0549	7.58	8.7599	4.561	7.0352	7.1855	6.3617	4.0836	7.3675	5.81	5.7621	7.1471	7.8136	6.9528	8.6817	6.6259	4.5418	9.0217	4.4105	5.525	5.5658	7.5515	4.7941	9.2928	5.1877	8.0301	7.9836	7.323	7.5251	5.0305	5.8399	4.8263	8.2048	7.281	7.4639	8.2019	8.9315	7.757
EA_G__PRODH	7.1166	8.5848	5.3758	9.6968	5.2856	9.8394	7.3753	6.3146	5.293	9.9249	7.0011	5.3203	5.7339	6.3419	5.347	9.6035	5.5817	5.3378	5.6238	5.3479	6.1188	5.8214	6.8612	5.7096	10.3624	5.3603	10.5759	10.8014	10.6464	6.5433	5.7008	5.7056	5.2411	7.8362	10.5858	9.7075	7.7263	10.3923	9.6963
