Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__GJA7	4.8989	4.8475	6.9278	5.84	5.5942	7.4714	4.7178	8.5742	7.3874	6.8312	5.3196	4.6661	6.5742	6.9284	6.4528	6.2159	6.8559	7.0645	7.013	7.5561	4.9328	4.7611	4.9592	7.6568	5.2429	4.7212	6.6205	4.4482	5.435	4.9082	8.624	6.5147	7.1838	5.9559	5.7329	6.474	6.7178	4.9803	6.6005	6.5818
EA_G__ABCA3	7.4898	6.1001	5.9275	6.9381	8.2598	6.5877	8.6685	6.65	6.4291	6.0702	7.5984	7.7157	6.836	5.8417	5.8612	7.2382	6.8044	5.8351	6.2413	5.5762	8.3807	7.7083	7.8356	5.9727	7.5575	6.7002	7.2912	7.0449	8.915	7.0031	6.1109	6.1814	5.8895	7.1448	6.7524	7.366	7.6447	8.529	8.656	8.3675
EA_G__DST	5.7695	5.6314	6.6489	5.8496	6.8365	6.522	5.4187	7.8516	4.2306	7.0187	7.1174	7.453	5.4133	6.8962	7.5451	6.3799	7.9233	6.8408	6.4526	8.5037	5.407	5.7353	5.4619	7.1812	6.4687	7.7141	7.1402	8.3095	5.1303	5.9384	9.1508	6.632	8.1101	5.6277	8.0696	6.6125	6.5333	5.4791	6.8436	5.1731
EA_G__NAT9	8.1593	7.8306	8.3091	8.0459	8.4237	7.7876	8.4994	8.6647	7.5253	8.564	8.8338	9.219	8.2806	9.0493	8.0557	7.8629	9.0283	8.7203	7.8613	8.7642	7.84	8.1418	7.8169	8.8001	8.483	8.7994	9.7072	7.8432	9.3691	8.6332	9.1259	7.9788	8.2836	7.7963	8.21	7.5803	8.9098	8.3649	8.733	8.8322
EA_G__IGFBP7	5.421	6.0189	5.5814	5.6195	5.7641	5.6527	5.2525	9.5888	6.0939	6.253	5.5267	5.8065	7.9135	8.7223	8.5077	5.8402	9.2974	6.8475	6.7497	10.4989	5.703	5.5275	5.6305	10.8549	5.6948	9.3336	5.5052	9.0609	5.944	6.6045	5.7196	6.5123	6.9599	5.7638	8.0042	5.6972	6.1333	5.5951	5.4712	5.5935
EA_G__ISOC1	7.1234	7.7312	7.7099	8.4881	7.9468	7.1505	10.1811	6.8003	8.3692	6.4391	7.8247	9.2481	8.0613	7.4609	7.6971	7.7585	7.7394	6.4754	6.4981	7.13	9.3042	9.2846	9.3326	6.4466	7.818	8.0524	8.6912	8.875	8.4946	7.982	7.6054	7.2698	7.2342	8.2947	7.5257	7.1917	8.0935	7.8404	9.2017	8.2137
EA_G__PSMB9	6.9429	6.3563	7.3378	5.3201	7.5091	7.2465	6.3855	5.8205	7.8684	9.4407	4.9445	7.0672	6.7022	8.0447	8.7527	5.8946	6.8749	8.4528	10.2444	6.664	6.645	4.9041	6.606	8.7138	5.6229	7.5196	5.8368	7.0753	5.6665	6.2453	6.8692	7.5742	8.1866	6.6373	7.7852	7.3004	8.0178	5.5168	6.066	4.8427
EA_G__MEGF9	7.0461	6.094	6.6923	8.7061	7.4811	5.822	7.6443	5.9558	7.2222	6.1581	6.9122	9.1405	6.0661	6.5113	6.1046	6.5073	5.9738	6.1278	6.3046	6.2887	7.6627	7.5047	7.6915	5.9312	8.2692	6.1493	9.7645	8.6638	7.6239	6.2421	5.741	5.513	6.3937	7.5167	7.3731	7.5806	8.0296	7.315	8.3711	7.4477
EA_G__C6orf211	7.1167	7.5529	7.5818	8.0371	8.9695	6.4566	8.8642	6.4826	6.1229	6.7659	8.2246	9.54	7.1196	6.925	6.4815	8.0926	6.2859	6.3803	6.6822	7.1049	9.1159	9.3817	8.8041	6.4438	8.1352	7.1002	9.6383	8.3855	6.2112	6.8191	7.0987	6.614	7.3027	7.2231	7.1262	8.1988	7.496	8.4447	6.9121	10.4963
EA_G__TRIM29	7.8672	8.1849	7.3824	6.3446	5.7624	5.0369	5.0978	10.1741	6.4193	4.6779	5.0291	4.8452	5.5473	9.9617	10.0902	8.1421	9.6401	4.7333	7.5443	5.0266	5.1232	4.9924	5.1988	4.6375	5.1951	4.7967	7.0683	7.363	6.5166	8.2277	5.119	9.3772	5.546	6.482	8.8789	9.7032	6.4986	6.2062	5.727	5.2751
