Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__TTC39A	6.7363	7.9537	4.4192	6.888	8.6528	3.8361	6.2428	4.2693	4.6311	5.2211	9.349	4.463	4.6581	5.3975	4.1091	5.2844	6.965	5.4051	4.311	3.7661	4.5869	7.2805	6.8676	3.4222	5.9355	4.2968	7.8908	7.3398	7.8998	7.1437	4.1734	3.6019	4.3341	7.0522	7.0384	6.696	7.1654	6.5769	7.4901
U133A__PRSS8	8.8288	8.984	7.5482	8.4017	8.4845	5.5972	7.5995	6.1579	7.1231	8.7157	7.8521	7.897	6.8913	7.7276	7.1033	9.1171	9.0244	7.8961	6.167	5.8126	6.6594	7.696	7.6602	5.2863	8.842	5.6892	8.4368	7.7911	7.8115	8.3283	5.4722	7.4115	4.5504	10.1071	9.5346	6.0866	7.2982	8.0536	7.1875
U133A__BMP7	5.505	7.1792	6.1026	10.2899	5.9915	5.5804	5.844	5.7056	5.7479	5.7537	6.1111	6.2167	5.7013	7.6113	5.7656	5.9684	8.3614	7.0256	6.2535	5.8496	8.2441	8.6872	5.7141	6.8215	5.6201	5.4503	5.7334	5.8301	5.615	8.7775	6.0241	5.685	5.5064	5.6985	7.0329	5.9278	5.9429	5.5512	5.6131
U133A__CRIP2	8.2574	9.2634	6.3153	9.209	9.9678	7.8746	8.3415	6.5901	7.7681	8.0402	9.0021	7.6044	5.5453	6.6722	6.6952	9.1442	8.8685	7.8221	7.9649	7.3507	8.6357	8.6983	8.9642	6.3079	8.3729	5.1886	9.2302	8.0924	7.8109	8.3547	8.1304	6.4487	5.4693	9.8773	9.8924	7.1792	9.294	9.0175	9.4029
U133A__OBSL1	6.4514	8.9967	8.0289	7.8813	8.0845	7.8676	6.4196	7.4034	6.992	7.3861	7.9661	7.1877	6.5112	6.835	7.0874	7.2713	9.4103	5.8645	7.4016	5.0045	8.8911	7.6113	6.4547	7.3043	7.8238	6.2485	8.0171	7.5013	8.824	7.9762	6.5707	7.5554	5.2249	7.6849	9.4082	7.1551	5.7054	6.569	5.8275
U133A__TM7SF2	6.3544	7.7736	5.9613	8.9903	7.2452	5.9644	6.5563	5.6411	7.4551	7.1445	7.2359	5.6688	6.2564	7.1204	5.884	8.8806	7.2668	6.8554	6.8658	5.6277	7.5725	8.4942	7.3491	5.3969	7.9643	5.339	8.007	7.0843	8.3892	6.8779	5.8961	6.7959	5.3671	7.9074	6.0172	6.2127	9.688	7.5838	7.4074
U133A__CLDN3	7.7269	8.5775	5.1292	7.7776	9.2494	4.7725	8.7299	4.6935	8.1731	6.2573	8.0305	4.4347	5.0398	6.8845	4.4998	10.8392	3.9735	3.9722	6.2876	4.6249	8.2015	10.1075	7.6582	4.2289	5.683	4.4656	7.8263	8.3076	7.829	7.6463	5.0252	5.2019	3.7519	9.1572	10.4226	6.5411	9.7858	5.8151	7.4535
U133A__CTNNAL1	6.8072	5.2576	9.176	6.5586	5.9492	9.2333	6.7237	8.9145	8.725	5.2291	7.0447	7.3007	9.0378	6.3929	8.7139	6.2145	6.4033	6.7594	7.8544	8.1258	6.7643	6.5967	7.0346	9.6872	6.7579	10.2032	7.1815	7.3743	6.467	5.4645	8.052	8.7128	8.9356	7.388	4.743	6.401	7.5563	5.9706	7.1552
U133A__PPID	5.7543	5.0949	7.5725	4.7081	6.3369	6.4077	6.4478	6.511	5.1869	5.9801	4.6728	6.5156	7.3894	7.1278	7.2762	4.8877	4.8359	4.6655	5.973	5.6947	6.2058	5.1748	7.1153	5.4494	5.3947	6.7744	6.0593	5.3653	5.694	6.1165	5.3484	6.8163	7.1574	5.5997	5.9419	5.023	4.7731	5.197	6.5643
U133A__AUTS2	8.2188	8.3114	4.5825	8.4291	7.2653	7.3927	3.7114	4.054	5.8691	8.7868	6.4949	8.1057	6.1945	7.6533	4.4486	7.6466	8.6231	6.8757	5.9822	4.3504	6.3258	5.1607	5.2775	4.39	8.7609	4.093	3.561	7.8198	8.4658	6.084	4.5523	3.3971	4.0043	7.8252	9.0873	7.7387	7.5901	5.5548	5.9426
