Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__SEMA7A	6.2963	8.3666	8.0996	5.7907	6.5482	5.8219	6.0436	7.3533	6.5658	7.173	5.6658	6.0293	8.1782	7.1818	6.6589	7.7286	6.8635	7.6351	5.9206	6.5143	9.3112	6.5639	6.4613	5.7353	7.1059	6.832	8.0864	5.6306	5.9599	6.5245	7.749	6.3807	6.7222	7.8098	5.9889	6.0049	6.3139	6.3939	6.262	5.8251	6.1912
EA_G__HSPA2	9.1865	6.5143	6.6961	6.0734	6.6109	6.9019	6.5664	8.1328	7.0044	7.8112	7.127	6.2578	5.3727	7.315	7.8875	6.9199	7.3139	7.1002	8.5382	8.6414	6.6641	7.2836	7.5073	7.8789	8.4979	9.6421	7.0652	5.4425	10.4966	6.9279	6.8192	8.408	8.1889	6.0688	7.0414	6.607	8.657	6.8424	7.5967	6.5403	6.8197
EA_G__GDPD3	7.8908	10.4052	6.3847	6.7364	7.3625	5.6402	7.6914	4.9636	5.2361	5.4538	8.6563	5.6591	5.4878	5.9923	6.9928	6.7062	7.5969	5.7434	5.8015	6.0767	5.2536	7.5701	8.3603	5.6607	5.2069	7.7961	5.0645	6.1261	6.5886	6.0817	9.2665	4.9981	7.3888	5.4316	8.3237	5.3763	5.6547	5.3216	7.0946	6.1323	5.6659
EA_G__SESTD1	7.8482	7.8803	7.2585	7.5677	6.935	7.3959	7.126	7.9665	8.5472	9.1193	7.3839	6.8249	9.8661	8.9576	7.3888	8.7933	7.7362	8.2939	7.6021	8.7987	7.5097	7.982	7.6748	9.2977	8.6713	7.5475	7.1551	7.9281	8.0903	6.0822	7.8678	7.296	8.7757	7.806	7.7919	7.8697	7.1896	5.8902	6.4612	8.1314	6.9267
EA_G__COPS8	7.8668	7.6287	8.5364	7.7598	8.0338	8.5485	7.7398	7.6158	7.3489	10.6433	8.003	8.2763	8.0118	7.6235	6.8459	7.6459	7.4184	8.1777	8.985	7.7039	8.5295	7.9888	7.9185	8.7738	8.5887	7.4272	8.2657	7.9461	7.522	6.7061	7.357	8.175	8.882	8.7343	7.6282	7.8201	7.8232	7.7211	7.7819	7.7286	7.6205
EA_G__TUBA4A	8.6679	7.9277	9.8841	6.3558	7.2991	6.9787	7.7877	10.2872	5.4635	9.339	8.4505	7.3348	5.2554	9.8507	9.0392	9.883	6.864	6.8061	6.929	9.6147	5.9611	6.2718	5.9367	8.2313	5.3819	7.3407	6.8341	6.603	8.5443	7.9706	7.1037	7.6902	9.8575	10.3707	9.5426	9.8632	8.7304	7.511	5.7331	8.2523	9.6581
EA_G__HLA-A	7.8707	7.4634	7.8511	7.2796	8.8216	8.4211	8.2799	8.468	10.3086	9.2133	8.2409	8.9294	9.8653	9.7514	9.9892	9.2081	6.5646	8.5607	10.2489	10.7024	9.2783	7.8209	7.9741	9.352	10.8299	8.2563	8.8588	8.9153	10.3791	7.6804	7.4263	8.6851	8.627	9.5834	9.2171	10.4923	7.9114	8.5648	8.6208	6.6451	6.7586
EA_G__CD82	9.229	9.8771	8.1254	8.8679	8.6489	8.794	8.1078	7.3811	10.5764	7.6428	7.5429	9.3678	7.1548	8.3926	9.3078	8.7068	9.6325	8.8753	8.245	10.3563	7.8305	7.488	6.3946	5.5576	7.6367	10.0199	7.4616	9.111	9.3887	8.9446	9.813	8.1362	7.3628	6.4821	8.8958	9.7895	9.1063	9.9672	8.1926	9.374	8.5304
EA_G__CDKN2A	7.3231	7.3827	6.0767	6.6305	6.9325	9.7428	7.7762	7.2902	8.585	5.7667	6.8184	7.5164	8.8826	5.9474	9.0146	8.4218	7.0357	9.0947	5.6978	10.0086	5.9713	5.8649	5.742	7.8898	8.856	6.9963	5.7696	6.9057	7.6006	7.6794	8.0816	5.8326	6.005	5.5676	7.1071	7.7702	8.0533	7.8227	6.1777	7.3088	7.2229
EA_G__CHRNB1	5.7198	6.7128	6.7808	5.7556	5.8419	6.2907	6.3759	6.2858	6.9569	5.995	5.4769	5.9106	5.8787	7.6414	6.7592	5.7692	7.1343	6.1134	5.961	6.2662	6.6128	5.8972	6.1043	5.7372	6.0272	5.8322	9.009	5.8766	6.1325	6.082	6.7407	6.043	6.7848	5.8518	5.7106	6.0888	6.148	6.0489	6.5046	5.8787	5.6818
