Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__NHEDC2	5.1404	4.6241	5.0185	4.8827	6.6627	4.1264	6.27	5.9421	5.7687	7.6438	4.8055	5.3737	6.7333	6.4724	6.1886	5.7758	5.6225	6.4636	6.7411	6.1157	5.8529	7.1676	5.7495	5.4824	6.4926	4.4558	5.0307	4.3183	7.0453	5.1944	7.3446	5.7618	5.6396	7.2622	6.4832	7.8141	6.5272	4.7038	5.6645	5.6493	4.6542	5.4813
EA_G__GPR137B	7.3173	7.3696	7.4089	8.1599	7.0778	7.3259	6.5502	6.2259	6.8084	6.4613	8.107	8.2884	6.8585	6.7126	6.9986	6.5121	8.0507	7.6793	6.8539	6.108	3.5024	4.7996	6.656	7.7104	7.3236	6.6327	7.212	5.9258	7.5814	6.6425	6.7756	7.1303	7.1856	6.8735	6.4763	5.6081	7.6708	7.3033	7.8159	7.0711	8.8563	7.0471
EA_G__ATP7B	6.2045	5.8567	8.4859	7.6758	5.5861	8.0376	5.5475	6.1909	6.562	5.3359	7.9776	9.3079	6.3782	5.2183	4.7565	5.8059	7.0642	5.7551	5.9086	5.888	5.2875	4.8425	6.5883	6.4678	6.1273	5.1534	9.4854	8.2401	6.3691	5.8082	6.1943	6.645	5.7426	6.3643	5.7143	5.6434	6.7281	6.1749	6.2514	9.3683	7.6427	6.5602
EA_G__SHOC2	8.4247	7.5361	8.3611	9.0828	8.0747	9.4246	8.327	8.3684	8.4544	7.8349	8.5793	9.6302	7.3436	8.4098	7.4352	7.9943	8.9016	8.2786	7.8499	8.031	7.7147	7.5005	8.4802	8.306	8.5354	8.1462	9.1841	9.5098	8.4878	9.3504	7.8727	7.3695	8.7064	8.7432	7.6348	8.4581	8.9097	7.9375	9.0894	9.1101	11.7756	10.8059
EA_G__PLOD2	6.1911	8.3419	7.0175	6.9131	10.2933	6.8168	7.9873	7.2038	5.3942	8.7914	7.1322	7.4866	8.0339	6.5989	8.2857	9.3417	7.8623	4.782	8.6845	9.2717	8.4052	9.1792	7.4818	7.5432	9.0537	8.1487	7.3068	7.3589	5.8456	6.2115	7.6713	7.2225	8.2196	7.589	9.2253	8.3727	7.0657	7.2993	8.5125	7.6262	6.8806	7.1493
EA_G__B3GNT5	3.7793	3.4685	6.1603	3.4095	7.3741	3.4778	6.2026	6.7891	7.2792	5.5026	2.7919	4.23	7.8987	8.0016	8.0347	8.5495	3.517	6.1118	8.2947	6.0722	8.3827	5.2203	4.1337	3.8927	6.7749	6.2757	6.2889	3.2818	6.8772	5.3898	6.3645	3.9481	9.0181	3.9823	7.6143	8.2305	3.8217	4.389	4.0838	4.0239	3.3395	3.122
EA_G__COBL	6.9315	7.3722	7.4904	7.3429	4.9504	7.2341	5.1155	7.084	5.6151	5.0062	7.6344	6.6659	6.0049	5.1724	6.0185	6.5425	6.4602	6.9815	5.7516	4.7727	5.2075	4.9245	6.4901	6.7704	4.8492	5.0952	8.0264	8.5046	5.8414	6.01	4.7346	6.9633	6.359	4.8804	6.3035	5.1492	7.1308	6.8173	6.8655	7.2664	7.0127	7.0229
EA_G__MLPH	9.7749	8.9613	9.4537	9.4619	7.2434	8.8593	7.6613	6.8868	6.8657	5.9652	10.2061	9.2145	6.1493	7.1993	6.1736	7.9823	9.0264	9.408	7.7663	8.4935	7.6096	7.3314	9.3005	9.7117	8.2664	8.0714	10.0726	9.6628	7.6324	9.7087	7.6883	9.4819	7.1652	6.3658	8.0179	6.4396	9.4011	9.9994	9.2638	8.9017	10.4752	9.9638
EA_G__IGFBP2	8.5819	7.265	9.2045	10.6598	5.7406	9.0647	6.409	7.9946	7.7249	6.7037	9.6491	9.7208	8.1824	6.5365	7.6499	7.3055	7.1166	7.7549	8.2099	5.7756	6.114	6.1845	8.9304	9.2132	7.7601	5.934	10.1046	8.3743	7.8952	9.0101	7.9592	6.3136	8.2589	5.7437	6.0489	6.0078	8.2235	8.6306	8.9587	9.4836	8.4837	9.1231
EA_G__MMP14	5.1852	5.3987	5.2335	5.0592	10.3729	5.1512	8.7278	8.0249	9.9154	9.7962	5.0892	5.2954	5.2874	8.803	7.6928	6.3976	5.5909	8.0609	5.2277	8.9768	8.7686	8.9717	5.9409	5.8539	7.6746	8.2005	5.1668	5.3091	5.4596	6.2949	6.8819	5.8482	8.5531	11.2199	7.0852	7.8574	5.7305	5.7344	6.2135	5.2291	5.5205	5.535
EA_G__SLC19A2	7.8428	7.7834	8.6972	9.2989	5.8688	8.05	6.2701	5.9865	7.3949	6.009	8.1815	10.1415	8.0242	6.2908	7.3019	7.0936	7.4043	7.6557	7.2335	6.9579	6.8503	6.6471	7.8194	8.4896	3.9396	7.9704	7.8213	8.2376	7.6021	7.1089	7.6994	7.2999	7.3381	6.8343	7.3796	7.4287	7.7499	6.9377	7.6287	8.3672	8.0226	7.9977
EA_G__C19orf21	9.6189	9.4483	8.7564	8.9369	5.9232	8.5724	5.9774	8.5302	5.5468	5.8788	9.3517	5.2243	6.8438	8.0179	8.5636	8.8702	8.1843	9.7186	5.4781	5.5555	6.6279	5.5706	8.7843	8.5778	5.7745	7.9411	8.8758	8.9668	7.1158	6.591	5.886	9.9506	9.3039	5.9944	6.0195	5.6263	8.618	8.3524	7.9338	8.3996	8.8792	9.0596
EA_G__SLC7A2	4.1619	5.7925	6.7311	8.2218	4.0757	8.7507	4.8287	3.7876	4.1333	4.9639	5.9544	8.7823	6.0163	5.3979	3.8374	4.2238	6.6085	3.8787	4.037	3.7082	3.9158	7.6908	8.0985	9.9521	4.9481	6.383	6.6805	6.0503	5.5324	4.4132	4.6343	4.5285	6.4926	4.1797	5.4227	8.1212	5.8559	4.0673	3.9632	7.5091	7.2721	8.5677
EA_G__STS-1	5.2033	5.2244	4.6973	4.8157	5.8729	4.6605	6.9095	8.0688	5.1083	7.3136	4.7549	4.4609	7.6737	8.3529	8.4559	8.6415	4.9514	5.1812	8.8066	7.7323	7.8819	8.4816	5.1073	5.0474	5.032	7.8078	5.5263	4.3696	7.5993	5.545	8.3639	5.6356	6.4224	5.6818	6.8601	7.5785	7.1292	5.5028	5.2742	4.7396	5.0443	5.2837
SNP__FLJ20433	0.003	-0.163	0.153	0.184	0.228	0.458	0.293	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.017	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	0.089	1.099	-0.163	0.271	-1.534	-0.201	0.047	0.531	-0.158	-0.198	0.02	-0.131	-0.054	0.292	-0.296	-0.066	0.024
