Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__CTSD	9.7858	9.5957	7.9406	7.1763	8.323	6.9866	6.4872	8.2899	6.7151	7.5811	7.2047	7.275	8.3106	8.6724	8.1006	7.8089	7.6112	7.4579	8.1864	6.5121	10.1375	8.6215	7.6491	9.6629	6.2229	8.6821	8.955	7.1412	9.2908	7.8084	7.3249	7.2014	9.185	8.7805	8.9881	10.763	7.1248	10.2609
U133A__ITGB4	8.4764	6.8825	7.8694	7.2638	6.1489	5.1424	6.7049	9.9222	5.9812	6.4977	5.6302	9.8634	7.2601	7.6693	6.7599	9.2314	6.4951	6.4958	5.6846	7.7798	8.3127	5.2167	5.7594	7.597	5.8136	7.8203	7.0236	6.7098	6.7099	5.7868	6.8612	5.7862	7.0662	7.1408	7.4342	7.6944	6.2395	7.5587
U133A__ALDOC	6.5777	8.3205	6.2278	6.6705	8.4622	5.9173	6.748	8.3786	7.6054	6.2571	8.268	6.8246	5.9627	7.5516	6.3166	7.6059	5.9395	5.9531	6.084	7.2912	7.7475	7.8802	5.3038	6.7481	7.1603	6.11	6.5345	6.1454	8.8374	6.2906	6.7714	6.409	8.0066	6.3134	7.7955	11.3442	6.2557	6.2591
U133A__GDPD3	6.5019	10.0153	6.477	6.1503	6.642	5.7463	7.4532	6.4548	5.9638	6.4119	6.4377	5.6627	7.0271	6.539	7.2005	6.6596	6.229	6.574	5.8339	8.0906	6.7648	6.1995	6	7.6927	6.1031	6.4612	7.043	5.897	8.9869	6.01	6.9427	6.2605	6.4492	6.1856	6.1103	6.7211	6.0486	6.5637
U133A__LMO4	7.4737	7.1325	7.3624	8.5532	7.9792	9.7098	5.7002	8.2677	7.6793	8.0974	7.6477	7.0389	7.4546	6.855	7.7206	8.0476	7.8791	8.7906	7.5205	6.2739	5.9112	7.0129	7.6279	7.9445	7.5364	7.9322	9.2733	7.7056	6.1979	8.918	6.745	6.2862	8.2001	7.5695	8.3962	6.7757	4.2304	6.628
U133A__KLK5	6.2188	4.9495	9.9284	4.9553	5.2319	4.9002	5.6246	8.9059	8.0659	5.3209	5.8171	8.4486	11.7904	10.1001	5.9512	9.4897	8.0299	5.9757	5.5163	5.6573	5.3368	5.3217	5.0999	5.5158	4.976	5.187	5.3432	5.1043	5.3723	5.6538	5.5758	5.2208	11.5314	9.1243	5.3326	4.9775	5.4287	5.0045
U133A__CLNS1A	9.4608	8.6558	8.2594	6.9005	8.581	8.8302	6.9955	7.7269	8.5912	8.5311	9.0546	9.5556	8.4244	8.5211	8.0984	9.0511	8.2463	8.0085	8.011	8.7419	8.7794	11.0338	8.2217	9.6021	8.4882	7.6112	7.6521	8.5151	8.1378	8.3304	9.2318	9.4287	8.3387	10.4912	8.8496	8.6699	7.8664	8.2449
U133A__GNE	5.3352	5.3076	6.8641	5.2581	5.499	6.5008	5.4021	5.967	4.4695	4.7172	5.5494	5.0627	6.9256	5.3405	8.1098	5.192	6.4608	8.5545	5.9888	4.7223	4.7803	5.7832	7.899	6.9789	6.4229	6.856	6.3987	5.8493	4.9721	5.7542	5.3722	5.1636	7.4947	5.399	4.9661	6.9006	6.238	5.4946
U133A__CLDN4	7.8095	7.8886	6.8892	7.4307	8.0102	4.3947	6.203	7.5458	8.2974	7.4553	7.4055	6.5293	7.7536	7.9433	7.7545	7.8168	6.8585	7.604	4.6864	7.6706	6.9713	6.7166	4.3184	9.4105	4.2514	7.1352	7.4668	6.7302	8.1243	4.5668	6.7523	3.8645	8.5318	6.2457	8.066	7.7975	7.5057	6.617
U133A__DERL1	5.475	8.3416	5.0389	5.9092	6.4988	6.0889	5.9957	5.7088	5.9916	7.7607	5.6934	6.8211	6.503	7.2959	8.4643	6.2926	5.7426	6.9287	6.1283	6.7508	6.2364	6.6886	6.4555	5.8625	5.6717	5.9146	5.5712	5.5019	8.4292	6.1425	5.7119	5.7651	6.9492	7.6148	6.2023	6.4948	5.956	6.161
