Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
EA_G__KIAA1370	8.0117	7.6169	7.4985	7.3101	7.5285	5.8151	7.928	5.2997	5.5305	5.6156	5.1632	8.5057	8.3103	5.6178	4.1441	5.8594	6.7071	7.1959	7.7436	5.6434	6.0605	7.0426	5.3786	8.0435	7.6508	7.4509	5.501	7.9116	5.8793	7.546	8.121	7.6939	6.9794	5.6558	5.3833	4.6569	8.0614	7.0923	9.0775	8.1025	8.678	8.4904
EA_G__TCEA3	8.2375	5.9539	5.5222	6.0256	7.4926	5.0487	8.8314	5.784	5.0673	5.5704	6.1196	8.0815	7.159	8.4022	5.5647	6.6279	5.2515	8.1284	5.1551	5.0747	5.9317	8.4357	5.064	6.9062	6.2141	6.8153	5.6284	7.255	6.534	6.4577	8.4136	7.6133	5.6212	5.6072	5.5857	5.4579	6.1439	8.918	8.5451	7.826	9.0069	8.328
EA_G__SLC19A2	7.8428	7.7834	6.555	8.6972	9.2989	5.8688	8.05	6.2701	5.9865	7.3949	6.009	8.1815	10.1415	8.0242	6.2908	7.3019	7.0936	7.4043	7.6557	7.2335	6.9579	6.8503	6.6471	7.8194	8.4896	7.8273	3.9396	8.397	7.9704	7.8213	8.2376	7.1089	7.2999	6.8343	7.3796	7.4287	7.7499	7.1276	6.9377	7.6287	8.0226	7.9977
EA_G__STAC	4.6901	5.967	6.944	4.4744	4.4739	8.7517	4.4143	7.3387	8.7019	5.2245	6.8093	4.2275	4.1802	4.3895	5.9041	6.5323	7.7776	4.7595	4.569	6.183	6.74	6.7671	7.8582	4.503	4.5206	4.5124	6.7276	4.6546	7.5021	4.3421	4.3729	4.7293	6.4295	4.531	5.9112	7.5436	4.6565	4.8691	4.9889	4.5177	4.5517	4.6534
EA_G__GPX1	10.2914	6.6074	10.2418	10.0255	6.4332	9.521	9.8669	10.5247	9.3434	6.2869	10.2073	9.7081	8.4087	6.2304	9.3709	10.6769	10.1513	10.0008	6.2999	10.699	9.8613	10.1105	9.8717	6.0935	6.4483	9.9092	7.1531	6.2273	10.1702	10.003	8.6833	10.1856	6.5478	9.3792	10.175	10.1287	6.4856	9.6592	6.3658	6.0835	6.1269	6.5288
EA_G__S100A2	4.9938	4.9619	5.4168	4.3304	4.8145	6.0816	4.8565	7.3456	9.6017	5.8766	6.2329	4.4923	4.5089	4.6254	9.9432	7.9132	6.2996	4.9466	5.0789	9.6456	6.3764	7.9301	5.4236	4.7519	4.6769	4.421	6.233	5.0704	5.8	4.2069	4.6835	5.3593	4.8616	7.3285	8.6077	6.9381	4.8188	5.1131	5.1742	4.6866	4.5623	4.7572
EA_G__DEGS2	10.094	7.8298	7.062	10.9171	11.1362	6.9738	11.1875	7.0794	6.9282	7.169	7.3682	7.8178	11.8243	7.0946	7.2195	7.4204	7.132	9.2692	9.1281	8.1767	6.9468	7.466	6.9471	8.7706	10.052	10.3736	7.0186	11.2507	7.0805	9.9454	11.6743	10.5058	8.2788	7.3888	7.2168	7.1113	10.6843	10.3998	9.5285	10.7139	11.6494	11.3238
EA_G__NPAL2	6.9008	5.9027	6.8153	6.3489	6.9902	4.937	4.6577	3.3981	5.4937	6.2101	3.9815	8.9241	8.0853	6.4543	4.0973	7.2119	6.8325	7.3829	7.1773	6.7199	5.7675	6.141	6.516	7.0963	6.8102	4.6957	6.6986	7.2536	6.4927	6.9277	6.313	5.4176	5.8846	5.0348	6.7427	5.276	5.5001	8.6295	6.5493	6.7587	6.7578	6.4154
EA_G__TGFBR2	6.9434	7.122	8.3904	6.5636	4.7044	7.6681	4.6862	7.6677	8.3695	6.7089	8.3645	4.4748	5.3047	5.4067	7.9499	7.6715	8.5874	5.241	4.773	7.6865	7.6328	7.8443	8.9298	5.7233	6.4778	5.1441	7.1766	5.8674	8.7346	5.9185	7.2226	5.4298	6.893	8.0594	8.1697	9.4684	5.389	6.8625	5.8513	5.002	4.6654	4.2384
EA_G__EGFR	7.0647	8.2975	10.5214	7.0644	5.2572	8.4673	4.4568	7.2387	8.684	8.52	7.7874	4.1842	5.2693	6.4645	8.6796	8.6335	8.7636	6.7396	8.5062	8.3438	6.3164	8.6417	8.6737	5.6004	4.6993	4.237	8.2983	6.3225	9.1647	6.6811	4.4528	5.0546	8.2905	7.1305	9.1228	7.7843	5.1254	6.712	4.8298	6.2005	6.3168	5.4392
EA_G__MID1	7.3575	7.8671	7.6225	6.5319	4.0253	9.2256	4.8036	9.0248	5.4959	6.325	7.5814	4.2086	3.5424	6.8833	6.9614	7.3835	8.122	3.8564	9.1473	8.728	6.919	7.6831	6.2463	5.1206	4.2893	4.6719	9.4667	4.9579	6.9923	5.9284	5.9819	4.6915	7.7104	7.4575	6.4535	6.77	5.7152	5.6586	6.2357	6.9547	5.6867	6.1604
EA_G__SYDE1	6.3871	6.1369	6.3992	6.3616	5.8841	8.4653	5.4574	8.481	8.3258	6.6153	7.9902	5.8161	5.3023	6.2033	6.9579	7.0087	6.4074	6.6718	6.1217	6.9318	8.2904	7.7112	8.9081	6.0991	6.2731	5.5612	8.7207	6.3382	8.9894	5.7382	5.0994	6.1707	6.551	8.0444	7.0048	8.2118	6.1916	5.8197	5.9689	6.0967	6.3412	6.0907
