Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
EA_G__CDCP1	8.534	6.3089	8.0251	7.65	4.5396	7.6241	7.5829	9.0594	7.5934	5.7738	6.733	7.5561	6.2779	9.0341	9.1124	8.9327	5.5502	8.5008	9.5947	6.558	8.4237	4.6847	5.0267	5.1655	8.1914	4.6864	7.5262	8.0631	7.9998	6.7411	9.2516	8.0166	8.0431	6.3926	10.3823	8.3255	9.0246	5.3489	7.2998	7.685	8.3503	6.4495	7.7927	7.2571
EA_G__MME	3.7488	4.2193	5.8745	3.8299	5.8503	3.7392	7.7406	4.4121	4.1589	5.4356	3.8361	3.8756	4.0762	4.4176	7.8495	4.8749	5.7301	3.9929	4.2718	10.0839	9.1142	5.8842	4.1751	5.6371	3.8823	10.2583	5.1333	4.1547	3.6984	3.8362	8.1986	6.2662	9.634	4.2118	10.1735	8.6152	7.2612	4.1969	4.223	3.8639	3.7725	3.9829	3.6667	4.0496
EA_G__B4GALNT1	6.4731	5.449	5.1344	5.891	8.2262	7.3138	7.5268	7.4049	7.3268	6.8971	4.6753	6.7284	7.6681	7.8394	5.1563	5.2945	5.1335	4.9134	6.8708	7.8115	7.1808	7.2349	7.1537	7.3249	6.5747	7.1554	5.2487	6.2731	8.1105	6.3089	6.7294	6.1507	4.6849	5.5622	7.7587	6.5329	6.9668	5.2211	5.7415	6.2031	5.0823	5.3667	7.2733	7.8176
EA_G__ALDH1A3	8.1307	7.1477	5.5462	5.1046	5.1706	5.5215	7.9434	10.5997	7.9756	6.3243	10.1103	5.3869	5.9514	8.1333	9.9057	10.7197	6.5167	8.2221	9.5832	5.4772	8.5415	6.7888	6.6298	5.1017	4.9374	6.9108	7.7315	6.1897	5.2779	6.2757	8.4205	5.6755	8.3659	8.4467	5.2612	7.2848	6.2392	5.4542	5.849	7.0659	5.5996	9	7.2203	5.9235
EA_G__LOC493869	7.5675	4.5883	6.5814	6.1373	9.9093	3.4796	9.1786	6.1974	8.7434	9.0133	2.7338	6.9972	7.0989	7.0566	6.7197	7.9293	7.2688	4.9328	8.408	8.8576	8.31	8.9892	6.3644	5.0232	6.2845	9.1317	6.159	8.3857	6.483	7.7228	9.177	4.5915	7.9309	3.9953	9.3612	8.0153	9.2636	9.5856	5.9401	8.3805	5.4012	7.5894	4.2873	7.5247
EA_G__PLEKHA2	7.1913	6.803	6.5699	6.9505	7.0212	8.056	8.2724	6.1693	6.8387	6.144	5.8322	5.3397	6.7633	8.1319	6.7739	6.2636	6.8222	7.5654	6.2065	9.2582	6.7399	6.4447	6.4472	5.9849	8.7015	8.2691	7.2099	6.2644	7.1486	6.7822	6.6698	6.1039	6.9273	6.6202	8.0243	8.0466	8.578	6.8361	8.7067	6.925	6.6464	6.4765	6.2896	5.8709
EA_G__FSTL3	6.2606	6.7712	6.6243	7.9925	8.29	6.6981	7.8385	7.3862	6.3513	6.9988	6.7904	6.481	7.0656	7.7062	6.8675	6.8262	7.524	6.3215	7.57	7.4797	6.2131	8.9828	7.7468	7.4046	6.4834	9.5208	6.8041	7.4653	6.6931	5.9216	7.9857	7.1502	6.5009	7.1409	7.4427	8.0244	8.7911	6.6813	6.5094	6.7341	6.7612	7.2488	6.8778	7.3586
EA_G__DENND1B	6.8796	6.6791	7.167	7.3121	4.7193	6.0054	5.6419	5.8785	5.9951	5.7859	6.8062	6.8071	6.1834	6.5026	6.5064	6.6765	6.7352	7.4498	6.5538	5.7247	7.5458	5.444	6.254	6.4954	6.4321	5.8145	6.9989	5.6087	6.7896	7.0417	5.8056	8.8044	6.7764	6.7401	5.1312	5.7658	5.6866	7.0638	6.6987	5.8053	7.2246	6.7071	7.9649	9.7169
EA_G__FADS1	6.6433	4.7141	9.5956	7.4039	10.1515	7.5281	8.983	8.2598	7.0575	9.9309	4.0972	5.4088	10.6542	8.1857	8.0502	5.5901	8.3366	7.0268	4.6587	9.6457	7.7037	9.4569	9.3974	9.182	9.1142	8.5065	8.1467	9.8587	8.5301	8.809	10.3329	7.6383	6.5242	4.5228	9.4392	10.2821	8.8653	9.5297	7.2535	8.3505	8.5121	8.4168	6.6254	8.136
EA_G__LMO7	7.6731	6.5284	5.5825	6.1239	6.081	4.106	5.5905	6.1256	4.5288	5.9374	7.3607	4.6904	4.8826	5.7004	7.0428	6.5727	5.7768	6.1652	6.0387	5.387	6.0907	8.0948	5.1328	4.666	4.7513	6.0843	7.3314	6.5699	6.8938	4.2532	5.6304	4.6378	5.2993	5.6083	4.7084	6.4778	5.7408	7.5781	4.877	5.8103	6.4448	5.2953	5.9205	5.7893
EA_G__RAPGEF5	6.3415	7.266	6.5457	6.6712	3.3864	4.7324	3.7336	6.3047	5.8669	4.0035	7.7655	6.0587	6.0581	5.7079	6.3887	6.0594	7.4801	5.7724	6.221	4.9361	7.0582	4.0924	4.4095	5.2392	6.3018	3.484	7.3046	5.3194	5.321	6.2087	5.8377	5.705	6.4751	6.5869	3.6423	5.23	3.6547	8.3677	6.4436	5.4905	6.7032	7.1257	4.9861	4.911
EA_G__ZNF512	7.3129	6.7068	5.5243	5.8936	8.1995	7.635	7.7058	5.4786	7.3626	8.0255	6.0017	6.718	3.9479	8.0701	7.3707	3.597	5.7202	4.7242	7.7137	6.9084	6.3021	7.5193	6.5412	6.2445	8.0595	4.3519	6.7414	8.0706	4.2979	7.1686	7.2935	6.4379	8.2519	6.7135	7.693	6.7716	7.5241	3.7381	3.9734	6.6712	7.1651	6.9971	3.7222	3.8395
EA_G__PRKAR2B	3.6639	4.751	6.673	7.3892	4.2612	5.5339	5.7103	6.1629	5.6519	5.6035	7.3352	8.2984	6.7023	3.924	7.0818	5.0653	4.5253	7.3375	6.4084	5.38	8.6228	5.2452	7.008	6.7479	8.6709	6.3269	7.4685	5.5951	6.3291	4.8747	6.2449	4.7273	7.7586	5.1911	6.4866	4.6942	3.6612	6.1377	5.7235	5.3886	6.9424	7.489	6.823	6.4128
EA_G__TRIM2	7.2597	7.137	4.7722	6.2387	6.1651	4.1329	5.7912	6.8984	4.7266	4.0395	7.2581	7.8881	10.0237	5.7033	7.2513	7.1482	5.4603	7.8224	6.3703	8.1367	7.9034	5.5586	5.3959	4.7806	5.6146	5.1671	5.8051	6.2862	5.6734	4.4196	5.4759	4.8522	6.3746	7.0445	5.4075	6.4668	5.7009	6.3436	6.7716	6.2338	5.5356	7.4517	4.0568	4.1308
EA_G__STS	8.143	6.7578	9.0473	6.5325	5.225	5.693	5.8278	5.4704	5.3683	5.3946	6.1455	9.8669	5.3857	5.7559	7.7408	7.5128	6.6342	8.0108	6.1489	3.963	7.8473	6.9436	5.5505	6.341	5.6965	6.5913	8.3982	6.5483	10.4565	9.262	5.3317	8.2868	7.1627	6.7478	5.2848	5.6274	7.1699	7.0427	4.632	6.0835	7.854	8.5661	7.2758	6.1104
EA_G__MARVELD1	6.3862	5.3113	5.5142	6.3847	7.6134	5.3264	7.7939	7.1404	5.7017	7.7105	6.0777	6.1142	6.5362	7.5039	6.5506	5.3668	5.4092	5.8617	5.7939	6.82	6.0213	7.1847	7.3941	7.3092	7.5172	7.7933	6.0998	7.0751	6.4668	6.1576	5.6635	7.2206	5.8848	5.5818	8.5826	7.8275	6.9251	6.5543	5.574	6.505	5.7338	6.859	5.6257	5.8763
EA_G__ELF3	8.5748	8.8252	8.1308	8.1399	4.9138	6.864	5.3982	7.729	8.3153	4.8811	8.1281	7.8905	8.1319	6.3321	7.717	8.7614	8.4982	8.9846	7.547	5.2282	9.2539	4.9362	7.7912	7.3381	6.4985	4.9177	8.1983	5.4539	7.7294	8.0609	5.6331	7.1314	8.4209	8.8807	5.3636	7.1317	5.4265	7.6445	8.2198	8.1507	6.9046	9.3212	8.6266	9.6058
EA_G__GSTM1	12.3907	7.3875	5.9395	5.8015	5.6636	7.3839	5.7707	5.0503	5.5683	4.8515	4.5177	5.4674	6.3215	5.9299	6.0055	5.3355	6.6074	5.2029	6.2608	6.4643	6.6106	9.7387	6.5492	6.8102	12.1719	5.6328	5.7427	7.707	5.7975	12.6051	5.7817	6.8594	5.8435	6.9397	6.0778	6.7558	8.118	5.4311	7.3365	6.3787	5.9674	5.418	6.2534	5.4186
EA_G__CEACAM6	11.9576	9.4552	10.4191	6.7394	4.4249	4.3434	4.1091	4.5225	3.7734	4.2987	10.2871	4.6155	4.2125	5.4873	5.8584	7.5965	6.3312	10.3529	4.6112	3.9866	7.9509	4.1852	8.4815	7.3165	4.5002	3.6986	8.7179	4.1634	10.9123	10.8417	3.9724	4.9382	5.1681	6.4947	4.7785	4.201	4.5135	7.5353	7.5093	6.1862	8.1197	8.321	6.9771	9.7418
EA_G__SLC6A15	3.7785	7.1291	3.273	3.5835	3.7372	3.1815	3.6574	6.8971	5.2064	5.4965	3.1428	3.5551	7.6077	6.8517	3.0742	3.4851	3.6928	3.4727	3.4102	7.1976	3.5516	3.4367	3.5232	3.5706	3.5068	5.6345	3.6135	3.5408	3.2714	3.3421	3.831	3.7884	3.3417	7.2049	7.9561	7.7974	3.8068	3.4867	3.9042	3.6704	3.4567	3.7111	3.4996	6.9265
EA_G__DKK3	5.3981	5.5437	5.7281	5.4745	8.5109	5.6116	8.8344	5.7278	6.3657	8.1004	5.4808	5.5502	5.6327	6.9404	5.5621	5.7794	5.8143	5.638	6.2634	8.5884	5.6952	7.4382	6.0512	5.7428	6.6315	10.7195	5.8877	6.0222	5.2727	5.3942	5.8835	6.4128	5.3825	6.08	7.8756	5.8818	9.2136	5.5876	6.1618	5.9572	6.0086	5.656	5.8007	5.6656
