Cell lines	600MPE	BT20	BT474	BT483	BT549	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	SKBR3	SUM1315MO2	SUM149PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__SFRP1	4.6986	5.765	4.5424	4.5532	6.6239	7.3617	5.3977	5.5117	4.5348	4.5497	7.4503	5.8191	7.7735	4.5245	4.7684	8.1133	5.4268	4.9546	5.1001	4.8552	4.8744	4.6306	7.8071	4.9372	5.3745	4.4019	4.9286	4.7019	8.6736	5.3775	5.3896	5.2089	4.9447	4.5128	5.2018	4.7946
EA_G__MB	5.5817	6.3524	7.2958	5.4405	5.2965	4.99	4.7298	4.5217	6.6331	5.3755	4.4841	4.3542	5.2556	5.9544	8.1329	5.7617	4.0266	5.7767	4.4095	5.9646	5.6589	5.4337	3.8807	7.0531	7.3515	7.1651	7.5111	4.3969	4.8076	5.781	6.2852	6.3506	5.5164	6.4085	7.0086	6.8752
EA_G__SPG20	6.4757	3.0776	3.5577	5.1113	7.816	5.5456	6.6799	7.0237	4.4108	4.0133	5.9425	7.2958	3.4923	3.9953	3.519	5.1023	6.697	5.8755	6.5782	3.5495	5.1681	4.2738	5.3775	4.8571	3.8283	3.2704	5.2663	7.3736	6.6888	6.0086	4.8501	4.7567	4.7806	5.011	4.7522	4.8467
EA_G__PAM	6.5052	5.5615	4.5272	6.1303	7.0171	7.2144	6.0641	8.2595	3.1025	4.9383	7.1762	4.9999	6.0377	6.6389	4.5273	6.7896	7.1617	8.613	7.5186	5.2341	5.5056	4.6225	7.5426	5.3885	5.0625	4.3787	4.9324	6.9623	7.0458	7.6836	8.1557	5.5748	6.8696	6.1874	5.2083	6.1323
EA_G__TMEM164	7.0979	7.5251	7.6781	8.5025	8.6222	6.4544	7.9946	7.5203	7.2907	10.3866	7.6298	6.9435	6.7799	7.3942	7.5043	6.098	6.9625	8.2039	6.4079	7.2698	7.5322	8.1896	6.8379	7.2051	7.6833	8.395	8.247	6.3434	7.049	7.9599	6.9667	8.2506	6.4222	8.5694	7.892	7.3908
EA_G__GSTP1	11.5172	6.1295	6.0346	5.6096	11.1308	12.02	11.7468	11.734	5.8607	5.9335	11.77	12.0193	5.513	5.9581	11.1635	11.2713	11.265	8.5568	10.561	6.195	5.9383	6.017	11.1738	6.1668	5.7978	11.6968	9.2514	11.0721	11.5502	11.9288	6.2721	6.4486	6.3612	5.7143	6.0423	7.4988
EA_G__PGF	5.602	6.0041	5.772	5.406	6.2008	6.0163	5.8025	5.8768	5.3008	5.5795	7.2205	6.9579	5.8713	5.7716	6.156	6.2143	6.1993	6.1518	7.7203	5.8004	6.2033	7.841	8.116	5.7095	5.7111	5.3044	6.159	5.5805	6.3683	7.055	6.285	5.8603	6.2237	5.9724	5.9649	5.7674
EA_G__TTYH2	6.2957	5.3886	6.0106	6.5553	5.9514	7.415	5.2801	6.7154	5.6287	6.4406	7.8237	7.6494	5.8357	5.2787	5.5356	7.1352	7.4015	5.3558	5.6399	6.1033	5.7759	5.4237	7.2426	6.2308	5.9844	5.3898	6.9804	7.2142	6.6988	5.921	5.5468	5.4572	6.5865	6.6331	6.2074	8.1749
EA_G__SDC1	9.8678	9.9144	9.5408	10.3	8.2603	8.3541	10.0467	8.3696	10.5063	8.5726	8.8345	9.0355	9.2236	9.4389	9.8784	8.3024	7.9464	10.0645	8.4409	9.4673	8.7275	8.6508	8.7282	10.8626	9.0714	9.007	10.3639	7.9955	7.9054	9.8965	9.1961	9.5786	8.4186	9.5167	8.2436	8.615
EA_G__EFEMP1	8.9932	4.1539	5.1865	7.8477	9.5279	10.6762	4.3132	6.7744	5.8441	8.2369	4.4974	8.7016	8.8237	7.8833	9.5514	9.4495	10.4554	9.7036	7.9544	6.7067	7.2431	4.2682	10.2084	7.8036	6.0749	8.1426	9.074	4.0759	10.5316	10.1493	7.0303	4.5549	9.4677	7.1217	7.8647	5.6764
EA_G__LTBP2	6.4939	6.5526	5.8484	5.7214	5.8612	7.2573	9.4343	6.9893	5.5716	5.7214	6.0676	6.8141	6.828	6.5184	6.3254	6.36	8.5798	6.1362	8.6763	6.3948	6.1604	6.2484	8.5092	6.593	5.7252	5.5235	6.142	7.3028	6.7043	6.5798	6.8782	6.3072	6.3083	5.977	6.2503	6.0799
EA_G__COL6A1	6.4655	6.43	6.468	6.6022	7.7676	9.0875	5.9974	10.3939	5.8722	6.1268	8.5582	7.8176	7.4242	6.2756	6.3333	6.5532	10.1632	6.3377	11.1987	6.6858	6.6419	6.122	11.506	7.7945	6.5551	5.9473	6.3821	8.3978	8.1566	6.2869	7.2379	6.8732	6.525	6.6154	6.361	6.6971
EA_G__C10orf38	6.2483	5.3839	5.3107	5.1599	8.0693	7.2034	9.0347	6.0324	4.802	4.8767	7.5243	7.2618	6.0726	5.855	5.238	6.5257	7.1925	5.3892	7.1998	5.5845	5.4859	4.9971	8.3927	5.5611	5.2761	4.6143	5.3883	5.3581	5.9375	5.5203	5.343	5.5036	5.4112	5.5978	5.3111	5.3004
EA_G__TH	6.264	7.2544	6.6092	6.609	6.1427	6.294	6.2948	6.33	10.9318	6.2102	6.3139	6.5998	6.2511	6.5761	6.8407	6.2144	6.1623	6.4761	6.1416	7.0274	6.8291	6.5394	6.3737	6.4649	7.2187	7.6232	8.1688	6.4326	6.603	6.5796	6.6657	6.9925	6.6708	6.4227	6.4724	6.5847
EA_G__MCAM	5.2407	5.3307	5.1883	5.2259	5.6003	9.3743	7.982	7.1729	5.052	4.9842	9.6692	7.1972	5.6044	5.2324	6.1156	8.2544	7.2642	6.6063	6.1967	5.3892	5.3243	5.0364	10.2004	5.3038	5.0728	5.3592	5.5648	6.5817	8.8252	5.4652	6.1593	5.5898	5.4962	5.4539	5.5286	5.1903
EA_G__HBEGF	5.9666	5.8554	4.9068	5.1174	9.3836	5.5354	5.6776	5.656	4.9952	5.2972	5.4996	8.232	7.5528	5.0328	5.4704	6.2009	5.3934	5.9594	7.3717	5.279	5.3204	5.4978	6.9636	5.6472	4.8683	5.0741	5.1797	6.7088	5.5459	5.4672	6.9455	5.2866	5.6012	5.0115	5.3434	4.9792
EA_G__C19orf21	9.6189	8.9019	8.7564	8.9369	5.9232	8.5302	5.5468	5.8788	9.3517	5.2243	6.8438	8.0179	8.5636	8.8702	9.7186	5.4781	5.5555	6.6279	5.5706	8.7843	8.5778	8.8654	5.7745	9.6936	8.8758	8.9668	9.9506	5.9944	6.0195	8.618	7.5417	8.3524	7.9338	8.3996	8.8792	9.0596
EA_G__COL4A1	5.2274	5.7736	5.0845	4.9534	8.4977	7.7123	5.163	7.1576	4.8711	4.8859	6.8901	7.6945	6.6224	5.5455	5.3043	8.5407	8.3695	5.3973	9.1832	5.3929	5.3075	5.1744	10.8621	5.4841	5.0616	4.8149	5.2895	5.8097	6.7643	5.1567	5.4451	5.4895	5.3269	5.26	5.2465	5.1624
EA_G__FAM59A	7.1098	6.5341	7.2024	7.3453	4.8712	5.9347	5.9744	5.6379	7.3743	6.2539	5.5819	5.5316	4.9289	7.2641	5.9312	5.9031	4.8528	7.5857	5.9462	6.6224	6.0759	7.2006	4.0473	6.5938	7.0464	6.7735	7.0846	5.2325	6.4577	6.2579	7.22	6.1833	5.4105	6.3264	6.358	6.649
EA_G__SYT12	6.5702	7.2923	6.4667	7.2718	5.6842	5.3679	8.048	5.0011	5.5349	7.2782	6.3472	5.9473	6.3003	7.3051	8.2401	5.853	5.1824	7.0638	5.2108	8.037	7.7083	6.7108	5.4029	6.0574	6.4297	7.8238	7.193	6.263	8.7831	5.3229	6.7599	7.2041	6.3496	8.237	7.9768	6.5939
EA_G__PTPRM	6.1723	6.3564	5.8235	4.0196	4.3371	6.9291	4.1798	6.622	4.0832	3.8877	6.3608	4.1431	5.9112	5.6496	3.9882	6.5661	8.2248	6.089	7.8979	4.417	4.1385	4.2472	7.2107	6.9261	5.921	4.5732	4.3981	6.7359	8.1968	5.2382	5.5253	5.3613	4.3122	5.5276	7.1118	5.9902
EA_G__BMP4	6.759	5.0114	6.0309	6.098	6.0715	6.7259	4.6689	6.2272	4.4739	6.9521	5.1107	6.0793	7.2095	5.0103	7.2881	5.2657	6.2001	5.1243	5.8727	6.6692	6.7862	6.3408	6.9458	4.7369	6.0005	4.8624	4.8065	4.6613	8.2492	8.2262	6.6187	5.3941	6.9863	5.8698	5.6496	5.4777
EA_G__UNC13B	5.793	6.0376	9.2627	6.7893	6.8557	6.1135	6.5985	4.7743	8.1912	6.3839	5.7764	5.9227	5.9355	5.9763	10.2206	6.573	5.9399	4.9792	6.2561	6.4183	7.4598	7.4711	5.3058	6.8949	6.8314	6.8136	6.1782	7.1852	5.2062	6.2335	6.8873	6.5187	6.9894	6.8792	6.4913	7.3279
EA_G__BCAT1	3.559	3.5691	3.6425	3.4845	3.6725	3.8186	5.6875	4.1368	3.6033	3.645	6.6512	8.3436	4.4085	3.8989	3.9405	3.6893	7.2425	4.7664	7.319	4.3085	4.3023	3.8038	6.9113	4.4397	3.6262	3.5873	4.3198	8.4699	7.2623	7.984	5.3429	4.0087	4.0349	3.7986	4.0382	3.8361
