Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__CRIM1	9.0196	8.3091	9.5842	6.5929	7.7545	9.7719	4.9514	9.4674	7.4445	8.0665	5.769	8.1182	7.7723	9.2139	9.9786	9.1736	9.1212	9.553	8.9683	9.1882	10.6462	6.9248	7.2872	7.1522	10.3139	7.9992	10.2066	6.0395	8.0396	5.5615	8.5579	8.5317	9.052	10.2588	7.9147	7.6815	8.6219	8.7841	8.2763	5.0659	6.9187
EA_G__FYN	6.4822	4.8816	6.1063	4.3322	4.2317	4.5595	4.1797	6.6783	5.2254	6.9111	3.9868	4.3095	5.2342	4.7263	7.1599	5.2737	5.5262	6.8905	6.7575	4.3306	8.3757	5.4058	4.5424	6.8396	8.064	4.864	7.376	4.0949	4.3392	4.9848	5.0097	6.3964	5.0807	7.2559	4.5524	5.9687	5.3704	4.4577	5.6385	4.2118	4.5727
EA_G__TNFRSF10D	5.7276	4.8208	5.2505	5.3309	4.8569	5.2122	4.9865	9.4386	6.0713	4.6306	4.9172	5.1315	7.0982	8.2606	6.855	6.3335	5.0042	9.7195	8.7209	5.5037	10.295	5.3911	5.5728	5.0353	7.8567	5.239	9.9193	4.9642	4.8413	6.2061	5.1046	8.6491	5.4883	8.8688	5.4891	7.3926	5.5695	5.3514	5.244	7.0936	5.5706
EA_G__CYR61	8.1331	7.5718	8.3996	6.2582	7.0497	10.1687	6.6562	8.8232	5.6125	7.8517	6.3522	6.707	7.4924	7.1965	9.2169	9.0015	7.3317	9.6694	10.232	7.091	10.623	6.3553	5.982	5.9694	8.6434	7.9536	11.0584	6.8937	6.6652	6.7454	8.1061	10.084	8.4031	9.4395	6.6971	7.8889	6.4717	6.9073	7.0874	6.1877	6.0361
EA_G__COL6A1	6.4655	6.0794	6.43	6.468	6.6022	7.7676	6.0711	9.0875	5.9974	10.3939	5.8722	6.1268	8.5582	7.8176	7.4242	6.2756	6.3333	6.5532	10.1632	6.3377	11.1987	6.6858	6.6419	6.122	11.506	7.7945	7.2708	6.5551	5.9473	7.0464	6.3821	8.3978	8.1566	7.3378	6.2869	7.2379	6.8732	6.525	6.6154	6.361	6.6971
EA_G__POPDC3	4.0536	5.4767	8.9926	3.4924	3.4786	4.7785	3.2555	7.1357	3.5857	3.6644	4.5477	4.0952	8.0904	6.8204	5.9743	7.1176	3.69	6.6232	7.4945	6.4594	5.9804	4.1027	3.6397	3.7352	6.6553	3.6034	7.7354	3.7091	5.9969	3.737	4.2054	7.9858	6.6727	5.0813	3.6103	7.014	7.0935	3.6805	4.3597	3.6212	4.6441
EA_G__APOBEC3B	7.2748	2.4381	7.9352	8.3055	7.3443	8.2441	6.6623	10.1427	6.7805	8.8728	6.3942	6.455	8.3806	6.6707	8.7842	9.2429	7.323	6.5672	4.221	5.4002	8.6776	5.881	7.475	7.3582	7.6135	6.9365	8.0777	7.5166	8.3532	7.8404	4.393	7.6028	6.2948	8.2245	7.9759	8.6403	4.4436	8.2439	7.2063	8.0971	6.7079
EA_G__ANXA1	9.3451	3.6072	8.2376	4.0476	6.3945	10.2017	3.5434	10.6675	5.6443	9.7178	5.7747	3.241	9.4661	10.3797	10.7509	10.8582	5.1369	10.5083	10.031	11.0436	10.0326	3.448	3.7029	7.6301	10.0666	7.3355	9.9841	4.7581	8.4359	3.764	5.1137	11.0653	10.5969	9.902	8.9069	10.2567	8.2487	5.7561	3.9458	3.0291	3.6732
EA_G__SLC44A4	11.6736	6.0217	5.1742	6.4575	6.28	5.1744	5.8406	5.1784	5.4359	5.1851	5.2161	5.3873	5.2039	5.4683	5.0755	5.4196	9.9478	5.5018	5.1499	6.7549	5.1958	5.7664	5.7798	8.0796	5.3333	8.6219	5.4313	5.9026	11.0876	7.5139	7.3705	5.4841	5.7716	5.4328	11.6179	5.6014	6.6319	5.8825	6.0667	10.1028	9.7302
EA_G__STS-1	5.2033	5.2244	9.0503	4.6973	4.8157	5.8729	4.6605	8.0688	5.1083	7.3136	4.7549	4.4609	7.6737	8.3529	8.4559	8.6415	5.1812	8.8066	7.7323	7.8819	8.4816	5.1073	5.0474	4.5253	5.032	5.6294	7.8078	5.5263	4.3696	5.545	5.6356	5.6818	6.8601	7.5785	7.1292	6.3024	5.5028	5.2742	4.7396	5.0443	5.2837
EA_G__C11orf82	5.4609	6.6509	7.0184	5.8662	6.1257	6.612	5.9729	7.3918	5.794	6.557	5.736	6.3239	6.8492	8.7831	6.1601	7.329	5.4224	6.7061	7.6886	5.452	6.9309	6.4962	6.308	5.3933	6.4071	4.8317	6.9059	5.714	5.3618	5.9928	5.8672	5.7982	5.7614	7.2557	5.8854	5.4156	5.9697	6.6975	6.4483	5.2868	5.7959
EA_G__PRODH	7.1166	8.5848	5.3758	9.6968	6.5807	5.2856	9.8394	7.3753	6.3146	5.293	9.9249	7.0011	5.3203	5.7339	6.3419	5.347	9.6035	5.5817	5.3378	5.6238	5.3479	6.1188	5.8214	6.8612	5.7096	10.3624	5.3603	10.5759	10.8014	10.6464	6.5433	5.7008	5.7056	5.2411	7.8362	10.5858	9.7075	7.7263	6.2829	10.3923	9.6963
EA_G__C10orf38	6.2483	5.0201	5.3839	5.3107	5.1599	8.0693	5.1925	7.2034	9.0347	6.0324	4.802	4.8767	7.5243	7.2618	6.0726	5.855	5.238	6.5257	7.1925	5.3892	7.1998	5.5845	5.4859	4.9971	8.3927	5.5611	7.5852	5.2761	4.6143	5.828	5.3883	5.3581	5.9375	7.9592	5.5203	5.343	5.5036	5.4112	5.5978	5.3111	5.3004
EA_G__SPDEF	9.8828	10.1908	7.4018	10.7931	10.5658	5.6685	11.013	5.9359	6.1425	5.7703	10.7443	9.8237	6.0475	6.0136	6.4407	7.5494	10.0929	6.9762	5.6718	6.3194	5.7139	10.0469	10.246	9.7584	5.6466	10.4039	7.0764	10.5661	10.3098	10.5877	10.0553	6.1331	6.4231	5.9152	10.0886	9.922	10.6581	9.6624	10.226	11.1169	10.8329
EA_G__CRIP2	10.4931	10.8373	8.5349	10.9609	12.0226	9.889	9.8807	8.4184	9.5757	7.1672	11.6983	10.5287	8.4838	7.4709	7.5177	8.5105	9.9585	8.7795	9.9819	10.025	8.8842	10.8957	10.0144	10.4003	9.5079	9.8837	6.5594	11.1565	9.5562	9.9669	10.9026	9.354	8.7135	7.478	11.0502	10.7092	8.721	10.6665	10.0145	10.3347	10.564
EA_G__SYT7	7.3093	7.8438	6.3065	9.013	8.1538	5.624	7.1669	6.5406	9.135	8.0894	6.5977	7.5207	7.5053	6.4084	7.0307	6.5839	7.5656	5.8712	5.0595	7.731	5.6967	7.7789	7.5346	9.5571	5.577	7.9565	5.5078	7.7687	8.2806	6.7126	7.8086	5.8711	5.7903	5.8368	8.2797	7.6034	7.7134	7.6941	7.9714	7.917	7.5292
EA_G__RND1	7.3143	8.2366	5.1518	5.5848	8.1345	5.2959	7.5678	4.9253	6.6945	4.833	6.5432	5.3653	4.8394	5.688	5.355	5.6049	6.4109	5.1296	5.0251	5.5654	4.655	7.389	6.8855	7.5082	4.321	9.0383	5.229	6.9107	7.667	7.8736	8.9453	5.08	5.2271	5.1002	6.2484	6.2849	5.9817	7.1618	8.9243	7.8627	6.9375
EA_G__EXT1	6.9002	7.2851	8.0007	7.2317	7.4158	9.4078	6.2099	9.0509	8.0849	9.5899	7.5442	7.2337	7.5812	8.4481	9.2912	10.1238	9.2087	8.4022	7.6371	8.1848	10.0477	6.7194	6.7105	5.5645	9.9259	7.4582	9.0962	7.2525	7.5283	7.3022	6.8852	8.3403	7.8279	8.393	7.9956	8.4691	6.9261	7.0398	7.4408	6.3569	6.7935
EA_G__TJP3	9.3077	8.0518	7.766	8.3849	8.6587	5.9377	7.9192	6.4262	6.6429	5.9521	9.8328	7.6407	6.3501	6.2599	7.1653	7.5222	8.4592	6.5682	5.9474	8.0263	5.6884	8.0699	7.9648	7.8198	5.7056	8.8534	6.1169	8.5057	8.1059	8.1475	7.9939	6.014	7.1509	6.1539	8.6348	7.4672	7.8886	8.6752	8.1957	8.4645	8.0411
EA_G__MLPH	9.7749	8.9613	8.6126	9.4537	9.4619	7.2434	8.8593	6.8868	6.8657	5.9652	10.2061	9.2145	6.1493	7.1993	6.1736	7.9823	9.408	7.7663	8.4935	7.6096	7.3314	9.3005	9.7117	9.0131	8.2664	9.9729	8.0714	10.0726	9.6628	9.7087	9.4819	6.3658	8.0179	6.4396	9.4011	9.1543	9.9994	9.2638	8.9017	10.4752	9.9638
EA_G__COL6A2	6.6302	6.6511	7.3117	6.9673	7.2551	7.9296	6.6004	8.7589	6.7259	10.2792	6.5324	6.6504	8.1956	7.8025	7.4572	6.8103	6.8826	7.1181	10.0293	6.9764	10.7826	7.1572	7.2812	6.7611	11.3673	6.8377	7.0407	7.15	6.5697	7.5773	7.0053	8.328	7.9163	7.7346	6.9604	7.3515	7.384	7.0124	7.0688	7.0345	7.4179
EA_G__TTC19	8.6527	8.2419	9.1502	8.8749	8.2278	8.7502	8.0066	8.9872	8.1973	8.8045	11.2654	7.9345	8.8368	8.701	8.9498	8.4536	8.3788	8.8937	8.1428	7.8048	8.3982	8.0098	8.7224	8.0369	8.7694	7.8061	8.8368	8.2474	8.4269	8.5385	8.4692	8.3053	8.2343	7.9473	8.2896	8.1058	8.6106	8.0567	8.1428	8.3585	8.3437
