Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__MFAP2	5.7826	6.4032	5.8835	5.9616	7.052	7.9288	5.6943	6.8463	8.2588	6.953	5.4328	7.2136	5.8401	8.0022	6.7847	5.8888	7.0134	5.9638	7.7595	6.3354	8.4242	6.1778	6.2912	7.792	7.3194	6.6679	5.8938	5.7406	5.6681	7.0369	7.0438	8.2636	6.6736	6.0061	8.6836	5.9257	6.235	6.3832	5.7762	5.8864	6.4897
EA_G__TESK1	7.8959	8.3032	8.1661	8.4928	8.928	7.993	8.7249	8.4959	8.4588	7.8626	8.4984	8.442	8.6059	8.527	8.1811	8.2056	11.6165	8.5538	7.971	8.7505	8.1073	8.3541	8.3853	8.6143	8.4285	8.7537	7.8268	9.5718	8.7004	9.3688	8.2201	7.8973	7.1274	7.8586	9.2457	8.4639	8.6664	8.1986	8.1951	9.1038	8.8505
EA_G__FLVCR2	5.4626	7.5535	5.8178	6.0793	5.5116	5.4953	5.8176	5.7567	5.4905	4.6849	6.7961	5.7686	6.7249	5.3441	5.2273	6.0838	6.3586	5.1808	6.5591	5.3062	5.2765	7.8993	7.8073	5.1212	6.1356	6.6858	5.195	6.0687	5.9393	5.4928	6.996	5.1607	5.8194	8.6946	6.6511	6.7542	5.458	6.6322	6.6091	5.2316	5.2693
EA_G__GPD1L	7.1581	8.4613	5.3985	8.9161	7.7328	6.4188	7.7827	6.2488	5.9624	6.2165	8.38	7.4073	6.0314	6.2961	6.7928	7.0246	9.6036	7.1174	6.939	6.6889	6.1596	8.6801	8.5606	7.1846	6.3214	7.8672	6.7807	8.9259	7.8841	8.5556	8.1451	6.377	7.0466	7.118	8.1813	7.3485	8.142	7.77	7.872	8.385	7.5835
EA_G__C10orf38	6.2483	5.0201	5.3839	5.3107	5.1599	8.0693	5.1925	7.2034	9.0347	6.0324	4.802	4.8767	7.5243	7.2618	6.0726	5.855	5.238	6.5257	7.1925	5.3892	7.1998	5.5845	5.4859	4.9971	8.3927	5.5611	7.5852	5.2761	4.6143	5.828	5.3883	5.3581	5.9375	7.9592	5.5203	5.343	5.5036	5.4112	5.5978	5.3111	5.3004
EA_G__RHOBTB3	6.8543	6.5474	7.4704	5.4411	6.1739	7.0789	7.5618	4.4781	5.2445	7.2688	6.5487	9.8641	7.4908	7.6615	7.8144	7.5197	6.9526	6.6402	6.8244	6.9868	7.0553	7.2886	7.6878	7.5053	6.8792	4.5866	8.0385	6.1834	8.5237	3.908	6.9359	7.1391	7.2233	7.0365	7.012	6.6676	7.2343	5.2581	7.6606	5.5109	4.7252
EA_G__C9orf152	8.4683	7.9416	3.1106	9.015	6.242	3.3253	7.5362	3.2593	3.6704	3.8201	9.6854	6.8934	3.2606	2.5096	4.7044	6.1075	7.8747	4.4017	2.9521	5.0464	3.4125	4.5846	5.7573	3.74	3.1833	7.9758	2.9212	9.606	7.4371	6.4351	7.1601	2.7658	3.7666	3.421	8.6164	7.4871	7.795	7.8891	6.4831	9.313	9.0216
EA_G__MAP7D3	5.3052	6.181	7.0881	3.7726	5.4351	8.0335	4.1145	8.2134	6.6816	7.4399	3.8649	5.2828	6.9662	6.369	7.7975	7.3791	3.9768	7.9146	7.4129	6.0423	7.4841	5.9373	6.1096	3.8188	6.9765	4.3266	8.4972	3.8711	3.6075	4.4657	5.4472	6.6247	7.5826	7.2635	4.9255	4.3312	5.013	4.094	6.2554	3.8949	6.3251
EA_G__CDC6	9.4548	11.7624	9.4197	9.1494	8.3376	8.6381	9.1355	9.6576	8.672	8.5859	8.0943	8.5798	9.0842	9.8443	9.6001	9.5457	8.6502	10.1088	9.3928	8.3432	9.6955	8.2415	8.1085	9.4974	9.7228	8.4562	10.5212	8.4294	7.7918	7.9247	11.0337	8.1653	8.0585	9.7824	8.8207	7.71	8.302	9.1214	11.7864	8.2424	8.8834
EA_G__MUC1	10.7485	9.3354	8.5583	9.6525	11.0311	8.4104	10.0109	8.1385	7.6877	7.2345	9.5962	9.4833	6.9752	6.7513	6.8465	9.0466	9.1369	6.9437	6.835	10.7156	7.125	8.9106	9.84	6.573	7.0024	11.0353	6.32	9.2355	10.806	7.2765	7.6032	7.3348	9.1411	7.2021	8.4137	9.6284	9.3378	11.5556	11.9165	10.8592	11.0123
EA_G__CACNG4	8.4308	7.5358	5.5674	8.1032	9.2906	6.8087	9.2541	5.6569	5.5719	5.8529	8.0835	9.0764	5.7716	5.8549	6.1478	7.1012	7.839	6.7572	5.5176	6.431	5.6094	9.1382	8.0995	8.3302	7.8307	8.431	5.7591	9.7756	8.0782	7.9557	7.3151	5.791	5.8689	5.7018	8.4194	7.8612	7.2037	8.0248	8.5048	5.6487	6.6438
EA_G__PSCA	8.6778	6.808	7.7485	7.4204	6.1323	6.2269	6.1241	5.9762	6.1713	6.0065	8.8023	6.0835	6.1892	6.0919	5.9439	6.6586	7.1563	6.4572	6.2267	6.4924	6.9031	6.978	6.2197	6.1779	6.272	8.5062	6.3328	9.3354	7.9842	6.881	7.2737	6.4886	6.825	6.8352	8.2749	6.7703	7.561	6.4259	6.1518	5.9503	6.0552
EA_G__NCAM2	3.816	4.1347	3.568	8.0462	8.1654	9.1486	9.8166	3.7322	3.5577	3.8641	7.8067	8.7152	4.455	5.3325	3.6916	4.4058	5.2566	3.904	3.5774	3.8887	4.4973	8.406	8.0627	7.0585	7.1285	6.3664	3.9935	8.4651	9.355	7.8803	5.3409	3.8289	3.9723	6.5092	4.9516	4.2984	5.7731	9.9927	6.3459	7.5498	5.8347
EA_G__CACNA1H	6.0676	6.82	6.0921	7.2696	9.4583	6.1214	6.1458	5.7582	6.1617	6.0673	6.1627	6.4997	7.3923	6.3318	5.8868	5.9737	6.1446	6.0735	5.927	6.2132	5.9137	8.2955	7.6072	8.1588	7.4458	8.0116	6.0461	7.8382	5.8969	6.8471	6.4679	6.0852	6.2573	6.1246	6.197	6.8889	6.8091	7.2879	8.0756	6.2936	7.955
EA_G__PPP1R1B	8.4134	6.6594	5.3146	6.1717	5.4383	5.6037	5.3093	5.3516	5.2893	5.3186	7.6849	5.235	11.3025	5.5556	5.7625	6.0975	8.6293	6.3286	5.0789	6.2257	5.3275	5.5126	5.6913	6.3638	5.0928	7.4844	5.2927	6.0823	7.2346	6.3522	6.1086	5.3644	5.6562	5.7473	6.7821	7.0415	7.6266	5.7833	7.1704	5.5376	5.6609
EA_G__C10orf81	7.8748	5.3409	5.2558	5.6113	4.628	4.0538	3.9496	7.5635	3.7336	4.3526	6.0266	3.4333	7.7894	3.8032	3.4228	6.5488	8.3648	3.7591	3.5276	7.4515	3.4179	5.9282	4.5851	3.7878	3.682	8.4565	3.6134	7.7164	10.4563	6.5682	4.3299	3.9756	4.2253	4.1294	7.9355	5.0619	10.2673	5.8601	5.5208	7.6777	5.2539
EA_G__PEG10	7.5938	8.4237	4.9697	9.4047	10.8894	9.8295	5.0635	4.9456	6.4695	8.2184	10.4563	9.4316	10.9411	8.0184	8.226	8.4791	10.7977	9.6944	8.2742	7.3161	8.5317	5.0826	4.9175	9.4605	10.6777	9.8791	8.8654	9.049	5.9308	12.1461	8.6123	8.2909	10.2006	9.5417	9.8494	5.6315	7.8759	9.1193	9.7808	6.7363	7.7367
EA_G__SLFN5	6.3551	4.5627	3.6113	7.9279	3.3937	4.6782	3.8517	6.4659	5.4428	6.1726	3.1811	3.7721	5.7445	5.5597	6.1661	8.0224	7.6382	6.6715	5.8769	5.0148	6.1858	3.8609	3.6344	3.7697	5.5046	6.4506	5.5264	7.019	6.8036	5.2233	5.1094	6.6307	6.8766	6.7561	6.619	7.6172	5.8034	6.9799	3.166	3.9379	3.9261
EA_G__ASRGL1	7.1149	7.0425	6.5196	5.6356	6.5771	6.3831	5.0036	7.3281	7.1895	6.3351	4.5902	7.1005	5.729	6.1189	6.368	5.3845	7.2684	7.2256	6.573	4.9263	5.1455	6.733	6.0474	7.7749	6.0371	6.2716	5.6172	7.5256	9.2882	6.0556	7.2998	5.8367	5.5255	5.1819	6.353	5.1111	7.3248	6.848	8.3195	5.795	5.7236
EA_G__SLC39A14	7.2392	7.0695	8.413	6.7073	6.6778	9.7325	7.094	7.6136	9.8801	8.189	7.4083	7.1434	8.5716	7.6742	7.7243	6.9608	6.898	7.8345	8.1108	6.6582	9.4612	7.1446	6.7092	6.6707	7.542	7.0018	8.3485	5.9451	7.0796	6.3629	7.3537	10.7989	7.488	8.4903	7.7988	5.7332	6.6494	7.0208	7.5143	6.2866	7.8622
EA_G__AXL	5.6804	5.1611	5.4463	5.4209	5.1827	10.2739	5.2109	9.8631	5.2949	9.4468	5.1746	4.9087	5.3032	6.6145	8.9208	6.9786	5.6583	8.6491	9.9664	5.4233	11.2512	5.5361	5.534	6.7552	9.689	6.5073	11.0247	5.0726	5.1294	6.1472	5.743	9.8877	7.8036	9.9992	5.5417	5.5984	5.7637	5.5023	5.4593	5.4104	5.3293
