Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	UACC893	ZR751	ZR75B
EA_G__PPM2C	5.9722	7.6728	7.438	8.6017	8.5499	7.8635	9.1553	6.737	7.8162	10.0805	6.7368	7.5476	7.6749	9.442	7.8981	7.33	8.7959	6.844	8.9514	8.7395	7.4152	7.2127	7.1936	8.1894	7.0653	7.5908	7.1395	7.3435	7.294	7.4793	7.0938	5.8525	7.8975	8.2374	7.6362	7.6471	6.7409	5.724	7.4892	7.8754	7.2866	7.1381
EA_G__MGP	4.238	9.8437	11.4992	5.5557	7.4113	2.9261	8.2394	10.0203	9.4448	4.7994	10.4816	8.0997	3.7353	8.9644	8.6556	7.4121	9.4808	4.7946	10.8249	7.0295	3.8019	6.1517	6.6894	7.0606	7.3407	2.9411	10.3529	10.2746	2.5536	7.4205	10.941	3.9642	4.7563	7.0814	4.951	4.8602	11.8749	5.0293	8.221	11.3061	7.0551	5.7521
EA_G__KRT10	7.0445	6.6254	8.0339	6.4804	6.9532	6.7184	6.4993	6.641	6.7273	6.6412	6.7273	6.5188	6.9106	6.7177	6.506	6.8042	6.5046	6.5812	6.3903	6.6742	6.8911	7.0637	6.5853	6.2408	6.3063	6.5867	6.093	6.3976	6.2361	6.7607	8.6731	7.0754	11.6565	6.7185	7.0358	6.6456	6.3744	6.7347	7.0732	6.6636	6.575	6.744
EA_G__CA5B	6.4488	9.8853	7.5831	6.9713	7.9319	6.8455	6.4217	6.3814	6.7546	9.6441	7.5718	6.1838	6.1346	6.9423	8.1787	8.8326	6.433	6.1952	6.711	7.0975	6.8575	7.7441	6.8363	7.3049	8.2804	6.0855	9.1757	9.2258	6.7461	6.4901	7.4043	6.0825	6.9317	6.6733	6.9056	6.6601	7.4516	9.1303	6.9926	7.4009	6.5561	6.3884
EA_G__FOXP4	7.7068	8.8731	8.1974	7.175	8.4056	7.6598	7.4526	10.7351	7.2738	8.346	7.6693	7.8345	7.7831	7.7829	8.5593	7.7087	7.9492	7.0315	8.0498	7.0167	8.1031	8.2302	8.0666	7.6763	8.2271	7.6686	8.8877	8.4425	7.1593	8.3203	8.2503	7.9428	7.2913	7.3333	7.5409	8.8581	8.5183	7.5171	8.0961	8.4542	8.1019	7.3865
EA_G__FABP5	4.0903	5.6242	4.9494	3.2476	4.6763	3.5537	8.607	6.7919	6.8194	6.1227	5.9207	8.2855	8.2952	3.6763	3.7999	3.8303	6.6193	8.1268	8.0179	7.4143	4.5795	4.4465	3.9307	7.8224	7.8662	8.5296	6.4531	5.4059	7.7706	3.6267	3.3601	5.0183	10.4411	9.5285	8.6298	3.1829	3.8611	3.9817	3.6033	3.8192	6.0214	6.839
EA_G__STRA6	6.289	5.4803	5.5155	5.7664	5.3015	6.9392	5.2021	8.3085	6.2458	5.2694	5.3811	5.311	5.6253	6.659	5.7231	6.7091	6.389	6.6861	8.5028	5.7136	5.7998	5.8201	5.3665	5.747	6.0357	5.6188	5.2515	5.3631	6.2473	6.3975	7.4178	6.4701	5.4701	5.314	5.6336	6.0435	5.2961	5.8389	5.7931	7.3638	5.6851	5.5958
EA_G__RAD51C	4.935	8.5637	5.8431	5.7975	7.0133	6.6113	6.7198	6.1266	6.765	6.9505	7.073	6.4052	6.0643	6.7522	6.6322	6.4426	6.4353	6.9924	6.4504	6.032	8.6623	8.8987	6.8283	7.2504	5.918	6.8714	8.1751	5.6679	6.0176	5.7756	6.3523	4.7278	7.4113	7.4921	7.2721	6.2036	6.0586	6.2317	7.1046	7.6901	7.3229	8.0509
EA_G__MED24	10.5135	11.3695	8.9167	8.1803	8.8183	8.7153	7.6064	8.9128	8.2128	7.6464	7.7899	8.3849	7.9945	7.9851	8.0954	8.3567	9.0453	8.9935	8.2632	8.2068	7.9656	7.67	8.9512	8.3862	7.9529	8.5317	7.3862	7.9264	8.0445	9.1471	8.1279	10.405	8.1417	8.3745	8.7929	8.0485	7.4059	7.8974	11.5153	11.9334	8.4407	8.767
EA_G__PITPNC1	5.5345	7.8044	6.3762	5.2162	6.9251	5.016	7.0212	5.1425	6.6952	6.5773	9.4228	4.747	6.4283	7.1111	7.6632	5.9105	6.5611	4.5402	6.7923	5.8769	7.7613	7.2287	7.2535	7.215	6.1345	6.034	7.8241	6.7048	6.1741	7.9891	6.2934	6.3138	7.3265	6.8045	6.0261	6.8894	6.42	4.687	6.7829	6.8628	7.1502	6.6286
