Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
EA_G__KCNS3	7.8232	7.3982	6.6148	6.2972	5.3846	7.0761	5.2592	7.0195	6.4153	5.0912	8.208	5.9488	4.9442	5.1645	7.7079	8.2604	6.7285	7.0898	5.6055	5.807	7.5989	6.53	5.285	6.4881	6.8143	7.24	6.1298	7.387	7.7146	6.512	6.9706	4.6424	6.5381	5.0119	6.6703	7.0494	7.602	10.3409	7.4014	5.9702	8.4243	6.7797	7.2799	7.6228
EA_G__C9orf19	4.855	6.829	5.2876	5.7361	6.026	5.1261	7.0392	6.4771	6.7151	6.7726	5.3678	4.8164	7.5139	5.4878	6.4374	5.5258	5.006	7.9401	7.2436	7.8618	7.5982	6.9045	5.9074	5.816	6.7327	5.6739	6.2212	6.3068	4.5292	6.6111	5.5009	5.9091	5.9774	6.2198	6.1858	5.8776	6.0657	5.3132	5.4415	6.019	5.3041	5.0796	5.1365	5.374
EA_G__PPFIBP2	7.8433	6.5176	8.685	6.6337	5.3909	6.8131	4.6677	5.2124	6.2853	5.3868	7.7925	5.6154	5.8536	4.9366	5.4374	5.497	7.8702	7.7047	5.6356	5.98	5.7397	4.7978	6.5585	6.3397	6.9949	8.1624	5.0389	7.4755	8.9514	5.6215	7.7945	6.1771	6.9673	5.7632	5.0592	4.8184	8.3164	7.8271	7.3962	6.0261	6.8366	7.3742	6.9521	5.8403
EA_G__SLC1A3	5.9579	6.6111	4.1502	3.9597	5.561	4.1358	5.0044	7.4102	5.9275	7.3403	4.0183	4.0396	5.7351	5.5781	8.6946	9.2695	4.9448	4.5557	6.6053	4.058	6.8828	5.3296	4.5643	4.2625	4.0624	4.4019	4.9309	3.99	3.5104	6.1848	5.37	9.919	5.4099	6.7133	5.7299	8.3903	4.1191	4.0522	4.6502	4.7893	4.0327	4.6589	4.5597	4.0849
EA_G__PRR15	8.5828	8.4609	9.4281	8.7477	5.9517	8.5116	6.1301	6.3331	6.8835	5.4556	8.8302	7.6556	5.6097	6.8916	7.1865	8.0894	9.1388	8.3428	6.3757	5.5522	6.7254	5.7507	7.5276	8.6434	9.1665	9.2711	5.5891	9.0365	8.5096	6.0376	8.2513	7.9905	8.5682	5.5335	7.784	5.8528	9.2642	9.6082	8.6535	7.2126	8.8522	9.4679	9.174	8.0916
EA_G__SLC4A8	6.1742	5.1797	5.3497	7.4196	5.5149	7.0729	6.2833	4.7902	4.6576	4.9181	7.7206	6.37	4.0643	4.2266	4.0046	4.6154	4.2819	6.0253	4.535	5.4474	4.6531	5.2518	6.505	6.7182	8.218	7.7695	3.9907	5.7194	7.9154	4.9126	6.8865	4.6592	5.8841	5.7113	4.5121	4.2936	7.778	5.0014	8.222	6.0153	9.3627	7.4555	6.9785	6.2058
EA_G__CA12	10.374	7.2275	8.3578	10.6613	4.4665	10.0681	4.9745	3.8395	4.2274	6.9445	8.9946	11.4745	4.5173	5.784	5.8456	4.7064	9.3657	5.8182	4.881	5.4007	5.0197	7.2481	9.8496	8.5533	10.4266	10.2303	6.35	8.8736	9.9468	7.6024	9.5013	4.1332	9.0564	7.9017	6.3439	8.7456	9.0545	10.4929	9.4214	10.2797	9.0996	6.9472	8.3877	8.6511
EA_G__PRSS12	4.3777	4.7632	4.706	4.5602	6.369	4.6807	6.2222	6.9948	5.4788	5.4348	4.3786	4.8573	9.1774	6.4117	6.7058	4.9165	4.915	5.8521	9.6837	6.4128	6.596	7.4233	4.8768	4.8229	4.9016	4.9399	7.096	4.5567	4.3978	6.8038	5.5074	5.8907	5.0102	6.0849	8.1192	7.4649	5.1428	4.5536	5.2435	4.672	4.4986	4.4105	5.5805	5.0513
EA_G__FSTL1	6.3208	6.1624	7.111	6.4291	11.8037	4.1138	8.0435	4.7382	6.2309	9.2198	4.3438	6.6183	6.5907	7.6625	10.1327	8.6742	4.1313	8.2704	9.5531	9.8665	8.6378	11.1061	4.3358	4.4994	4.4241	6.2928	8.265	4.5749	4.7229	10.6526	4.7707	8.5027	6.2699	8.5073	9.2021	9.4467	3.6254	4.2296	5.1479	7.162	4.0235	4.0057	4.5517	4.4062
EA_G__CLCA2	3.7227	5.4736	9.3552	3.0331	7.4614	6.097	3.5649	3.0589	6.5649	3.8866	3.2461	9.319	3.2042	6.093	7.2526	4.7088	4.5663	7.1879	5.0093	3.2672	3.3105	3.8089	3.6486	3.4346	3.2976	7.5734	3.3498	10.4045	11.2438	3.8499	10.9482	4.68	4.7001	4.2562	4.0675	3.7224	4.6584	6.8137	10.2878	3.5201	4.2438	8.7488	8.0633	4.1802
