Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	ZR751
U133A__C9orf3	7.366	6.5794	6.6357	7.8892	6.6726	5.1043	6.2287	8.9507	5.7797	7.6312	7.4943	6.3704	7.4047	5.8919	5.6705	6.1052	8.818	8.935	5.2379	8.0265	6.0234	6.2445	6.3347	8.4646	5.741	7.1594	7.1312	5.9799	6.1224	5.7451	6.7186	5.992	7.3108	6.71	5.6671	6.3159	6.4093	7.8139	5.5812
U133A__H2BFS	7.6939	8.14	9.0151	9.4825	7.5511	10.0856	7.8887	7.4697	7.0381	9.6266	8.3781	8.1802	10.1758	8.4017	10.2471	11.3662	8.0953	10.2003	8.323	7.2868	9.2405	9.6227	8.6025	9.2039	8.9019	7.7851	10.0234	10.8112	7.9547	9.3547	8.8394	9.4932	8.0654	6.9914	9.1738	9.0579	8.557	9.8876	8.7904
U133A__BIK	6.79	6.6526	7.7609	7.8101	4.4661	7.2407	5.8664	6.9484	5.4635	5.8565	5.8302	7.4245	6.541	6.2117	7.1457	6.5191	7.3676	5.0893	5.7594	6.005	6.0503	6.236	6.6067	5.2379	7.4079	5.0096	7.3216	7.224	6.0869	8.0241	6.3969	5.3947	7.7769	5.5715	10.0292	8.9925	6.3561	5.6218	7.1572
U133A__LRIG1	8.4873	6.2785	6.714	7.3323	3.8294	5.7543	4.9765	4.6329	5.669	7.1662	4.7873	4.9515	5.9472	4.8144	5.456	5.5033	5.2939	4.0003	5.209	4.8805	5.4309	5.1228	6.6869	4.104	7.4281	4.2748	8.0802	5.1363	6.123	8.3706	5.1384	5.4354	5.9374	4.1727	5.8208	8.4469	5.0683	6.8777	6.956
U133A__IGF2BP2	5.0062	4.5534	4.8	4.3562	8.3006	4.1691	6.9416	7.2592	4.7481	4.6949	6.5841	8.2459	7.525	6.8804	5.012	4.5955	5.6289	7.2659	7.8875	6.6469	5.3637	4.7528	4.5492	6.7268	4.5693	7.693	4.58	4.6515	5.5628	4.5057	4.383	6.4305	7.5201	7.0731	7.1142	4.4831	5.3714	5.2241	4.4216
U133A__TLN1	6.6588	6.5424	5.7994	5.612	6.5644	5.9856	7.2473	6.3255	7.1334	6.2038	6.5911	6.6526	6.1384	6.1843	6.1211	9.1773	6.3819	6.184	8.0898	6.6104	5.9366	6.2893	5.6054	7.1546	5.8129	7.0731	5.9544	6.3669	7.2488	6.1561	6.3103	6.3312	5.8417	6.5138	6.2184	5.7344	6.1867	6.0613	5.9299
U133A__GLS	4.4195	5.7518	4.0759	4.3543	6.6791	3.7784	5.6804	7.3472	5.1229	5.2186	7.3126	7.012	5.7987	5.3433	3.5858	5.3827	5.5398	7.1731	7.3676	5.5516	5.2015	5.0259	4.7226	6.4009	4.2736	7.034	4.1183	4.9112	6.675	3.4156	4.8237	7.9906	6.7428	6.0561	4.4919	5.1878	4.4406	4.5268	4.3555
U133A__S100A2	5.7104	5.2629	5.0266	5.1361	8.7308	5.1261	9.3678	11.8664	8.1017	4.6494	5.0442	12.1145	9.7223	9.938	6.7237	5.0393	12.6387	7.9326	10.0914	6.775	6.5171	4.9131	4.8508	7.9401	6.4604	5.843	5.1111	6.0773	7.1644	4.8966	5.6079	8.4846	10.926	8.9102	5.3655	5.0966	5.9202	5.5082	5.3529
U133A__ISOC1	5.1663	6.6553	7.541	8.1396	5.287	9.2407	4.9017	5.7943	7.3405	8.0976	6.9094	6.4093	6.761	6.1868	5.981	6.9766	6.6684	5.8931	5.609	5.2129	7.5138	8.045	8.8911	5.4164	6.7959	6.9834	7.4249	7.287	5.4975	7.952	6.9193	5.8083	6.542	6.1968	6.8505	7.2906	5.616	6.3399	7.5794
U133A__HIST1H2BG	4.8283	4.2641	5.0005	8.9158	4.5763	5.5262	4.2147	4.4331	5.2718	9.2574	5.3945	5.7249	6.471	4.4167	7.7626	6.6603	4.5105	7.4535	4.1956	4.0378	5.3949	6.6731	6.9855	5.2408	5.3898	4.1684	8.9951	6.9417	4.4784	6.9214	4.4134	4.9449	4.4145	4.68	5.8657	4.6222	3.6731	5.8628	4.8942
U133A__FABP5	4.1904	4.0367	3.7473	6.4085	3.5435	5.3344	3.9169	9.2366	8.4386	7.491	9.3953	9.7792	11.1944	3.3571	3.6996	3.6829	8.758	9.6872	11.0183	8.9013	5.7227	6.7429	3.8621	8.3248	8.5209	9.7444	8.3436	6.9507	8.5762	3.6349	5.3397	10.4027	8.9495	9.9405	3.7177	3.4136	3.5081	3.7815	4.8338
U133A__CYR61	7.9058	8.1337	7.2872	6.0591	9.9464	5.4504	9.8365	7.7791	4.4815	7.6012	8.4784	6.7943	8.0849	8.6439	6.0084	7.6799	9.575	10.4785	5.9019	10.6077	5.8235	5.4758	5.6887	7.6585	7.316	11.0284	6.8624	7.1407	7.0284	6.9966	8.7828	10.4135	8.5484	9.6697	6.1964	5.4181	7.826	8.5165	5.8984
U133A__CAV2	3.628	3.1779	3.3923	3.0698	7.8986	2.8462	5.1588	7.2226	3.0586	4.8437	4.7763	8.5945	8.2912	7.4602	2.8226	3.682	7.035	7.4937	8.1446	7.6605	4.8362	4.751	3.1371	7.6109	3.3443	7.438	2.9043	3.4366	6.8305	3.0974	3.3199	7.4425	7.9614	7.5886	3.3399	3.0318	4.8789	2.8856	2.9463
U133A__ADORA2B	6.2311	6.1615	5.3114	5.5734	8.4773	5.51	7.5576	7.9456	5.3852	6.126	7.0501	8.6464	7.6821	8.9669	7.12	7.1201	7.0246	7.5635	7.1372	8.0401	6.1847	5.779	5.1524	9.0234	6.3393	8.2953	5.5289	6.2769	7.0087	5.5188	6.1711	7.4778	6.8111	6.6939	5.2126	5.5539	5.9435	5.4204	6.1897
U133A__PLS3	7.4402	8.1478	6.684	6.6342	10.0973	5.9543	9.0506	9.6656	8.887	8.3576	8.6835	9.5501	9.8794	9.4261	3.407	9.6483	11.1688	10.1743	10.073	9.1672	7.7474	5.0117	3.273	8.691	5.8468	9.2106	7.8484	9.2009	9.4815	7.8326	8.6187	9.3368	8.8304	8.2318	4.6121	3.9286	7.5828	7.7544	8.1646
U133A__RND3	9.2212	8.0358	6.583	5.7807	9.5701	6.3813	8.8505	10.1356	7.1855	4.6386	8.8115	8.5677	9.8172	9.7581	8.3455	10.8218	9.5237	9.8118	8.7922	10.6323	8.3719	7.8108	8.0078	9.4195	8.1009	9.0001	6.4467	7.7819	9.5531	9.1513	7.8503	8.2474	8.9026	7.7138	7.7559	6.12	9.2065	7.8362	5.8681
U133A__HTRA1	6.7003	6.2736	6.5619	6.5603	6.4306	5.9744	7.7376	6.5707	6.7075	5.904	6.5307	7.7992	8.3177	6.4915	6.4617	6.4236	6.16	6.9112	5.9653	8.1098	7.5058	6.8794	6.3703	9.3958	6.821	6.888	8.4262	6.0692	7.5822	6.4565	6.2344	11.4172	9.6218	7.5158	6.3811	6.1767	8.5513	6.7275	6.294
U133A__FXYD5	9.4366	8.8706	6.3544	6.9093	10.5229	6.5905	8.4872	9.7949	7.3967	6.6968	9.5407	10.4388	9.0421	11.5641	7.4501	7.8566	10.3211	8.4657	10.2902	9.5227	6.2427	6.8433	6.25	10.5826	6.4736	9.5884	6.6844	7.9084	8.5436	8.14	8.7157	7.1906	10.2745	9.6556	8.4212	6.6578	6.5669	8.3634	6.2665
U133A__IGFBP7	2.9865	2.8753	2.8187	2.8488	2.9678	2.9102	6.2946	8.1639	2.9617	3.057	9.0694	7.7424	4.9465	2.8659	3.0689	2.8328	7.664	6.8087	5.298	9.287	2.953	2.8392	2.8773	8.7334	2.9882	8.5718	2.8618	4.331	4.3887	2.7709	3.7421	3.4559	3.1532	4.3464	2.9303	3.0678	2.8623	3.2633	2.8804
U133A__IPO5	5.6385	6.1856	5.5373	5.8466	7.9162	5.8477	5.2562	5.7546	6.983	5.09	5.8033	6.0464	7.652	6.3657	3.7682	5.9212	6.7812	7.081	6.3979	5.5539	5.2443	4.6709	5.608	6.7947	5.5339	7.5504	6.15	5.044	7.6041	4.7743	5.5769	5.0842	6.1051	6.7795	5.4684	3.6092	4.6487	5.6728	4.7497
U133A__PCK2	6.284	6.7214	7.826	7.0049	6.9382	7.006	7.0844	6.6359	6.756	6.5554	5.8093	6.4794	7.416	6.5607	9.1067	6.4475	6.7694	6.1271	8.2428	6.1926	7.1246	7.2563	7.2173	6.0304	7.2309	6.7161	7.0416	6.961	6.5039	7.5692	6.43	7.0357	6.5541	5.9544	9.2728	7.1871	8.2243	6.6431	6.8368
U133A__HIST1H2BH	5.6812	6.0699	6.6317	7.5581	5.8329	7.5314	6.3963	5.3788	5.4489	7.8848	6.2884	6.3517	8.0459	6.4774	7.6689	8.926	6.4962	8.3146	6.1497	6.5559	6.8639	7.7503	6.9409	7.3871	6.9553	5.6887	8.1245	8.6179	5.9852	7.6452	6.122	7.1496	6.3953	6.4262	6.8218	7.2688	6.1434	7.3149	6.5665
U133A__LAMC2	6.4531	6.0777	5.6348	5.93	6.002	6.0625	6.4877	8.5082	5.881	5.7732	6.2261	8.5525	7.7384	6.1018	7.1326	5.9453	8.8207	6.4814	7.7414	6.8578	6.3223	5.9447	5.8067	7.0817	6.0721	6.1309	6.0593	6.7055	5.9876	5.7604	5.9867	6.0108	10.3401	6.2632	5.755	6.6585	5.8722	5.8433	5.9061
