Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__MSN	3.841	4.5404	3.5172	3.4371	8.5121	3.3393	8.5499	9.342	8.9229	4.7864	8.964	8.5521	7.2232	8.4309	3.3175	3.4629	7.7602	9.8294	8.6483	3.9182	3.857	4.7157	8.0642	3.6968	8.6962	3.3597	4.1423	8.2181	3.5368	7.6773	3.4264	8.8511	9.046	8.7758	3.5774	3.4357	3.3212	3.8634	3.5565	3.039	6.796
U133A__PLAU	5.5718	5.8756	5.6696	5.1491	7.8668	5.3929	7.9168	6.0278	5.2362	5.2184	5.332	7.874	6.7758	5.664	6.2216	5.9968	5.3077	5.1726	7.9917	5.4641	5.6808	5.4287	6.8126	5.511	7.6491	5.3504	5.7285	8.5978	5.3338	6.9324	5.507	10.1668	9.6993	5.9627	5.292	5.2565	5.5545	5.8024	5.0415	5.4286	5.2204
U133A__IGFBP2	8.9994	6.5614	8.4756	10.174	4.1337	8.2319	5.5098	6.9756	5.0969	11.3152	6.6399	5.5755	7.4344	6.2061	7.8506	6.7846	6.7353	4.1339	5.3651	7.4161	8.4871	9.2672	6.523	6.9218	5.18	9.4817	8.7196	7.0344	9.2216	6.2351	5.7955	5.3561	5.6784	5.7516	6.6061	7.7527	9.675	9.8774	7.0239	7.1688	9.9643
U133A__MT1H	9.7691	9.9144	9.4742	8.8859	10.3299	8.7427	11.4441	10.344	8.326	10.4489	9.4932	10.0553	9.4289	10.9063	8.6699	8.4144	10.0575	10.2961	11.2855	8.4115	8.8273	9.1557	10.2353	9.3853	10.9772	10.1181	11.5502	10.8867	9.7013	11.0968	9.8995	11.3317	11.9502	11.5849	8.9971	10.0943	8.5934	8.495	9.4841	11.1866	8.3513
U133A__TGFBI	5.9683	6.9042	6.5837	5.5476	6.1062	5.7755	7.9789	5.3076	9.9085	5.8022	5.705	8.7344	7.4678	9.0113	6.0496	7.0812	6.6511	10.6715	11.2079	6.2419	8.2212	5.6705	10.843	6.2392	7.7059	5.9087	6.0484	6.6849	5.846	7.5198	6.7466	11.8115	10.622	11.553	5.5123	5.6781	5.5711	6.5084	5.5391	5.9796	5.3747
U133A__LMCD1	6.5609	6.4091	6.1756	7.4953	5.3439	6.2751	5.829	7.8319	5.3364	7.8935	7.3762	5.3461	5.7221	5.6691	5.9457	7.0603	5.1047	6.3042	5.9992	6.2394	5.9717	8.0941	5.9372	7.2973	5.7364	6.2042	7.0151	5.3802	6.8584	5.0196	6.1463	5.4766	5.0203	5.7004	7.9499	7.4884	7.5056	8.1009	6.6191	8.1152	5.7219
U133A__PRKACB	5.7668	7.3425	7.9085	6.873	7.128	5.6635	7.1514	7.0985	7.116	6.5155	6.3986	6.8435	7.7829	7.5556	7.3933	7.4713	6.6439	9.3369	7.1608	5.2971	6.3838	5.8828	7.191	6.1262	8.461	8.0549	5.4461	7.4797	7.2026	8.0305	6.4	7.3061	5.9619	6.8006	6.4627	7.2857	6.1098	7.754	6.9566	6.7215	6.3993
U133A__CRIP1	8.4245	4.9101	9.7016	12.0514	5.0897	4.9873	4.8363	5.2707	8.3369	5.2036	8.8011	6.9537	4.8419	4.9281	6.1535	4.8404	5.1706	7.8829	4.6486	5.4919	5.8025	10.1788	4.3166	9.4513	4.6497	9.8876	9.8166	4.7566	8.6704	4.5905	5.2638	5.2501	8.6033	4.6048	5.5028	5.1629	10.2423	9.5778	10.2373	6.3351	11.2244
U133A__GALNT6	8.8821	7.3905	6.7568	9.7521	5.1143	8.8841	5.7714	6.8554	6.1052	8.3463	5.6143	6.7577	6.284	8.1603	7.455	8.2228	6.9834	7.5279	5.4304	8.8602	7.768	8.6096	5.6215	8.65	5.8084	8.4236	9.1485	5.9203	9.1731	6.4012	8.7939	5.665	7.8211	5.8236	10.0613	9.245	7.746	9.7446	7.8728	8.6079	9.2057
U133A__FOXA1	9.1328	7.7572	9.0263	9.4147	4.7595	8.7472	5.2356	5.2283	5.7444	8.14	5.0961	5.822	6.5694	7.5076	8.5585	8.8813	6.9658	5.6401	5.6268	8.3942	8.6803	9.0814	4.7116	8.5308	5.3926	8.8057	8.3218	5.1007	9.2428	6.7332	7.9736	5.241	5.689	5.6432	8.73	8.6746	8.6077	7.9866	8.9553	9.0709	8.3695
U133A__ESR1	6.6831	4.5396	6.3976	9.5319	4.5782	6.6629	4.2484	4.3235	4.353	8.2688	4.2264	4.7002	5.0748	4.3154	4.2686	4.4719	4.0143	4.5688	4.0522	6.4113	7.7469	9.7696	4.5068	6.1899	4.216	8.2838	6.551	4.2663	4.4076	4.543	4.7332	4.2618	4.2987	3.6143	4.1637	6.8369	7.3126	6.7535	5.0044	6.8682	7.8658
U133A__TRIP13	7.745	8.3821	8.3399	7.2109	8.4946	8.4298	9.1761	8.1542	8.1616	8.0032	8.2922	9.269	8.9522	11.8558	8.2882	8.7189	8.5732	9.2749	9.1383	7.9553	7.9682	8.584	8.3787	7.6696	8.1315	7.9447	8.0787	7.5528	7.9149	8.371	8.2085	8.3646	8.3153	9.9502	6.6053	7.2737	8.9561	7.5954	6.3957	7.3615	7.9724
U133A__PRNP	6.1952	7.6265	4.4988	6.3549	8.3473	2.8621	7.7789	8.8473	8.0052	3.5182	8.5845	9.0397	9.2202	8.6949	3.0417	6.9932	8.0449	7.329	9.3616	5.659	4.5659	3.7609	8.366	6.9978	8.3535	5.8395	3.3305	6.5325	4.0872	8.1388	7.1137	7.4428	8.3248	8.0389	5.8058	8.4491	6.0263	6.8121	4.5816	4.4824	5.6471
U133A__GLS	4.4195	5.7518	4.0759	4.3543	6.6791	3.7784	5.6804	7.3472	5.1229	5.2186	7.3126	7.012	5.7987	5.3433	3.5858	5.3827	5.5398	7.3676	5.5516	5.2015	5.0259	4.7226	6.4009	4.2736	7.034	4.1183	4.9112	6.675	3.4156	6.1462	4.8237	7.9906	6.7428	6.0561	4.4919	4.4406	4.5268	4.8293	4.3555	4.6226	4.9851
U133A__SERPINE2	4.1494	4.4242	4.9022	4.2554	9.6075	4.4355	7.5807	6.6807	6.0426	3.9813	8.4672	7.9594	4.2132	7.2359	4.7087	4.2348	6.9187	4.4336	10.6755	4.6808	4.5754	4.2682	9.6812	3.944	6.4409	6.9121	5.0607	10.279	4.343	5.3284	4.6083	5.8042	7.156	4.8219	4.8116	4.627	3.9897	4.2821	4.3236	4.7262	4.6368
U133A__XBP1	10.8344	9.815	10.7009	11.15	7.9069	10.6604	7.5297	7.6036	7.9543	9.2154	7.8611	8.1184	8.313	7.637	9.3929	10.5899	8.1677	8.6517	7.6438	9.3516	10.7117	11.2426	7.2265	11.6896	7.889	11.5911	11.2322	7.2602	11.2977	8.939	10.1574	7.1282	7.1631	8.0768	11.2015	10.9035	10.9459	11.0313	11.6974	11.2028	10.5644
U133A__FXYD5	9.4366	8.8706	6.3544	6.9093	10.5229	6.5905	8.4872	9.7949	7.3967	6.6968	9.5407	10.4388	9.0421	11.5641	7.4501	7.8566	10.3211	10.2902	9.5227	6.2427	6.8433	6.25	10.5826	6.4736	9.5884	6.6844	7.9084	8.5436	8.14	10.4145	8.7157	7.1906	10.2745	9.6556	8.4212	6.5669	8.3634	9.4597	6.2665	7.3764	6.3151
U133A__MEGF9	6.1887	5.2454	7.1921	7.8359	5.352	6.5592	4.9552	5.4416	7.4246	8.1128	5.4149	5.8697	5.8965	5.6407	5.6619	5.7681	5.6285	6.4887	5.5942	7.7911	6.5321	7.1962	5.0869	7.0854	5.5495	9.258	7.1866	5.7579	6.6597	5.1058	5.7238	5.1876	5.0277	5.331	6.8868	6.8659	6.6887	6.5666	6.1345	6.8859	6.9286
U133A__F3	5.6359	5.7878	4.8426	4.8308	4.8733	5.2295	6.1369	7.2696	6.3878	5.6992	5.0961	9.3964	8.9468	10.1006	5.3373	5.3307	6.0537	5.6586	7.8855	4.9005	4.6238	4.8423	5.4199	4.9281	10.2136	4.9116	5.5278	5.6705	4.8716	8.5018	5.9576	4.987	10.2594	8.114	6.1874	5.6275	5.1655	4.9829	4.8419	5.597	4.8161
U133A__EGFR	6.5405	8.8087	9.1916	5.4966	8.9985	4.6032	7.5795	8.5853	8.75	5.4451	6.1574	10.0365	8.0004	9.7369	8.7474	10.2614	7.8659	9.5572	8.9579	5.5013	5.3316	4.5102	8.86	6.0289	9.7841	6.2142	4.6987	8.8153	5.0824	12.3476	8.0587	7.8138	9.152	8.0666	4.8664	4.2139	6.1317	6.387	8.1672	4.77	4.7772
