Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__AGPS	8.9363	4.5517	9.653	7.2311	8.6021	7.7053	9.7677	7.5441	8.9797	8.0721	7.7352	8.2133	10.1761	9.4607	8.6283	8.5532	9.0848	9.1475	8.4572	9.3307	3.0191	3.3336	8.3692	9.0361	7.3817	9.4937	5.9847	8.784	6.8236	5.0358	9.7549	8.9906	9.4369	8.3386	7.3149	7.8151	3.4863	7.9964	4.0977	5.1068
EA_G__METTL7A	6.6212	6.9604	6.7362	7.0326	4.438	7.0951	4.6015	6.7344	4.7987	6.5581	7.3135	5.4968	4.9351	6.486	5.4707	7.305	6.3376	5.6256	7.1115	4.6054	5.9996	5.7336	7.5801	4.9239	7.1558	4.5007	8.7566	8.0203	6.7689	7.6197	4.517	6.9958	6.3483	5.7368	6.5321	8.0299	7.8142	6.044	7.2418	6.1952
EA_G__RORC	7.6294	7.8594	5.6786	7.0519	5.514	5.6777	5.6198	6.0853	5.5107	7.422	7.2508	5.5734	5.5397	5.5921	6.1229	6.9352	5.5364	5.4595	8.2631	5.482	6.6938	7.2834	6.8486	5.1718	7.0259	5.7918	5.6745	5.7574	6.3865	6.4728	5.2525	6.2949	5.6901	7.2421	6.84	6.987	6.9613	8.9875	7.1181	6.3763
EA_G__COL4A1	5.2274	5.1752	5.7736	5.0845	8.4977	5.0007	7.7123	5.163	7.1576	4.8711	4.8859	6.8901	7.6945	6.6224	5.5455	5.3043	8.5407	8.3695	5.3973	9.1832	5.3929	5.3075	5.1744	10.8621	5.4841	6.5621	5.0616	4.8149	5.8907	5.2895	5.8097	6.7643	5.719	5.1567	5.4451	5.4895	5.3269	5.26	5.2465	5.1624
EA_G__MALT1	6.1856	6.8006	6.8844	6.6217	8.5624	6.7858	8.3258	5.7342	6.901	6.3425	6.2349	6.6303	6.5109	6.7436	7.3168	5.518	6.689	9.3823	6.2279	7.8265	5.7846	5.3337	5.8366	7.5889	5.4144	6.8856	6.1808	4.8845	5.9347	6.6455	7.5106	7.3724	7.5651	7.0666	5.7784	5.2207	6.0642	6.4532	7.0325	6.5848
EA_G__TNFRSF10D	5.7276	4.8208	5.2505	5.3309	5.2122	4.9865	9.4386	6.0713	4.6306	4.9172	5.1315	7.0982	8.2606	6.855	6.3335	5.0042	9.7195	8.7209	5.5037	10.295	5.3911	5.5728	5.0353	7.8567	5.239	9.9193	4.9642	4.8413	6.2061	5.1046	8.6491	5.4883	8.8688	5.4891	7.3926	5.5695	5.3514	5.244	7.0936	5.5706
EA_G__EPB41L2	6.6357	3.5196	8.5143	5.0152	7.2057	6.1864	8.2547	6.4645	8.3694	7.0403	4.1389	9.0062	5.5827	6.685	7.1446	4.8245	8.3567	8.2745	3.269	8.2875	4.9766	7.0896	7.6184	7.2073	4.4167	8.3392	5.3878	8.5821	5.747	3.4058	8.1063	7.0184	7.3074	6.9073	4.428	6.6847	5.489	5.5184	3.3655	5.0117
EA_G__RANBP6	6.6269	7.2074	8.1489	6.783	7.8091	8.3597	7.9058	8.2699	8.9775	7.2594	6.7298	7.6135	7.3862	8.1739	10.2783	5.8212	8.8739	9.8342	8.111	8.6086	7.0049	7.0682	8.1898	8.1927	7.1919	7.9168	6.69	7.5771	6.6933	6.9985	6.4378	7.8482	8.4859	8.4586	6.8172	7.0878	7.7893	7.204	7.4285	7.6502
EA_G__ACSL4	3.8905	3.2437	6.8678	3.2175	8.1981	3.93	5.8474	4.9921	7.8339	3.2795	4.7223	6.0223	5.4391	5.9242	7.1514	3.2448	6.4566	7.5506	6.3064	7.7862	4.3467	3.4318	4.0505	6.5727	4.394	8.0383	3.8174	6.3426	4.0514	3.2697	7.359	6.9283	7.5937	6.0038	3.4226	5.8348	4.7256	3.5077	3.3705	5.1109
EA_G__SELENBP1	9.3821	11.1376	7.9104	9.1265	5.4145	10.1056	5.6859	8.0894	8.1306	9.097	8.0519	8.1768	5.6338	7.0976	7.4304	10.3951	5.9801	5.5176	9.058	5.8776	8.4871	10.0174	9.0404	5.6347	8.8152	7.434	9.528	10.4363	10.1032	10.6142	5.3724	6.0275	6.422	9.7696	9.591	9.8577	8.6891	10.0604	10.8426	9.9875
