Cell lines	AU565	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__CTSD	9.5957	7.1763	6.9866	6.4872	8.2899	6.7151	7.5811	7.2047	7.275	8.3106	8.6724	8.1006	7.8089	7.6112	7.4579	8.1864	6.5121	10.1375	8.6215	7.6491	9.6629	8.6821	8.955	7.1412	9.2908	7.8084	7.3249	7.2014	8.1671	9.185	8.7805	8.9881	10.763	7.1248	10.2609
U133A__PLOD2	7.3206	4.5369	9.2988	4.8502	6.7221	4.8014	5.6396	6.5382	6.0955	7.4393	8.281	4.2286	6.6365	8.4281	8.6329	8.0595	6.0565	7.9788	4.0323	7.7046	4.7658	6.5491	6.0127	5.6189	6.3062	5.0164	7.6348	5.9357	4.2051	7.5965	4.8868	7.4106	8.3946	5.5846	6.5638
U133A__PSMD6	8.6993	8.3642	9.7455	8.3163	8.2829	8.6801	8.2862	8.5112	8.5596	9.2404	9.5267	8.3989	8.7111	8.5784	8.739	9.7554	11.9775	12.0073	9.7716	8.8803	8.9574	9.3167	7.7253	9.076	8.5109	8.6482	9.3608	9.6836	8.4333	8.8076	8.7697	8.7334	9.082	9.3153	9.1403
U133A__CAMK2N1	9.1459	8.3458	5.1483	8.6556	6.3505	6.2577	8.6715	6.6419	7.179	7.922	9.9631	8.3152	6.6618	7.3195	10.0484	8.0878	9.553	7.2483	11.0058	7.6561	10.238	9.2583	9.8342	9.6245	9.5868	5.7111	9.1636	7.9183	9.6719	9.5142	9.8937	8.0816	9.4807	8.5041	6.3299
U133A__HSPB1	11.9878	11.1392	10.9092	12.4619	9.7586	9.4377	11.9863	10.4327	9.9008	11.9422	9.7152	7.6241	10.821	9.9102	10.7294	10.9497	11.5674	12.3547	11.3351	10.3616	12.8993	11.75	11.1248	7.7425	11.0928	10.9232	10.4221	10.3461	8.3736	11.3463	7.4763	12.0345	11.6336	10.7593	11.8178
U133A__DENND2D	7.4556	5.7265	4.6513	8.6196	5.5103	5.2798	7.1097	6.1298	6.2403	6.9926	5.5069	4.5585	4.9996	6.5644	7.7754	5.2324	7.2123	6.653	7.6433	4.7386	6.6939	7.1371	7.3444	6.518	7.5157	5.1945	4.5415	4.1664	5.338	7.6249	7.0955	6.6906	6.9624	6.7653	6.5483
U133A__GPX3	9.0183	5.5135	4.9768	5.1272	5.336	5.1537	5.6824	5.2059	10.7091	9.8148	5.1904	5.1354	4.915	8.2448	5.1519	5.5082	6.7269	8.0376	7.1621	6.4045	5.4796	7.9306	6.3995	5.279	6.6626	5.822	5.4196	5.2433	5.3233	8.3076	5.3369	8.1058	8.2524	5.1073	5.1281
U133A__CARD10	6.6189	6.0074	7.1832	6.9806	5.8013	5.447	5.0291	6.8955	7.94	6.4404	6.6995	5.3041	6.1251	5.6387	6.8007	8.2432	6.0254	5.8035	6.6709	6.9111	6.3909	6.2227	6.8504	5.0682	5.6466	5.2563	6.1299	5.5845	8.1902	6.3387	5.6863	5.8941	5.8825	5.1234	6.1903
U133A__STAT1	8.0289	7.5388	8.2815	6.9856	7.9112	8.6978	8.049	8.3459	9.0902	10.2397	9.0231	6.7996	7.7738	8.9201	9.7459	7.9713	8.0961	8.2953	8.929	8.9037	6.852	8.2216	7.4767	7.903	7.4653	8.244	7.9746	7.4368	7.4307	9.7004	7.3811	7.3093	7.9471	7.2797	7.4195
U133A__SEC61G	9.9714	9.9555	9.7191	9.3436	9.2891	9.1685	9.0797	9.307	9.1404	9.384	10.4118	9.5545	9.391	9.2193	9.7252	9.9294	8.6226	9.2965	9.3635	10.5693	9.6316	9.2158	9.4255	8.1628	9.8319	9.3159	9.8102	9.4178	9.1856	9.6672	9.4634	9.3168	9.9133	9.4621	9.7422
U133A__RARRES3	9.4968	5.5572	5.0381	5.4944	5.277	9.0935	6.0281	5.4879	6.1373	9.54	7.6356	7.8721	5.3288	7.4354	9.2101	6.0114	5.3198	5.0877	8.4487	8.6168	6.2465	5.3185	8.767	4.7062	6.5872	5.4085	5.0522	5.5527	5.5433	9.1235	7.481	6.2309	9.4509	5.626	4.9116
U133A__DEPDC6	5.651	7.3238	5.3355	6.1073	6.4586	5.8382	6.8016	5.4454	5.018	5.9569	5.7007	7.0469	5.6039	5.2684	6.8221	7.3107	5.2826	7.2091	6.8144	6.7692	6.3997	8.2562	7.3802	6.37	6.1324	5.3696	5.477	5.4188	5.853	8.0495	5.8502	6.5351	7.6139	5.8068	5.7792
U133A__GNE	5.3076	5.2581	6.5008	5.4021	5.967	4.4695	4.7172	5.5494	5.0627	6.9256	5.3405	8.1098	5.192	6.4608	8.5545	5.9888	4.7223	4.7803	5.7832	7.899	6.9789	6.856	6.3987	5.8493	4.9721	5.7542	5.3722	5.1636	3.8687	7.4947	5.399	4.9661	6.9006	6.238	5.4946
U133A__SLC29A1	6.4061	6.9671	6.072	8.2586	7.3036	6.0298	7.3864	7.595	6.5218	5.9948	6.6417	6.6939	6.8846	5.7294	5.6648	6.0583	5.899	6.6256	7.2738	5.1861	6.2051	6.5509	7.0954	6.9551	5.7701	7.0758	6.8399	7.6483	5.4986	6.1302	6.2922	6.6821	7.5611	7.1754	7.0177
U133A__LPCAT1	8.9611	9.6749	7.2521	7.0423	7.74	6.6152	6.6098	6.6442	7.3353	6.5708	10.0197	7.112	7.373	6.9475	7.7542	7.1383	7.6529	8.2705	7.4954	7.1965	7.3813	8.3462	6.6051	6.3507	8.3357	7.0926	5.9251	7.5598	7.3431	6.6121	7.2444	7.0242	8.9573	6.3502	6.8462
