Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	ZR751	ZR75B
U133A__ALG8	8.4278	6.5356	8.3549	7.9405	6.6033	6.6134	6.2182	7.6456	7.6652	7.8702	8.7761	8.0008	7.4357	7.6089	7.3049	7.2125	7.3278	7.5191	7.5858	7.9871	10.7193	7.7998	8.8685	8.7431	7.2719	7.4657	7.3027	8.1124	8.2988	8.2403	6.5926	7.7542	7.5285	10.1051	9.2336	8.2776	7.1673	8.0229
U133A__PSCA	6.7882	5.2285	4.9533	4.2226	4.8065	4.7535	5.209	4.548	4.64	4.7495	4.3334	5.3627	6.3379	7.273	4.5253	4.1651	4.4817	4.9353	4.7136	5.3853	4.4292	4.5383	9.04	4.3378	10.8662	8.2352	4.1869	4.6424	5.0975	5.1155	4.7656	4.7827	9.1162	7.524	6.9657	5.4954	4.3161	4.4651
U133A__TUBA4A	8.0959	6.0048	6.8604	7.1961	7.2988	7.4336	8.0741	6.1229	7.2844	6.1504	9.7248	9.6436	6.3914	6.9849	6.436	8.1739	9.3597	6.724	7.2218	6.3682	7.9791	6.2093	7.051	7.6192	6.6858	8.986	6.7349	7.9045	7.136	7.5394	6.7402	10.2433	8.5017	8.76	8.7116	6.4082	7.5034	9.1448
U133A__GALNT7	7.7966	7.8677	6.8942	5.9383	6.9964	6.9831	6.6851	5.6639	3.9737	5.7113	6.7685	7.0344	6.2122	7.7397	4.6655	5.1799	8.3199	6.9868	6.8564	5.8593	6.8119	5.811	7.398	7.0977	8.8145	8.7549	5.1126	8.0766	7.2616	7.524	6.8101	6.1104	10.1522	7.3279	9.6661	7.9458	7.9301	7.8191
U133A__IRF9	7.2426	6.4215	10.1828	7.6644	6.1171	7.5577	8.3291	8.6936	7.7642	7.5971	6.2636	8.0265	9.4517	6.8795	7.5318	7.4596	9.766	6.7956	6.2872	7.9939	8.6157	7.9128	7.9232	6.4818	7.5838	7.5909	7.6485	6.9253	9.4289	6.1693	6.8573	6.0417	6.8427	7.753	6.3509	7.4402	6.3875	6.0362
U133A__ISYNA1	6.2368	6.2863	7.5215	6.4988	6.4888	6.5244	7.3933	9.9775	7.7952	7.6356	7.0895	5.7452	6.9705	5.6818	6.726	7.5231	7.9347	5.4531	6.6	7.3573	8.4527	8.1286	8.0915	5.4333	7.097	6.0186	7.374	8.8166	8.2588	6.7392	8.9433	5.4694	8.0671	7.3242	5.3948	7.9949	7.363	7.6432
U133A__SLC2A10	7.3822	8.9337	8.6382	4.1894	8.3078	6.0184	6.2444	3.2902	4.9809	6.8955	4.0514	3.63	3.8058	9.3639	3.6682	6.9324	6.8581	3.9723	5.009	5.5946	4.8866	6.6611	8.9731	3.8427	9.2903	9.274	4.9798	7.8178	4.9547	5.031	6.0298	3.4864	10.4275	8.4897	8.7642	9.0343	9.2699	8.1564
U133A__LCP1	6.6131	6.2662	6.4693	5.9101	6.1359	5.9344	6.1282	6.1918	6.9759	6.4522	8.2536	6.2406	6.6489	6.4331	9.0611	7.1854	6.3068	6.5316	6.456	6.3403	6.4994	5.9818	6.8268	6.3551	6.8295	8.4467	6.1865	6.369	5.7598	7.2037	6.2423	8.3904	6.1335	6.8825	6.1136	5.9047	6.7422	6.5874
U133A__HES1	7.8362	7.9131	6.4896	5.1651	6.9367	6.6125	7.8518	7.9219	7.5594	6.5368	6.5024	6.658	8.8103	9.585	7.7168	6.5411	6.9986	6.0367	6.746	7.2969	6.5532	6.3761	7.2673	5.6609	7.8519	6.9642	5.9911	6.1492	6.8117	7.3558	5.9077	4.6059	7.9363	6.6536	7.3246	6.625	7.1431	5.8228
U133A__VIM	4.9592	7.7481	5.6063	11.6511	5.8908	11.3859	11.3821	8.7797	5.3502	10.7222	4.9413	9.4913	6.0127	5.6946	10.5693	11.5151	8.134	12.5403	5.7703	5.8608	8.4895	12.7467	6.4138	11.4408	5.516	5.4939	11.4129	5.091	6.8737	5.6462	12.9893	12.4633	5.4996	5.7265	5.4907	7.8423	5.528	5.1392
U133A__C17orf81	6.0039	6.305	6.9719	9.3034	6.3511	8.2392	6.528	6.1772	6.1791	7.2188	7.2754	7.7116	8.0863	6.1739	6.8238	7.0527	6.0851	6.985	7.2643	7.5321	6.0424	7.7869	6.1349	7.3204	7.7804	7.7558	9.3014	5.8973	6.1552	5.7549	7.1647	6.465	7.2237	7.5419	6.835	7.2873	5.8677	5.7307
