Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
EA_G__KIAA0984	6.3444	8.4452	8.8413	7.6971	4.2138	7.8078	4.5502	6.3599	4.2813	4.2274	8.9468	6.8133	5.1804	6.9557	5.9346	6.8	7.4365	8.0653	6.409	4.0248	5.8291	3.668	8.2604	8.3418	5.4775	4.4505	7.3813	5.864	7.8929	7.1228	4.3903	7.3149	6.6069	7.8815	4.4008	6.0266	3.9297	7.968	8.1242	6.4222	7.4861	8.208	7.4529	8.3521	8.4878	8.0007
EA_G__GK5	6.1789	6.7761	6.7273	6.158	5.9959	6.4528	6.0808	6.3518	5.4193	6.5937	7.2851	6.3154	6.5553	5.8377	6.897	6.4483	6.3348	6.9943	6.737	6.6079	7.0026	6.2439	6.4498	6.154	6.1114	5.7931	6.1452	5.9919	6.6209	6.4341	5.7381	5.6613	6.9803	6.9923	5.5771	6.3035	5.7394	6.5173	5.985	6.8699	7.3231	6.2983	6.4726	6.8407	6.4598	6.525
EA_G__VEGFC	5.959	6.1045	6.4836	6.1927	8.5363	6.3565	7.9484	4.9781	6.5901	8.1276	7.4515	5.8244	5.2067	8.6976	8.2692	8.3195	6.3146	6.0912	6.7928	5.6619	6.1002	8.8704	6.4998	6.1745	5.6331	7.8407	7.1515	8.2774	6.7377	5.8924	7.584	7.7121	4.974	6.4205	10.0856	8.5307	7.9418	6.2836	6.8621	5.223	6.4057	5.6382	7.0875	7.4676	6.0722	6.3411
EA_G__SPTLC3	5.9715	4.048	6.2292	6.2518	3.5235	4.4185	3.9087	4.2612	6.2954	7.0779	3.7477	3.8641	5.2119	4.7659	6.1131	5.0516	5.4214	5.3684	5.2206	5.6688	4.6642	7.2522	4.215	4.0369	5.5352	3.7662	6.693	6.4773	4.3243	6.3132	3.7847	4.4117	5.4607	4.7467	5.5062	9.0652	6.2771	6.7267	6.4575	6.2536	6.9141	5.5149	3.8331	4.1874	7.7625	3.7549
EA_G__KRT80	7.039	7.9874	6.8573	8.593	7.3834	7.596	8.0123	7.8916	6.2923	5.5115	6.6546	8.7953	4.771	6.296	6.8175	8.4339	8.099	6.7786	8.3352	7.0502	6.6578	5.3198	9.607	8.2581	6.591	5.9135	7.3827	8.1626	6.9772	7.0231	6.8856	5.9269	7.4687	8.9574	6.4723	7.4273	8.2193	8.8584	6.8185	6.6926	7.57	7.3203	7.3317	5.5589	8.3578	6.5803
EA_G__MMP2	4.619	4.7727	4.5862	4.3656	4.9219	4.4867	6.4642	7.6929	5.7732	10.9422	4.4826	4.4733	4.9088	6.0595	5.4077	5.6186	4.9253	4.9941	4.6012	7.4544	5.7767	10.3265	5.0395	4.9834	4.8745	9.8229	5.0684	4.6176	4.5248	5.481	7.0672	5.6996	6.143	5.2895	9.6213	7.411	9.4531	4.7076	4.6315	5.1411	4.8119	5.1935	4.771	4.914	5.5935	4.563
EA_G__SERPINE1	5.4251	5.8986	5.4065	5.5036	5.6132	5.2081	9.8133	6.988	5.5114	5.7937	5.0759	5.1916	5.1886	7.6995	7.0332	7.2798	5.9422	5.2755	7.7287	5.7854	5.5744	11.9346	5.8429	5.6226	5.5287	6.3332	8.3971	10.2428	5.0146	6.1282	11.7198	5.9937	5.8471	7.8398	8.1438	5.5569	11.8792	5.5559	5.1175	6.5275	5.4098	5.4253	5.4968	5.331	5.9709	5.4464
EA_G__MAPT	5.7018	5.1448	6.9443	9.1397	5.1979	8.0624	5.874	5.4416	6.2766	5.0627	4.9614	9.0827	5.6293	5.3387	5.1081	5.4602	6.1583	5.7802	6.5011	5.2449	5.3896	5.4343	7.0464	7.1596	8.4538	5.1361	6.1992	5.4871	5.6839	6.2724	6.2586	6.3443	5.5775	5.4325	5.4093	5.6854	5.1477	5.3825	6.7056	5.8018	5.8948	7.4277	6.3984	7.6494	6.1801	7.3209
EA_G__H2AFY2	8.1988	5.3299	9.2559	8.3241	5.3209	5.4754	8.1386	7.8704	9.4872	6.1545	5.8495	7.878	6.2785	6.7217	7.4557	7.5053	6.0565	5.8091	8.1304	8.1102	7.9249	5.6012	8.2846	7.9538	8.6058	8.1688	7.8185	5.5163	8.1898	5.096	7.5171	7.16	8.7501	5.5325	7.0571	5.8205	5.3303	8.8905	5.1359	5.7419	7.9909	6.8286	5.1352	9.006	5.97	8.477
EA_G__SH3RF2	7.3729	6.0867	6.2286	5.9256	5.639	5.3667	7.9792	7.43	6.1878	6.4714	6.1167	6.2721	5.2171	7.5054	8.7813	6.9138	5.9921	6.4435	6.5822	6.3956	7.0495	7.113	5.5176	5.8152	6.4949	5.7632	6.5689	7.6185	6.5312	6.7045	5.9852	6.1989	6.9096	5.8138	8.4877	6.646	6.2157	6.4112	6.446	6.9071	7.2445	5.9877	5.9326	6.7448	7.6081	5.5621
