Cell lines	600MPE	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__CREB3L4	8.1311	8.8266	8.2267	5.1526	8.4914	5.7882	6.0428	8.1729	6.4823	6.4278	5.55	5.5635	7.1548	5.7115	5.4265	6.6527	6.6146	7.3017	6.9522	5.3083	7.8557	5.5882	7.768	7.4532	8.0278	7.7082	5.6583	5.9138	5.4051	7.0025	7.9691	7.4838	8.0176	7.745	8.8611
EA_G__PERLD1	7.9981	11.5309	8.5186	7.0395	8.0143	6.7798	7.5751	11.7835	7.7075	6.0197	6.9121	6.5128	8.5531	7.9337	8.1056	7.9547	7.2717	7.3187	7.6108	6.8706	8.1096	6.7476	10.1259	7.7315	8.2906	10.1853	7.6784	7.1932	6.6914	7.5985	12.8771	7.0808	7.6174	10.9271	8.078
EA_G__AKT3	5.4271	3.773	3.8132	7.5447	3.1311	7.6527	5.8267	3.0579	2.8806	7.8016	3.9619	7.2247	5.0257	6.1725	4.2506	3.4701	3.0857	3.5124	3.3863	8.4968	4.1188	7.2533	4.1802	3.0785	3.6666	3.7047	3.2738	7.3988	4.088	4.44	2.7296	3.81	3.4691	5.0022	3.0935
EA_G__GLT8D4	5.4162	4.6364	5.56	8.5909	4.5511	6.4599	7.8917	5.3506	5.6089	8.3612	4.909	5.3307	4.642	6.4971	7.7787	4.8082	6.5883	5.5457	5.5823	6.3558	5.8193	6.3478	4.9884	4.4178	5.2385	5.3691	7.1987	7.6105	7.5528	5.0621	4.7053	5.652	5.7258	6.6445	4.8007
EA_G__GRB7	8.5454	11.1297	8.1717	6.2075	7.1224	7.4261	6.3606	11.6802	7.283	9.436	7.1132	6.9786	8.4244	7.8473	5.9178	8.1182	7.3692	7.4325	7.641	5.5442	8.1737	6.1796	9.8138	7.8417	8.799	10.5391	7.3985	7.0859	6.2713	7.9055	12.3691	8.1468	7.4714	10.6486	7.7878
EA_G__IGFBP7	5.421	5.6195	5.7641	5.6527	5.2525	9.5888	6.253	5.5267	5.8065	7.9135	8.7223	8.5077	5.8402	9.2974	6.8475	6.7497	5.703	5.5275	5.6305	10.8549	5.6948	9.3336	5.5052	9.0609	5.944	6.6045	5.7196	6.5123	6.9599	5.7638	8.0042	5.6972	6.1333	5.5951	5.4712
EA_G__HBEGF	5.9666	4.9068	5.1174	9.3836	5.6136	5.5354	5.656	4.9952	5.2972	5.4996	8.232	7.5528	5.4704	6.2009	5.3934	5.9594	5.279	5.3204	5.4978	6.9636	5.6472	9.1191	4.8683	5.0741	5.512	5.1797	6.7088	5.5459	7.5776	5.4672	6.9455	5.2866	5.6012	5.0115	5.3434
EA_G__S100A2	4.9938	4.3304	4.8145	6.0816	4.8565	9.6017	6.2329	4.4923	4.5089	4.6254	9.9432	7.9132	5.0789	9.6456	6.3764	7.9301	4.7519	4.6769	4.421	6.233	5.0704	5.8	4.2069	4.6835	5.3593	4.8616	7.3285	8.6077	6.9381	4.8188	5.1131	5.1742	4.6866	4.7369	4.5623
EA_G__SLC7A8	8.5421	8.8236	8.1028	5.042	10.6962	5.0441	6.0296	9.5636	7.2944	4.7488	8.4816	5.2606	8.1148	4.7435	5.7111	5.5632	5.3353	5.3922	10.8003	4.7921	10.2389	4.9899	10.2853	9.6818	8.7371	6.5396	4.8894	6.1091	4.9765	7.0086	8.4994	8.5397	9.0232	10.533	6.8407
EA_G__PRODH	7.1166	9.6968	6.5807	5.2856	9.8394	7.3753	5.293	9.9249	7.0011	5.3203	5.7339	6.3419	9.6035	5.5817	5.3378	5.6238	6.1188	5.8214	6.8612	5.7096	10.3624	5.3603	10.5759	10.8014	10.6464	6.5433	5.7008	5.7056	5.2411	7.8362	10.5858	9.7075	7.7263	6.2829	10.3923
EA_G__CYP2J2	7.5609	6.7259	6.0601	4.78	5.8339	6.1137	4.6398	7.7706	6.8903	5.9356	4.8007	5.9878	7.4097	4.6187	4.4382	6.0827	6.3696	7.0868	5.2002	4.2793	4.9988	5.9153	7.5381	8.3749	5.4937	7.2803	4.893	5.2515	5.3152	6.042	7.5127	5.895	5.9996	6.2447	7.9614
EA_G__PRKCDBP	4.8323	4.8024	4.8467	7.0079	4.9027	9.1517	8.3214	4.4053	4.6242	7.4982	8.314	8.1819	5.4113	6.7699	7.3649	6.0356	5.6818	5.3427	4.9622	7.9633	5.8675	8.1638	4.8741	6.2092	5.7995	5.1549	8.6926	7.6327	8.5386	4.9303	5.1614	4.9373	5.379	5.3021	5.1032
EA_G__SLC24A3	6.1884	7.6921	8.927	4.9069	8.2005	5.4026	5.6591	7.088	7.3408	6.854	5.1651	4.81	7.4995	5.2071	4.6949	7.2516	6.3113	7.6462	7.4927	4.6514	6.4122	4.8684	7.4147	6.5707	7.3839	6.6887	4.7718	5.043	4.925	7.853	6.2864	7.3459	7.4011	6.4345	6.9271
EA_G__SLC7A11	5.1809	4.1599	5.0311	6.5597	4.2618	5.8494	8.4557	4.9675	5.0098	5.4931	7.8307	6.4145	3.8433	5.6015	6.7087	5.6799	5.8004	5.4594	5.75	5.2728	4.449	8.0821	4.96	5.0106	4.2806	4.9229	7.2331	5.2141	7.3597	6.9123	7.5002	4.0292	4.5781	4.0326	4.6664
