Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__BMP1	6.6703	6.5794	7.9687	6.0246	6.445	8.212	6.0746	7.1822	9.0463	8.0235	5.4548	6.9235	6.8115	6.6383	7.5455	7.9091	6.5834	7.2222	7.792	7.3279	8.4422	6.6899	6.5585	9.678	6.943	7.0429	6.1197	7.0648	6.6947	6.5005	7.0603	7.7511	7.8272	6.9575	6.411	6.4197	6.3307	6.3149	5.8934
EA_G__ZNF229	3.015	4.6623	7.1887	2.679	6.6821	7.6054	3.1535	3.2399	5.4165	6.0542	7.8117	7.9884	3.159	5.9597	7.2242	3.2274	6.9587	7.4403	7.8787	6.0636	7.3658	5.8555	3.3461	3.4757	4.6122	3.2397	5.8217	6.1627	4.6086	4.8024	6.858	3.1826	4.5299	3.9861	6.7068	5.4143	4.9974	5.5777	4.7369
EA_G__KRT13	6.9552	7.2847	6.701	6.1001	10.33	5.8539	5.749	6.2374	5.8131	5.8504	5.8338	8.2877	5.8424	10.3909	10.2844	6.4656	5.958	5.8992	5.5661	5.9554	5.8534	6.0885	5.618	5.3836	6.2938	5.7852	5.6344	5.7481	6.6622	7.0171	5.947	6.2364	5.6979	5.7858	5.9224	6.0699	7.0802	6.0486	5.977
EA_G__CASKIN2	7.6011	7.3359	7.6148	7.5427	8.1321	7.0714	7.8006	7.509	7.4029	7.4591	7.2616	8.3236	7.3482	7.4533	6.8615	7.0004	7.2135	7.2855	7.1834	7.3138	6.7536	8.6303	7.0034	7.2135	7.6133	7.2308	8.7965	7.2082	8.7073	7.608	7.3409	7.3259	7.1055	7.4963	7.711	7.4028	7.4153	7.9668	7.9551
EA_G__TLE4	4.0222	3.8544	5.4521	3.904	4.018	8.7904	3.9341	6.1528	6.7137	7.0187	7.207	3.7176	4.7436	5.6386	6.3728	5.9757	6.085	6.4427	7.5938	6.9186	7.7927	4.2411	5.3919	8.2546	6.0291	3.7657	4.0863	3.8625	5.7479	4.681	6.409	6.5703	4.2996	6.8817	5.3884	4.1489	4.2274	3.6597	4.2559
EA_G__FLJ21963	3.8881	7.8605	3.8025	4.6116	6.1423	3.7657	5.0162	4.5512	5.6827	3.7178	4.4978	9.5439	3.6912	5.7086	3.5851	3.9281	4.6064	3.5861	6.6594	3.5759	3.7577	8.4698	4.9766	5.1395	6.5431	7.8168	3.4088	7.7311	4.3437	8.0313	3.8298	6.2589	3.7492	3.5876	5.6069	4.2478	7.0205	7.0556	4.1461
EA_G__FBP1	7.5216	5.2071	4.8652	9.4178	8.9701	4.6472	9.2616	4.5261	4.8	4.8787	7.7114	7.8887	4.5754	5.8823	8.7709	5.6515	4.8183	4.6158	4.5283	7.404	4.6383	10.3261	9.9083	4.6404	9.948	4.8766	9.9939	8.753	6.105	8.9461	4.7417	7.7847	4.8368	9.9019	7.8951	8.5676	8.2741	9.6585	9.9927
EA_G__SGK	4.2316	5.0406	7.2857	5.4106	5.3314	9.0838	4.1858	8.9248	4.3511	8.7011	6.361	5.0384	6.6596	7.7021	7.7639	6.6802	5.1726	7.019	9.4103	6.1623	9.2354	5.3706	5.9424	8.3272	5.1426	8.4342	7.6622	3.713	5.0158	4.8986	9.7393	8.7562	8.0896	5.5156	6.1843	7.5815	4.7744	5.5835	5.6857
EA_G__ANTXR1	5.3638	5.021	6.8935	6.2803	4.3643	8.3203	6.4484	7.9829	6.8212	6.5266	4.5447	5.1114	6.4815	6.0603	7.8974	7.4695	6.41	7.5128	8.3548	8.5385	8.4815	5.5532	4.8534	9.1346	5.6954	7.7099	4.9336	5.5327	5.7268	5.1019	7.686	8.0006	8.3681	6.3598	4.7558	6.7588	6.3156	5.2435	4.9089
EA_G__ATP2C2	7.3612	7.1301	6.3762	8.2179	7.788	5.3497	7.7028	5.9351	5.1224	5.0997	8.4417	7.4719	5.2602	7.0346	7.169	5.8961	8.3016	6.6985	4.6332	6.8254	4.8393	8.1187	6.7656	4.7757	7.7212	5.1175	7.5495	8.7963	7.9613	7.5787	5.4452	6.4738	5.2595	8.2752	8.3637	6.7796	7.0768	7.274	7.6677
