Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__MBP	5.1637	4.6214	6.8298	4.9599	4.6325	4.7642	4.382	8.2963	4.0408	5.2755	5.3637	5.5559	5.0395	7.3797	4.2052	7.7157	6.2399	6.1055	8.4056	4.443	5.7006	5.2573	4.7936	4.2088	4.3579	7.526	6.2173	5.1686	5.3124	4.4824	5.3162	7.4457	4.8437	4.3446	6.3017	6.1251	4.5642	4.795	5.4945	6.3904
U133A__PYGL	6.1764	6.1307	4.7939	4.9125	8.0597	7.5817	4.3046	7.4084	4.163	8.6838	7.7568	7.3237	4.9142	7.3781	4.8608	4.8757	7.8709	7.0616	6.0458	5.7669	6.1285	5.7923	5.2368	6.3293	4.9706	7.8474	4.3501	4.681	4.8473	5.8791	7.3971	8.3703	4.7817	4.7269	4.6629	4.499	5.5812	7.9852	4.661	4.5797
U133A__HLA-C	9.5023	8.7854	8.8479	10.5686	11.6679	10.3256	10.1351	11.0708	12.5864	10.813	11.4648	11.0759	11.8655	10.9118	10.8394	8.252	11.0232	11.783	12.3098	9.4587	7.7843	9.2536	10.7895	12.1352	10.024	8.9901	11.4528	11.0879	10.2412	7.1053	10.2763	9.6461	9.7808	10.8914	12.488	10.2614	10.7571	11.1958	9.1612	9.2981
U133A__BMI1	5.2627	6.2853	6.8977	5.6401	9.3719	6.6391	6.0857	5.3895	6.8203	7.5417	5.7456	5.0391	5.5369	5.7849	5.8791	6.4265	5.3789	5.998	6.2942	5.6207	6.3277	6.0755	7.9302	5.5347	5.2115	7.341	7.0147	5.6888	7.2058	5.6715	6.5148	6.4517	5.8622	7.106	6.8552	5.8714	5.5429	7.4405	6.1095	6.7911
U133A__ANXA3	5.8235	5.5164	7.1341	6.4784	5.2551	3.7423	2.8886	7.7672	4.9284	3.7994	4.9793	5.4612	6.6394	7.7175	5.294	7.9447	8.5263	4.939	7.8239	4.1434	4.0707	5.0882	3.0827	3.6072	4.9618	7.2077	5.4258	6.3865	3.2983	4.9883	3.8153	8.814	4.6984	6.6092	7.5001	2.9341	3.7641	5.3431	4.7554	4.7782
U133A__GNG12	7.5942	7.7849	9.0112	6.4664	6.5978	9.7447	5.7435	7.6541	6.3405	6.7824	8.0676	8.631	8.0184	7.7945	6.6779	7.4507	8.4371	8.502	9.4671	10.163	5.8447	6.4708	6.9607	8.6305	6.6815	9.2273	6.8388	8.3046	7.625	7.4958	9.7275	8.1413	9.2598	7.333	9.1562	8.3668	6.9594	7.5017	6.9873	7.0425
U133A__ME1	8.3567	7.7974	8.193	5.9976	4.3669	6.2304	3.5126	5.2956	7.5277	6.3978	6.0968	8.6735	7.608	7.8782	4.659	6.6291	7.442	6.9336	7.1357	6.5106	5.9111	6.5939	4.2005	8.2989	4.2227	6.5132	6.5847	8.4861	3.7088	6.4531	6.6978	6.6297	7.1395	3.7365	9.0868	8.4449	3.91	5.382	6.4445	7.0946
U133A__MB	7.4236	8.8244	7.795	8.3925	7.7501	6.4009	7.7355	8.32	6.2043	7.2	6.8466	6.6614	7.0329	7.5746	8.7101	9.3254	8.8972	6.5353	7.1009	6.1489	7.3687	7.2662	6.8012	5.9791	8.9188	5.6782	8.6018	8.4996	7.5244	9.1745	6.167	6.6543	6.5481	7.8482	8.0214	7.9644	7.1885	8.5176	9.4389	8.2806
U133A__RCAN1	9.5061	7.1303	7.6573	5.82	5.6035	7.7765	5.7191	7.9377	6.1191	5.2347	8.8541	4.8444	6.9518	5.967	5.1898	6.6797	7.3532	6.7074	8.7816	5.7036	5.7352	4.0112	4.6964	6.4032	8.3341	6.0613	5.947	7.4427	5.2858	6.2714	7.7167	5.6586	6.4412	5.1797	8.8791	7.3375	7.707	9.0319	6.8817	5.7304
U133A__HLA-B	8.2861	6.5287	6.9258	8.4347	9.7896	8.1642	8.915	9.9839	12.112	8.8869	10.6615	9.8035	11.5088	10.0633	10.1819	6.3218	9.5062	10.8249	12.3107	8.5989	6.9006	8.3908	9.4948	11.9091	8.045	8.1669	9.2382	9.8055	7.5816	6.226	9.7036	8.7843	9.7905	9.8309	11.646	8.6981	10.2594	9.7333	7.8149	7.1263
U133A__UAP1	9.1598	8.4831	7.1609	8.1046	8.3803	10.5221	7.3076	7.5494	7.5247	7.4176	8.5975	8.0611	7.6904	6.9409	6.9494	7.8611	7.7855	8.3676	8.4675	8.864	6.5547	6.1229	7.6336	8.1057	8.1617	8.5606	7.148	8.1879	8.1683	7.9066	9.5836	8.0031	8.7819	8.9616	8.4541	8.9146	7.0147	8.1841	7.9779	7.8894
U133A__CEACAM5	9.5911	5.7841	5.4423	7.0121	5.5306	5.4417	5.5849	5.6019	5.5464	5.2869	5.6712	6.103	5.7918	6.1129	5.959	6.5326	5.6267	5.9733	5.5358	5.6354	6.2619	5.7931	5.5524	5.3184	9.7291	5.4178	8.1471	6.3627	5.5054	5.4876	5.5328	4.852	5.3902	10.0961	7.4252	5.8371	5.9788	5.7683	5.9469	5.6463
U133A__DPYSL2	6.5499	4.3957	6.3934	5.6905	6.9064	9.755	6.403	8.6685	6.876	6.4028	8.1874	7.4548	6.1458	4.9671	4.0143	5.8342	7.3601	7.5697	6.8732	9.3498	4.9229	6.4398	8.4362	7.9753	6.9726	7.9353	6.4448	4.2048	6.5866	3.6449	9.0406	8.4346	8.7608	6.6997	7.2071	7.204	5.519	7.3291	4.2719	7.339
U133A__MBNL2	5.4423	7.1301	8.2242	6.9266	6.3789	7.5204	6.3889	7.0872	6.6647	6.2769	7.2559	6.1725	8.5786	7.1597	5.3797	7.9226	7.5396	6.4642	8.1549	6.4804	6.1638	6.2054	4.1661	6.866	6.0078	6.1347	6.8225	6.7261	5.267	6.5825	5.3103	5.603	6.3923	8.6513	8.176	5.6113	6.2038	6.5181	6.0766	4.5447
U133A__PRELP	6.8291	6.5662	6.6107	6.843	6.7042	6.6083	6.628	9.6306	6.5614	6.599	6.5589	6.3956	6.1534	6.5104	6.7348	6.7419	6.8514	6.4367	6.4912	6.8243	7.2114	6.7206	6.5358	5.9924	6.6174	6.3867	6.8615	6.2698	6.7329	6.5423	6.7477	6.5663	6.764	6.3013	6.3472	6.6793	6.6153	6.4132	6.6346	6.4253
U133A__MAP4K4	6.0673	5.1091	8.0032	6.3952	5.9184	7.3226	5.7528	6.1253	7.425	6.5388	7.2464	7.61	6.8356	7.0288	5.4933	5.4528	6.7248	7.8366	6.6207	7.9799	6.3307	6.1541	6.5299	8.1798	5.703	6.5193	5.9015	5.0642	4.9385	5.1327	8.1638	8.3236	7.7847	5.9041	6.5972	6.1144	6.0063	5.6747	5.3321	6.2691
U133A__OSBPL9	7.2376	8.5126	7.8669	7.4145	8.1395	8.1616	5.8039	7.1931	8.9375	9.0068	6.9584	8.6277	8.4822	7.1002	5.7205	10.4561	8.0149	7.7603	8.8407	6.8305	7.6955	7.4043	6.0714	7.9846	6.5437	7.68	8.3011	7.6034	5.8251	7.9799	6.7672	8.4488	7.9526	6.2279	9.531	6.5777	7.7101	8.2348	5.6482	6.1438
