Cell lines	600MPE	BT20	BT474	BT483	BT549	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB361	MDAMB415	SKBR3	SUM1315MO2	SUM149PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__PADI2	9.3092	7.7046	9.5608	7.5274	5.5554	6.8087	8.7344	5.891	9.9272	6.6508	5.4932	6.2254	7.8027	6.5577	9.4405	7.8639	5.5305	9.7534	5.6336	6.9998	6.5501	5.4501	9.952	10.1818	8.6201	6.0273	6.5008	10.2354	8.2646	9.4022	7.0662	8.0231	10.3101	7.2104
EA_G__MYB	6.4454	5.8315	7.7499	7.6455	5.0163	5.9692	6.8993	5.1898	8.3839	7.6386	5.2504	4.5412	5.2464	5.6456	8.0208	5.3536	4.5154	5.93	5.8028	7.1808	8.0709	4.4789	8.6746	7.4365	6.6892	4.7019	5.5426	6.1985	6.1338	6.9719	6.8456	7.1594	6.537	7.2111
EA_G__C1orf34	8.0896	6.5143	8.6653	9.5229	4.3849	4.9498	6.4694	4.4875	9.621	10.7155	4.7666	5.4992	6.0973	5.9825	8.1981	5.8414	4.7716	8.2159	4.4583	7.4708	8.655	4.7734	9.2873	8.812	9.2993	4.8324	4.8993	8.0572	7.8121	7.8552	8.6739	9.9698	7.8377	8.6777
EA_G__SYT12	6.5702	7.2923	6.4667	7.2718	5.6842	5.3679	8.048	5.0011	5.5349	7.2782	6.3472	5.9473	6.3003	7.3051	8.2401	5.853	5.1824	7.0638	5.2108	8.037	7.7083	5.4029	6.4297	7.8238	7.193	6.263	8.7831	5.3229	6.7599	7.2041	6.3496	8.237	7.9768	6.5939
EA_G__C20orf114	11.0401	5.2127	7.8852	6.3309	4.6121	5.1526	5.0573	5.3378	7.2331	4.8674	5.6278	5.3641	7.8002	6.663	10.464	5.2185	4.9445	6.5348	5.1707	6.0915	5.6898	4.9152	10.0853	13.2886	7.2236	5.1248	5.3721	11.3388	5.3234	10.3221	7.7395	8.1169	5.6322	7.4759
EA_G__7A5	10.3607	8.1824	8.3314	9.0219	3.2606	7.6597	5.6095	3.7134	9.2592	6.5231	3.7622	8.2988	8.3687	9.8414	8.9054	8.2759	4.0236	9.6757	3.4441	6.8545	7.4974	3.1486	7.6718	8.5499	8.7273	3.9994	6.9247	7.1495	9.2352	7.0569	8.1383	9.6843	7.3096	9.2036
EA_G__MYL9	5.9827	8.1376	6.0403	7.3947	9.0829	8.8326	6.3362	7.2937	6.7514	6.7845	8.7136	7.7516	5.6411	6.2977	6.4925	8.9906	9.4131	7.2959	9.2271	6.6307	6.5607	9.6946	5.9337	7.4537	7.2278	7.8784	7.6641	6.9746	6.8768	6.5586	7.8883	7.8833	6.2851	6.2681
SNP__LOC440040	0.027	-0.2	-0.038	-0.316	-0.995	0.311	0.239	-0.316	-0.152	0.205	-0.048	0.224	-0.105	0.093	-2.19	0.23	0.333	-0.225	-0.31	0.181	0.238	-0.11	-0.176	0.003	0.051	0.178	0.416	-0.126	0.149	-1.651	0.326	0.075	-0.042	0.023
EA_G__CACNA1D	5.1325	5.8969	6.4883	7.1711	4.3929	5.0697	5.9576	4.3872	7.9984	8.2401	5.3635	4.4459	4.8797	4.8552	7.7626	4.6953	4.4363	5.9109	4.1169	6.6581	6.2977	4.2473	6.9919	6.4139	7.7938	4.5576	4.5211	5.9556	6.0469	7.638	6.6987	6.9375	7.5353	5.8883
EA_G__DTX4	10.0037	8.1956	7.6009	6.9354	5.9571	7.0537	8.1414	6.3483	7.3775	6.7969	8.8522	7.4853	8.7511	9.5893	10.2251	7.1285	5.8389	8.5995	5.5045	6.8731	6.2001	6.9709	7.3856	8.5159	8.2357	6.4031	8.3291	6.8272	7.6505	9.2681	6.1744	8.5524	6.424	7.0198
EA_G__CTGF	7.8838	5.9156	5.884	6.0218	9.3777	7.7782	6.5942	7.1026	5.7885	5.882	8.7018	6.664	6.8898	6.9109	7.1419	8.6485	7.6684	6.5018	10.62	6.0448	6.3716	7.6168	5.7406	6.065	6.6274	9.1454	7.3645	6.5749	6.6338	6.6145	6.0636	6.0606	5.9837	6.0465
EA_G__SLC12A2	11.0489	8.1504	10.349	9.1326	7.0937	8.0808	8.0458	6.9817	10.8473	7.569	7.6518	7.232	7.8916	8.4272	9.589	7.6019	7.7225	8.0086	8.9947	8.7156	8.6511	7.1474	11.102	10.3887	7.7307	7.6855	6.7804	9.8354	8.7048	8.3015	7.5585	8.6366	7.4819	7.7776
SNP__POU6F2	0.01	0.2	0.468	0.372	-2.998	-0.437	0.427	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.197	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.406	0.17	0.191	0.578	0.431	-0.201	0.546	-1.934	0.126	0.315	0.335	0.558	0.36
EA_G__BCAT1	3.559	3.5691	3.6425	3.4845	3.6725	3.8186	5.6875	4.1368	3.6033	3.645	6.6512	8.3436	4.4085	3.8989	3.9405	3.6893	7.2425	4.7664	7.319	4.3085	4.3023	6.9113	3.6262	3.5873	4.3198	8.4699	7.2623	7.984	5.3429	4.0087	4.0349	3.7986	4.0382	3.8361
EA_G__PYGL	8.2279	5.4124	4.5482	8.5657	8.6049	9.3095	3.8507	6.1698	6.4332	9.2013	9.2196	8.4187	6.1846	9.0332	4.9662	9.6848	8.9714	6.8818	7.9592	8.0777	7.1207	8.1479	4.2731	4.9804	7.7447	9.0854	9.7038	5.0333	4.6464	4.4254	7.2832	7.6898	3.8629	4.711
EA_G__COL1A1	6.5423	6.2508	7.0552	6.4358	11.619	6.4123	6.3335	8.8737	6.885	6.5766	6.1846	6.4506	5.9671	6.0936	6.3913	7.8403	11.224	6.3257	11.5916	6.6991	6.6985	11.2898	7.2627	6.1977	6.3813	11.2379	6.9361	6.9765	6.3819	6.7742	7.2366	6.2342	7.0746	6.3556
EA_G__C1orf64	8.0389	5.835	8.5042	7.2135	5.7056	5.3251	5.8239	5.7955	9.3609	5.9959	5.5774	5.6345	5.7833	5.7959	6.0412	5.5348	5.7137	5.9871	5.6903	6.0348	5.929	5.6187	8.2425	8.7956	7.869	5.917	6.0097	8.388	6.8583	7.5468	7.081	7.8354	8.5419	7.5124
EA_G__RASA3	6.7536	5.9848	6.1854	6.9515	7.9914	6.9166	5.544	7.3455	5.6888	5.9938	6.6235	8.0798	6.9662	5.7554	6.2026	6.7827	8.3408	5.2362	8.4783	6.8907	6.387	9.3533	6.3381	5.3877	8.2353	7.4424	7.5334	5.1827	6.6902	5.7501	6.5498	6.1496	6.8251	6.7331
EA_G__ABCC5	5.9535	7.5093	8.3158	8.0661	6.8239	6.9295	6.5499	7	7.9766	9.0062	7.5615	7.5179	8.4078	7.2503	9.2941	6.922	6.4032	8.0915	7.2329	8.4363	7.7763	6.5591	8.1434	8.4676	8.1011	6.0554	6.2323	9.9184	5.7974	6.9504	7.7622	8.1707	7.3995	7.4722
EA_G__CD109	6.1416	6.5985	3.7921	5.5339	8.3527	9.8252	3.4962	9.2487	3.0817	6.5144	7.1157	8.0877	9.3691	3.591	3.7098	9.8537	8.8739	7.4854	8.6953	4.4126	5.5731	8.0959	6.1181	7.5862	4.357	10.4754	8.624	5.8117	4.6067	3.6874	4.1718	7.6538	4.3542	4.5237
EA_G__CDH2	4.0251	3.9336	6.1279	5.6571	9.8299	10.0761	7.0983	9.3912	3.6812	4.1157	6.1737	6.6884	3.977	4.3982	4.3469	9.5028	11.0385	4.1055	10.6677	4.2581	4.3672	9.341	9.0445	4.2375	4.4986	6.1511	7.001	6.7609	4.2568	4.0943	4.3249	5.1323	5.1626	5.225
EA_G__SDCBP2	7.0814	7.616	6.777	6.2358	6.4768	6.472	6.6417	5.9148	6.6004	5.7353	6.1043	6.7198	8.259	8.2409	8.2072	6.513	6.3093	6.5417	6.1284	6.373	6.4581	5.9065	6.7393	9.2894	7.3619	6.2753	6.5551	7.1313	8.3636	6.4793	5.9834	5.7565	6.1225	6.268
EA_G__JAG1	5.3676	7.0109	5.3175	5.37	5.2094	10.6497	7.2981	8.7216	5.2027	5.7356	6.6225	8.4241	9.22	8.9527	8.3486	8.547	11.4361	8.8384	9.1839	4.9283	6.6646	10.2915	5.8293	6.3949	6.3796	7.2595	6.924	8.7139	7.9	5.371	5.2308	4.8664	5.3273	4.8759
EA_G__TM7SF2	7.362	7.5175	10.6738	8.9356	7.777	7.2251	9.5359	6.8147	9.1668	7.9039	6.7241	7.7442	7.9366	7.4522	8.5326	7.6531	7.0171	7.4679	6.3437	9.5635	10.0085	6.465	9.7289	8.2619	8.013	7.0973	7.8511	9.5896	6.8613	8.2324	10.641	9.5627	9.7151	9.4245
EA_G__PLAC2	7.092	6.272	6.2707	7.6406	4.6991	6.0206	4.7126	4.7023	7.6164	7.0925	4.4729	4.9591	5.5125	5.7204	6.3614	5.0401	4.0759	5.545	4.6795	6.094	5.7331	5.7395	7.2278	5.4979	7.2238	5.2128	5.3025	6.6899	5.7468	6.1706	5.5055	7.3122	5.5028	5.7836
EA_G__TMPRSS2	7.1443	5.9505	7.4163	6.1494	4.76	5.9465	7.398	4.4614	8.4729	6.5273	4.686	4.6026	5.5772	4.5393	9.8984	4.5147	4.4592	8.9766	4.216	7.2592	6.7275	4.3741	6.094	7.3281	7.2688	4.3749	4.9769	6.2306	7.1473	5.1128	7.3834	5.9248	4.9624	4.7479
EA_G__IGFBP7	5.421	5.5814	5.6195	5.7641	5.6527	9.5888	6.0939	6.253	5.5267	5.8065	7.9135	8.7223	8.5077	5.422	5.8402	9.2974	6.8475	6.7497	10.4989	5.703	5.5275	10.8549	5.5052	9.0609	6.6045	5.7196	6.5123	5.7638	8.0042	5.6972	6.1333	5.5951	5.4712	5.5935
EA_G__RHOV	7.283	8.4574	8.0872	8.3758	6.4486	7.8628	8.3043	6.7707	8.7399	7.3848	6.8553	7.3721	7.5034	7.5923	9.2953	7.7164	7.1533	10.4826	6.6712	7.3987	7.7727	6.5363	6.9177	7.754	9.6719	6.3819	8.2071	7.415	7.5265	7.9056	8.4813	7.4151	7.846	8.0596
