Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
EA_G__FAM77C	5.5986	5.2746	5.141	5.8177	9.2404	6.2285	6.2276	5.3808	8.9727	5.7255	5.6698	8.9535	6.7136	5.356	5.6356	5.4778	6.8957	5.3006	5.5056	5.3072	5.7193	5.0108	6.0272	7.3493	7.2011	5.5719	5.2503	6.1178	5.1351	6.0575	5.6643	5.5834	5.2124	5.4421	6.2118	6.0491	6.0703	7.1372	5.5503	8.1041	5.5351
EA_G__IRF6	9.1696	8.0282	7.5604	8.1633	10.1843	3.8128	9.1797	10.0554	6.7037	4.5638	8.2055	9.4594	8.5462	9.872	9.6737	8.8168	8.5601	8.441	8.7425	4.26	8.7031	4.1966	7.1606	7.4177	4.2715	8.9155	4.6084	8.7099	9.4025	8.2687	8.274	4.6999	8.2688	5.0442	8.089	9.079	8.3038	7.8424	9.1979	8.1744	8.3068
EA_G__AZGP1	11.8674	10.2938	5.2477	6.3166	7.9619	5.1861	7.8483	10.5743	5.8672	4.8475	9.8598	5.393	10.1989	5.1734	7.6159	8.1158	8.9454	9.9126	7.6711	4.5263	11.0381	4.8353	5.798	5.7386	4.8156	8.6593	4.9316	8.3578	10.6706	10.6377	8.0518	5.702	6.1725	5.9591	6.4786	7.3664	9.6307	9.8486	10.4682	10.3801	8.0104
EA_G__SEPT5	6.3649	5.8218	5.4888	6.8545	9.2149	6.9917	7.0728	6.888	8.1918	5.9548	4.9238	7.691	9.195	6.8196	5.8255	4.974	5.7689	5.4952	6.6148	8.3416	5.4054	7.6431	5.8702	5.9275	8.0557	7.0142	5.3191	6.0274	6.0086	7.2841	5.941	7.763	5.3691	6.201	5.9793	6.6086	6.8084	7.9207	6.5206	6.4916	8.1474
EA_G__CASP4	6.3019	7.5155	6.7396	5.3109	5.4746	5.9578	3.3988	6.0738	7.8177	6.3475	4.2606	5.0249	4.6603	8.3937	7.5857	8.3653	5.5842	6.3506	7.6006	6.7481	7.609	7.1811	3.0831	4.2468	6.8069	5.7767	7.2394	7.347	6.6588	5.7453	6.5478	4.3336	7.0875	7.6942	7.0168	5.509	6.2177	3.4534	6.0266	5.9055	3.7952
EA_G__KRT13	6.9552	7.2847	6.701	6.1001	10.33	5.8539	5.749	6.2374	5.8131	5.8504	5.8338	8.2877	5.8424	10.3909	10.2844	6.4656	5.9006	5.958	5.8992	5.5661	5.9554	5.8534	6.201	6.0885	5.3836	6.2938	5.7852	5.6344	5.7481	6.6622	7.0171	5.947	6.2364	5.6979	5.7858	6.0699	7.0802	6.0486	5.977	6.1463	5.6948
EA_G__RHOD	9.4383	6.3205	9.3367	8.4884	9.4652	5.5742	9.5478	5.9601	8.9794	7.7977	9.6713	9.1259	8.1197	9.1846	9.0276	9.3317	8.4561	8.733	8.065	7.6813	8.0761	6.3719	8.9545	8.7762	6.3457	8.7998	7.5	8.5256	10.589	8.8677	6.6228	6.1711	8.7664	6.7042	8.4099	9.6388	9.4683	9.594	8.2317	8.1995	8.4584
EA_G__COL1A1	6.5423	6.2925	6.2508	7.0552	6.4358	11.619	6.3917	6.4123	6.3335	8.8737	6.885	6.5766	6.1846	6.4506	5.9671	6.0936	7.5176	6.3913	7.8403	11.224	6.3257	11.5916	6.6991	6.6985	11.2898	6.7111	6.1738	7.2627	6.1977	7.9956	6.3813	11.2379	6.9361	10.7507	6.9765	6.7742	7.2366	6.2342	7.0746	6.9359	6.3556
EA_G__CHMP4C	6.9565	7.0253	7.3947	7.5918	7.4754	4.8844	7.1787	7.8679	6.6028	4.4485	10.317	7.7176	6.0677	6.7877	7.5568	7.223	7.8252	7.8167	7.6065	7.0129	7.5536	4.1153	7.291	7.4487	4.752	7.1539	6.6016	6.743	7.0289	7.3943	6.9426	4.4597	7.4901	5.7615	7.3185	7.1496	7.4523	7.0903	7.0563	6.9539	7.0406
EA_G__NRG1	5.5213	5.8063	5.5273	5.5086	5.5075	9.3613	5.4881	5.8931	5.5782	5.8635	5.3613	5.8129	5.5653	8.4982	7.2946	5.5829	5.5363	5.6927	6.4332	7.1422	5.7786	8.0543	5.844	5.69	5.7692	7.2949	7.4453	5.3365	6.091	6.1522	5.9324	7.7485	6.1338	8.335	5.5868	5.9021	5.725	5.6826	5.5522	6.1684	5.7501
