Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
EA_G__CRISPLD2	4.9521	6.5086	6.0046	6.4789	6.4204	8.341	5.3443	5.3199	9.5989	6.4407	5.1924	5.9152	5.1351	5.9629	7.4849	5.9673	6.7264	6.3755	6.8858	7.9022	6.0834	7.0641	6.0387	6.0562	4.6744	6.4748	5.8013	5.4103	7.1873	4.8537	5.9612	6.0439	4.6397	5.7479	7.8721	6.6619	5.5499	6.5141	6.0975	5.8106	5.9287	5.1146
EA_G__SORT1	9.4669	9.8967	10.4119	8.7473	9.069	7.5501	9.7957	8.2508	7.5522	4.828	9.5383	9.311	6.7072	7.7287	10.084	8.6149	9.4198	9.2942	9.5593	7.1328	10.3974	7.1177	9.1408	9.4553	8.771	7.8878	8.4019	8.9861	9.395	9.9761	8.725	9.8258	7.525	7.3455	9.5294	9.9711	8.8826	9.2495	8.5976	7.9374	8.9389	7.3255
EA_G__RHPN2	8.4062	9.8289	9.1307	9.8958	9.5112	8.422	8.8264	10.3046	7.5243	8.441	10.9511	8.1916	8.3838	8.3638	9.1064	9.351	9.0013	10.317	9.6608	8.5513	10.0162	8.2615	8.511	9.6042	9.1654	8.774	9.3723	8.6248	9.6419	8.5652	8.4596	9.8901	7.3359	7.1282	7.9715	8.9964	7.3494	8.0286	8.5079	8.7618	9.2118	9.6543
EA_G__MID1	7.3575	7.8671	7.6225	6.5319	4.0253	9.2256	4.8036	5.4959	6.325	7.5814	4.2086	3.5424	6.8833	6.9614	7.3835	8.122	3.8564	9.1473	8.728	6.919	7.6831	6.2463	5.1206	4.2893	4.6719	9.4667	4.9579	6.9923	5.9284	5.9819	4.6915	7.7104	7.4575	6.4535	6.77	5.7152	6.2357	6.9547	5.4707	5.6867	6.5744	6.1604
EA_G__CHMP4C	6.9565	7.0253	7.3947	7.5918	7.4754	4.8844	7.1787	7.8679	6.6028	4.4485	10.317	7.7176	6.0677	6.7877	7.5568	7.223	7.8252	7.8167	7.6065	7.0129	7.5536	4.1153	7.291	7.4487	7.2768	4.752	7.1539	6.6016	6.743	7.0289	7.3943	6.9426	4.4597	7.4901	5.7615	7.3185	7.1496	7.4523	7.0903	7.0563	6.9539	7.0406
EA_G__ADD2	5.5151	5.7627	6.2715	5.5351	5.3535	5.5599	5.3892	7.3116	8.1238	7.7376	5.2749	6.6198	6.8201	6.7041	7.7484	5.5663	5.4313	5.514	7.5593	6.615	5.87	5.3961	5.8426	5.7224	5.3596	5.4215	5.824	7.2226	6.1584	5.385	6.318	5.8218	6.0723	7.1771	6.4609	5.5033	5.8193	5.5984	5.4563	5.3741	5.8633	5.6671
EA_G__KRT4	9.7219	10.5022	8.4322	5.6982	7.0224	4.8566	5.1172	5.7409	5.386	5.2757	7.0767	6.0104	5.2304	8.9052	9.3809	7.0895	7.6973	11.8887	5.8807	5.2835	10.6574	5.3413	5.9723	5.2885	5.2528	4.9354	6.8817	5.3237	5.0901	7.7435	6.0481	10.6123	5.1709	5.6639	5.5898	7.6778	7.4726	6.6242	7.5048	5.938	9.0937	5.2551
EA_G__TP53INP1	7.1211	4.0339	4.7723	8.5398	8.086	6.3946	6.9129	4.1921	4.5465	4.4168	10.0237	8.8782	6.0874	4.385	6.9501	5.9169	8.0398	6.8808	4.0731	6.0588	6.1896	5.8195	7.2924	7.6158	7.3659	6.6539	7.4096	4.5579	8.3123	7.0256	6.518	4.5237	3.7159	4.1588	3.8629	7.5959	5.8419	6.9661	7.8789	6.8327	7.7196	6.9651
EA_G__IL1R1	5.2433	6.2627	5.8067	6.4215	5.9244	6.9492	7.1119	4.9937	5.9677	7.8353	3.6556	3.6594	6.2725	4.2437	4.4349	5.2934	6.9309	8.6186	5.4512	6.8552	6.9971	6.0492	5.4991	5.0264	7.5645	6.6671	6.0735	4.3427	7.0316	7.5953	9.5627	5.5494	6.534	5.8414	5.9406	5.4326	5.9686	5.867	5.7212	6.7576	8.4675	4.3297
EA_G__TMEM62	7.949	8.9841	7.4582	8.7357	7.7995	6.6914	8.7591	6.6112	6.9449	5.0083	9.6191	7.04	6.0806	7.8635	6.9773	6.5984	7.8723	6.7557	7.3482	5.8364	7.4666	6.7297	6.3817	6.9338	7.9144	6.3979	7.9144	7.0368	8.9357	9.5611	8.2279	7.9178	5.5354	6.7559	7.2789	7.9863	7.5937	7.7068	7.1573	9.6225	8.7914	8.3443
EA_G__QRSL1	6.3255	7.0663	7.6998	6.9896	6.1002	6.4847	6.3128	6.6381	6.2711	7.2239	6.8255	6.306	7.0707	6.524	7.5577	6.823	6.2163	9.8119	7.6005	7.1792	6.4446	6.5324	6.662	6.5085	6.853	6.2605	6.4021	6.7167	7.0861	7.0512	6.4203	6.9416	6.716	6.6661	7.024	6.3049	6.576	6.5077	6.335	6.7189	6.5217	6.5624
EA_G__CTSL2	6.1246	5.9536	8.0184	5.8398	5.2216	6.811	5.9491	10.0876	4.8773	5.6422	7.1654	5.6257	7.5143	7.0538	6.9869	6.7205	6.2016	6.0463	7.5611	6.6177	6.8	4.0131	6.0759	6.7314	6.0738	6.6949	6.3154	4.8796	5.8041	6.2364	5.2613	6.3094	5.2328	5.8592	4.7117	6.6303	5.9621	6.8069	6.0663	5.9108	5.7413	6.684
EA_G__B3GNT5	3.7793	3.4685	6.5159	6.1603	3.4095	7.3741	3.4778	6.7891	7.2792	5.5026	2.7919	4.23	7.8987	8.0016	8.0347	8.5495	3.517	6.1118	8.2947	6.0722	8.3827	5.2203	4.1337	3.8927	3.425	6.7749	3.9863	6.2757	6.2889	3.2818	5.3898	3.9481	3.9823	7.6143	8.2305	3.8217	4.389	4.0838	4.0239	3.3395	3.7285	3.122
