Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__SIDT2	5.8856	8.986	6.2933	7.3246	8.4842	6.6145	6.7782	5.5119	5.727	7.0085	7.2121	6.4307	6.7302	6.8686	5.6188	6.7115	8.9948	6.3065	6.9148	6.7901	5.7854	7.1027	6.6763	7.3668	6.4539	7.618	6.7863	7.0954	7.2985	7.8062	5.4073	6.5306	8.0395	7.2792	6.6182	7.7683	7.4488	7.262
U133A__TNFSF10	7.4048	4.6934	4.1345	5.0365	6.1542	4.0584	3.8828	4.1277	6.6466	7.8221	4.4769	3.9907	5.5926	8.5859	4.1981	3.8579	7.3273	7.1749	4.0838	9.3001	4.0692	4.215	4.7545	5.926	4.1125	6.5527	7.1184	5.5367	4.2591	3.9032	3.8381	4.2542	7.4595	8.7164	7.4724	4.6913	4.5162	3.8928
U133A__COL4A2	6.4635	5.4771	6.2726	4.9197	4.4398	9.5328	4.7309	7.1	6.7139	4.8079	4.9894	7.5194	8.2333	5.6191	5.1904	5.6325	5.0157	9.3085	8.3007	4.2182	8.3461	4.7889	4.7039	9.7331	5.9915	4.8098	5.2981	4.7465	5.4106	6.024	9.0196	4.8637	4.61	4.6647	4.8703	4.9757	5.105	4.6821
U133A__ALDH3B2	6.5658	8.7068	6.0898	9.5624	8.1606	5.2722	7.965	4.8835	6.0893	7.5457	8.0414	6.9725	4.847	7.2269	5.3528	8.9681	10.1542	6.3245	4.9788	4.7615	5.3712	6.066	6.2633	5.4095	4.5362	10.3719	7.7701	8.9937	7.1355	4.5919	5.4648	4.9338	7.1044	9.7612	8.5803	7.4248	9.0773	8.4681
U133A__HIST1H2BK	7.8626	9.2518	9.6636	9.211	10.265	7.7061	10.2513	7.472	7.6802	8.4455	9.6962	8.8744	9.1657	10.3357	8.5626	10.2075	11.4476	8.3287	10.8107	9.2549	7.4624	9.4798	10.0636	9.2992	8.3553	10.3908	10.9972	9.5832	8.6993	9.5496	8.6964	7.2105	9.793	10.1358	9.1875	10.0889	9.1856	8.8304
U133A__TP53I3	6.4026	6.6763	8.2514	6.3293	5.9343	7.1322	6.819	8.4069	7.1618	6.3678	6.5144	7.206	6.7321	7.3316	7.6571	8.1537	5.8259	8.1345	6.9746	6.8374	7.2446	6.7114	7.2028	7.0884	7.7591	7.3	6.3167	7.4749	6.4755	7.6138	7.5304	7.6483	5.9188	5.8959	6.2309	11.9441	6.4171	6.7233
U133A__MEGF9	6.1887	5.2454	5.728	7.1921	7.8359	5.352	6.5592	4.9552	5.4416	7.4246	8.1128	5.4149	5.8697	5.8965	5.6407	5.6619	5.7681	5.6285	6.0475	6.4887	5.5942	7.7911	6.5321	5.0869	5.5495	9.258	7.1866	6.6597	5.7238	5.1876	5.0277	5.331	6.8868	6.9558	6.8659	6.6887	6.1345	6.9286
U133A__TOP2A	8.3218	7.635	7.5818	6.7714	7.6466	7.4354	8.2835	9.1849	7.4427	7.6015	6.105	7.0173	6.9158	7.6242	7.2079	5.574	7.0333	7.8213	8.1878	6.9581	8.3969	7.9242	6.9241	8.2413	9.352	6.7271	7.4424	6.3468	9.4954	7.4665	7.6737	8.2323	5.1247	5.1761	6.7477	8.6761	8.563	6.896
U133A__CYR61	7.9058	8.1337	8.7486	7.2872	6.0591	9.9464	5.4504	9.8365	7.7791	4.4815	7.6012	8.4784	6.7943	8.0849	8.6439	6.0084	7.6799	9.575	10.4785	5.9019	10.6077	5.8235	5.4758	7.6585	11.0284	6.8624	7.1407	6.9966	8.7828	10.4135	8.5484	9.6697	6.1964	9.4093	7.826	8.5165	5.8984	5.861
U133A__PBK	7.0274	6.7703	6.752	7.0826	6.4642	9.2891	7.091	6.7108	6.6403	8.3205	5.9385	7.6548	7.2653	6.4	7.1569	4.3151	7.7515	6.5833	7.6571	6.0256	8.8112	7.1445	6.782	7.4454	8.4175	6.0122	7.1833	6.8715	7.02	7.6933	7.9153	8.7212	5.2544	5.0102	4.2319	7.3545	7.7813	8.9375
