Cell lines	600MPE	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__C9orf152	8.4683	9.015	6.242	3.3253	7.5362	3.2593	3.8201	9.6854	6.8934	3.2606	2.5096	4.7044	7.8747	4.4017	2.9521	5.0464	4.5846	5.7573	3.1833	2.9212	9.606	7.4371	6.4351	7.1601	2.7658	3.7666	3.421	8.6164	7.4871	7.795	7.8891	6.4831	9.313
EA_G__NUPR1	7.623	8.3409	5.8831	7.217	8.2699	6.308	7.7097	7.5236	6.4053	6.3374	5.9057	6.0186	7.4957	6.1895	7.3003	8.2083	7.4375	6.152	5.9458	5.727	7.9059	8.8506	8.5515	6.9661	8.2408	6.7378	5.8168	5.8454	9.4081	7.3405	8.6668	7.5702	8.0146
EA_G__COL12A1	4.6512	7.5054	7.2706	9.5912	6.8994	8.4506	9.4902	3.7319	10.8521	7.3306	7.4648	7.8614	6.0534	9.3643	8.8684	5.9149	4.3399	6.1103	9.7965	7.2716	7.0115	7.6175	4.9131	7.7231	8.3604	9.9361	9.2268	4.7385	4.5104	4.3148	7.4077	6.3126	6.7457
EA_G__C1orf64	8.0389	8.5042	7.2135	5.7056	6.4148	5.3251	5.7955	9.3609	5.9959	5.5774	5.6345	5.7833	6.0412	5.5348	5.7137	5.9871	6.0348	5.929	5.6187	5.7254	8.2425	8.7956	6.6608	7.869	5.917	6.0097	5.9263	8.388	6.8583	7.5468	7.081	7.8354	8.5419
EA_G__C11orf82	5.4609	5.8662	6.1257	6.612	5.9729	7.3918	6.557	5.736	6.3239	6.8492	8.7831	6.1601	5.4224	6.7061	7.6886	5.452	6.4962	6.308	6.4071	6.9059	5.714	5.3618	5.9928	5.8672	5.7982	5.7614	7.2557	5.8854	5.4156	5.9697	6.6975	6.4483	5.2868
EA_G__AR	6.9661	8.3549	6.7735	7.5162	9.0105	5.0413	5.2557	8.4454	7.9054	5.3141	5.6306	5.044	7.6659	5.4751	5.0709	5.6657	7.3953	8.2357	6.0964	5.2134	8.7813	9.1804	9.5757	6.2873	7.595	5.6012	6.2466	9.2337	6.7197	5.6023	7.7766	6.883	9.3152
EA_G__MSN	6.7845	4.0134	4.419	10.3783	4.1022	11.3117	10.364	4.1309	7.0685	10.7693	10.103	9.5137	4.4627	9.6207	10.8946	10.6461	4.1429	4.7797	10.1759	10.8438	3.9279	8.4521	5.0086	4.469	10.7101	10.614	10.7822	3.9763	6.4413	4.674	4.3941	4.086	5.8385
EA_G__UNC13B	5.793	9.2627	6.7893	6.8557	7.5027	6.1135	4.7743	8.1912	6.3839	5.7764	5.9227	5.9355	10.2206	6.573	5.9399	4.9792	6.4183	7.4598	5.3058	6.3107	6.8314	6.8136	7.1209	6.1782	7.1852	5.2062	6.6155	6.2335	6.8873	6.5187	6.9894	6.8792	6.4913
EA_G__CREB3L4	8.1311	8.8266	8.2267	5.1526	8.4914	5.7882	6.0428	8.1729	6.4823	6.4278	5.55	5.5635	7.1548	5.7115	5.4265	6.6527	6.6146	7.3017	5.3083	5.5882	7.768	7.4532	8.0278	7.7082	5.6583	5.9138	5.4051	7.0025	7.9691	7.4838	8.0176	7.745	8.8611
EA_G__SLC2A10	9.6698	10.7486	9.8002	6.8356	10.1507	6.4242	6.8335	11.2291	7.9253	8.8672	6.5273	6.8478	10.3875	5.8592	8.0537	7.7648	8.3111	8.0817	8.4211	6.001	10.875	10.7141	9.5163	8.1679	8.2501	6.9448	5.9196	11.5189	10.4028	9.9163	7.1665	9.4465	10.4236
EA_G__BAG2	3.8525	3.8546	3.7077	7.7073	3.4446	6.687	6.3219	6.2911	4.5582	8.1386	7.9545	7.1173	4.381	6.3286	7.4399	6.2299	5.0232	5.4682	7.5584	8.1211	5.4731	4.2242	4.7056	4.5241	8.2828	6.9224	8.5168	5.2833	6.1298	3.6269	5.8246	5.7192	3.7646
EA_G__SLC4A8	6.1742	5.3497	7.4196	5.5149	7.0729	4.7902	4.9181	7.7206	6.37	4.0643	4.2266	4.0046	6.0253	4.535	5.4474	4.6531	6.505	6.7182	5.5374	3.9907	5.7194	7.9154	6.8865	5.8841	5.7113	4.5121	4.2936	7.778	6.5599	8.222	6.0153	9.3627	6.9785
EA_G__SIDT1	5.7225	8.8752	8.5645	4.6729	8.5319	4.3608	4.3873	8.7279	8.8931	4.4944	4.8537	4.7245	7.114	4.5267	4.2934	6.0595	8.2739	8.5397	4.4179	4.9182	8.5383	9.0785	8.1899	7.1021	4.6199	4.8109	4.4668	7.8236	7.9261	7.9518	8.588	7.5637	7.6898
