Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__HMOX1	5.9805	6.3462	7.4205	6.2042	9.3758	6.8273	6.6101	6.269	6.5746	7.1662	6.0146	6.2742	5.9549	6.7426	7.6179	6.5557	6.0875	7.9038	5.9175	5.8619	6.4551	6.459	6.0077	6.365	6.3473	6.6004	6.3751	6.243	9.709	5.7164	8.5448	6.6615	5.9153	5.9068	5.6787	6.4186	6.8615
U133A__MSN	3.841	4.5404	7.0857	3.5172	8.5121	3.3393	9.342	8.9229	4.7864	8.964	8.5521	7.2232	8.4309	3.4629	7.7602	8.5216	9.8294	8.6483	3.9182	3.857	4.7157	8.0642	3.6968	8.6962	3.3597	4.1423	3.5368	3.4264	8.8511	9.046	8.7758	5.7481	3.4357	3.3212	3.8634	3.5565	6.796
U133A__FASN	10.7788	11.1828	8.2497	11.2606	9.1052	8.5659	7.7698	10.3198	11.0689	8.5587	9.2366	8.003	8.7145	9.0543	8.8339	8.8259	9.3731	8.0922	10.2977	10.5056	8.8362	9.0354	11.1126	9.0868	10.2173	9.2182	10.1033	11.7652	8.8803	9.9972	8.5825	10.3351	9.0381	9.5315	10.6165	10.1347	11.2674
U133A__TOM1L1	7.9076	5.7186	6.2969	9.4773	5.1145	6.9637	6.7397	4.7466	7.9732	5.146	5.9551	5.8162	5.9377	6.3062	6.4622	6.6798	6.1347	4.2894	7.0622	7.4272	7.1205	5.3791	7.2296	5.9639	8.1008	6.8372	7.168	5.5921	6.9032	5.8708	6.031	7.0091	6.756	7.2706	7.6229	8.6175	7.7091
U133A__CDKN1A	8.2831	7.2923	7.3268	7.7668	6.794	7.442	8.4726	7.4215	6.9593	8.0665	7.8881	9.2323	8.3044	6.6142	10.089	7.0906	7.2666	8.4832	8.0984	8.6455	9.5528	7.835	8.8575	6.9282	9.465	7.5943	7.1964	7.4332	7.7385	9.0587	7.7207	8.4722	6.635	8.1709	8.8133	8.4019	9.8192
U133A__SPDEF	10.4241	9.495	6.094	10.1198	5.8444	10.4996	6.2908	5.8013	9.2013	6.2848	5.3899	6.8656	7.0677	9.5734	6.6571	5.9869	5.2999	6.5909	10.0367	8.9085	8.9427	5.5694	9.9494	6.027	10.078	9.6299	10.1262	9.8712	6.631	6.472	6.5064	9.9098	9.9188	9.3052	9.6714	10.8242	10.1563
U133A__TPBG	8.362	9.3082	9.5497	10.0326	9.0389	8.1457	8.6684	8.0417	9.4877	7.0253	9.8269	9.1174	9.7268	8.3264	9.6879	7.878	9.2793	10.0826	8.4052	10.3529	11.3764	9.4309	9.3753	8.789	11.2864	9.3918	8.2486	8.6674	6.8472	9.796	9.0604	9.5087	7.8683	10.1331	10.3387	9.525	9.7759
U133A__FOXA1	9.1328	7.7572	6.523	9.0263	4.7595	8.7472	5.2283	5.7444	8.14	5.0961	5.822	6.5694	7.5076	8.8813	6.9658	5.4233	5.6401	5.6268	8.3942	8.6803	9.0814	4.7116	8.5308	5.3926	8.8057	8.3218	9.2428	7.9736	5.241	5.689	5.6432	9.3117	8.6746	8.6077	7.9866	8.9553	8.3695
U133A__IGFBP2	8.9994	6.5614	8.0793	8.4756	4.1337	8.2319	6.9756	5.0969	11.3152	6.6399	5.5755	7.4344	6.2061	6.7846	6.7353	5.7058	4.1339	5.3651	7.4161	8.4871	9.2672	6.523	6.9218	5.18	9.4817	8.7196	9.2216	5.7955	5.3561	5.6784	5.7516	8.1112	7.7527	9.675	9.8774	7.0239	9.9643
U133A__ODC1	7.2658	9.8365	9.3139	8.4784	9.6858	8.5726	8.7274	9.1805	7.4758	9.8632	10.1008	8.6725	9.8299	11.1687	9.0012	8.1336	8.249	10.7288	10.2742	8.7641	8.0235	8.4529	6.0289	10.6684	8.4585	8.5167	8.8369	8.9235	9.6933	9.8585	11.6096	8.5777	10.6549	8.7207	7.7962	6.2178	8.5418
