Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__STAT1	8.3332	8.2062	9.4573	7.9819	9.5	8.6689	7.7621	7.9236	8.7763	9.4363	8.4277	8.4834	8.6816	8.8696	9.6781	9.7542	8.2691	7.5906	8.6434	8.7964	9.9498	8.9713	8.5068	8.6322	9.6129	8.4346	7.5953	8.6625	8.6943	8.8024	7.7337	8.0046	8.6331	9.1423	8.0728	7.9409	10.6138	8.1214	8.4573	7.8493	7.8277	7.7247
EA_G__HSPA2	9.1865	6.5143	6.6961	6.0734	6.6109	6.9019	6.5664	8.1328	7.0044	7.8112	7.127	6.2578	5.3727	7.315	7.8875	6.9199	6.4991	7.3139	7.1002	8.5382	8.6414	6.6641	7.2836	7.5073	7.8789	8.4979	9.6421	7.0652	5.4425	10.4966	6.9279	6.8192	8.408	8.1889	6.0688	7.0414	6.607	8.657	6.8424	7.5967	6.5403	6.8197
EA_G__ERMP1	9.1233	9.4537	9.421	7.7073	9.4053	7.401	9.5278	6.7848	9.633	7.2208	9.9716	8.4253	7.4714	6.4361	8.3757	10.7532	9.7341	8.2505	8.196	8.1311	9.9705	6.7102	8.8285	8.7303	9.5828	4.9347	9.7925	6.0482	8.8685	10.2583	8.723	9.3062	5.3658	8.9447	7.3782	9.6522	8.6249	10.0875	9.0246	8.9602	9.9493	9.1495
EA_G__IRX2	8.5173	8.2061	8.6352	8.3716	7.4054	6.7802	7.908	8.4604	6.8686	7.5914	7.2388	7.1883	7.1409	7.8829	8.184	8.9985	7.9189	8.6733	7.9823	7.2981	7.3122	6.8466	7.5982	7.7185	7.0101	7.6978	8.208	6.4527	7.7101	6.678	7.7619	8.356	6.9569	7.7958	10.7715	8.7892	7.7253	8.5168	7.6102	7.6332	7.5843	7.5097
EA_G__PLK2	7.5236	7.8727	8.5494	8.8925	8.5242	10.5128	8.5205	8.6085	7.4595	7.9545	10.1316	8.5336	7.8623	8.9048	9.9297	9.543	8.0052	9.8103	8.7463	8.8406	9.5894	8.67	9.0988	10.4749	9.3449	9.7563	9.7828	8.3677	8.7253	10.3724	9.3284	6.7134	7.406	8.4268	8.0216	9.6279	7.9646	8.9164	9.9098	7.2602	7.4777	7.7337
EA_G__CTSL2	6.1246	5.9536	8.0184	5.8398	5.2216	6.811	5.9491	10.0876	4.8773	5.6422	7.1654	5.6257	7.5143	7.0538	6.9869	6.7205	6.2016	6.0463	7.5611	6.6177	6.8	4.0131	6.0759	6.7314	6.0738	6.6949	6.3154	4.8796	5.8041	6.2364	5.2613	6.3094	5.2328	5.8592	4.7117	6.6303	6.5552	5.9621	6.8069	6.0663	5.9108	6.684
EA_G__TMC4	8.64	6.5461	7.9944	6.2488	8.4629	6.0186	7.9932	7.4768	6.8929	6.0736	8.9858	7.8696	7.7434	7.1081	7.1204	7.0207	9.016	8.0437	7.3004	6.301	9.6454	6.3986	8.2183	9.2347	8.4141	6.5111	9.0318	6.0146	8.9193	9.6407	8.511	6.7853	6.3755	8.8233	6.0398	8.8164	8.6888	8.9131	8.8138	7.8806	8.7088	8.9853
EA_G__LDHB	5.2705	9.9549	3.3443	6.5869	5.9575	10.2955	3.0453	10.7181	11.0786	9.4898	2.9818	6.978	11.0733	10.9666	10.7587	2.5138	3.7516	10.4313	10.2146	10.8921	8.2479	10.3377	3.5445	3.0401	2.8244	10.252	10.0613	11.1245	9.6888	9.633	3.417	9.8014	10.5553	11.0504	10.9831	2.989	5.1717	10.1744	5.3941	7.9447	2.9497	2.7444
EA_G__ITPR1	5.5693	6.5539	5.3896	5.9702	6.7208	6.4133	7.1312	5.1424	5.974	6.9446	6.8848	6.3318	5.5224	4.9485	5.1459	5.3102	7.3683	5.4647	5.254	6.0742	6.9066	5.4432	5.9592	6.3776	6.8182	4.6712	7.0966	5.8567	4.8467	6.4784	8.3669	5.9042	8.3759	6.7977	6.3473	7.6329	5.5424	6.006	6.2861	6.7557	6.3068	6.0991
EA_G__PKP1	5.6235	5.7763	5.5567	7.2635	6.6773	5.4637	5.749	8.9405	9.8738	5.4574	5.0002	5.3237	8.0497	8.7844	8.0152	5.592	5.55	6.6472	5.8122	5.4681	8.3296	5.5656	7.5042	6.6818	5.6587	5.3823	6.8786	5.5327	6.7282	9.739	6.2998	7.3218	5.736	8.5603	5.7642	8.6745	7.018	6.034	5.5518	6.0784	5.8628	5.5867
EA_G__KCNS3	7.8232	7.3982	8.0016	6.6148	6.2972	5.3846	7.0761	7.0195	6.4153	5.0912	8.208	5.9488	4.9442	5.1645	7.7079	8.2604	6.7285	7.0898	5.6055	5.807	7.5989	6.53	5.285	6.4881	6.8143	4.9836	7.24	6.1298	7.387	7.7146	6.9706	6.5381	5.0119	6.6703	7.0494	7.602	7.3123	7.4014	5.9702	8.4243	7.2799	7.6228
EA_G__NBN	6.927	10.6107	7.7047	8.3739	8.7335	8.598	8.4713	8.6226	7.8841	7.8982	9.7121	9.4755	8.4501	8.1037	8.5414	8.1108	7.9096	7.927	8.479	9.2428	8.2257	8.9131	8.5545	8.6068	7.6761	8.3968	7.9192	8.1941	7.8227	7.3612	7.4922	9.8005	8.0604	7.5148	7.95	6.898	8.3702	6.8325	7.9395	8.1857	7.6593	7.5476
EA_G__AKR1C3	8.0916	5.8327	8.5037	3.7726	4.7068	5.4481	3.7124	7.3325	6.3418	10.6601	6.7336	3.9747	3.603	9.7453	7.0165	8.7086	3.8587	4.4783	8.7665	8.2096	9.9154	5.3562	4.0953	5.5774	4.9131	6.6928	6.7088	5.1815	4.8762	10.6157	4.4237	4.1457	4.9186	6.397	8.0434	8.6478	10.3838	6.251	4.6757	3.9799	4.0118	4.8184
EA_G__GPRC5A	9.7382	8.5157	10.9641	7.8683	10.2576	6.5881	7.4147	10.5988	3.9568	4.0523	9.5364	6.6379	4.1691	9.6144	8.5217	9.9066	8.2777	9.4808	9.1669	5.511	9.4651	6.9534	7.7937	8.7995	9.3792	4.7917	9.3106	8.997	7.8573	8.3939	6.3857	8.2795	7.1666	10.0606	8.3269	10.4718	7.684	9.3379	7.6569	9.0749	5.9489	7.8913
EA_G__LANCL2	6.4515	8.2777	9.3537	8.6101	6.9215	6.7993	6.4505	7.8774	7.7977	7.0384	7.6701	7.23	7.0278	6.9541	7.5225	7.6978	6.2475	7.0858	7.9592	7.4576	6.716	8.0509	6.6348	6.9244	7.034	7.9014	6.9053	8.0005	7.545	6.6467	6.6188	8.265	6.9139	6.7932	7.3607	7.1243	7.3493	5.964	7.3271	7.0575	6.9767	7.0689
EA_G__IRF9	6.9987	5.7972	6.5448	6.4872	9.006	7.0059	5.6445	7.1758	7.357	7.505	6.2185	6.9788	7.1472	5.6094	7.7845	7.583	7.7266	7.061	6.5593	6.0724	9.0531	6.4571	7.1904	6.8928	8.3532	6.572	6.9745	6.2395	7.5352	8.6384	6.0192	6.1231	6.3522	7.2759	5.5514	5.9676	9.5704	5.5177	6.4678	5.6357	5.2085	5.0718
EA_G__MAP4K4	6.8339	4.283	7.8822	6.9846	6.6211	7.6195	6.5829	6.9551	7.9128	9.6361	4.6415	6.9167	7.5113	7.577	8.575	7.535	4.2391	5.8437	7.5774	7.9209	6.8842	8.4149	6.9634	6.292	7.0002	8.0307	6.2858	7.2345	6.2708	6.4071	4.8013	4.4212	9.5851	6.9638	7.773	6.0739	7.3778	6.2682	6.226	6.4416	6.0425	6.3334
EA_G__ANKRD30A	8.6028	2.8704	2.5572	7.2234	8.3499	2.8885	9.2244	2.8332	2.7669	3.2657	8.5776	2.7758	2.8399	3.523	2.6245	2.863	7.4943	2.9944	2.7739	3.1471	2.8759	3.2328	3.0641	3.3301	8.6986	2.9268	4.6548	2.872	4.3146	8.9193	7.5461	2.9411	2.8403	2.8056	3.1303	8.7095	2.7598	7.4575	3.7411	6.6087	3.9268	3.1336
EA_G__ID3	8.6637	8.7567	8.2871	5.7685	7.4438	9.4338	9.0323	7.5827	7.4201	8.5902	9.1811	7.0131	6.3124	9.0101	9.1004	7.5789	9.1814	8.559	8.2351	10.2381	8.8913	8.7089	7.9608	8.4088	8.5196	8.292	8.8033	8.4871	8.0057	10.8247	8.3927	9.5854	6.7457	10.0836	9.5694	7.3623	8.5996	8.1312	7.3736	7.889	7.0466	8.4828
