Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__DERL1	5.475	8.3416	5.0389	5.9092	6.4988	6.0889	5.9957	5.5655	5.7088	5.9916	7.7607	5.6934	6.8211	6.503	7.2959	5.6843	8.4643	6.2926	5.7426	6.9287	6.1283	6.2364	6.6886	6.4555	5.8625	5.6717	5.9146	5.5712	5.5019	8.4292	6.1425	5.7119	5.7651	6.4365	6.9492	7.6148	6.2023	5.956	6.161
U133A__CLDN4	7.8095	7.8886	6.8892	7.4307	8.0102	4.3947	6.203	4.3468	7.5458	8.2974	7.4553	7.4055	6.5293	7.7536	7.9433	8.4582	7.7545	7.8168	6.8585	7.604	4.6864	6.9713	6.7166	4.3184	9.4105	4.2514	7.1352	7.4668	6.7302	8.1243	4.5668	6.7523	3.8645	9.26	8.5318	6.2457	8.066	7.5057	6.617
U133A__C17orf81	6.0932	6.0039	6.683	6.305	6.9719	9.3034	6.3511	8.2392	6.528	6.1772	6.1791	7.2188	7.2754	8.6325	7.7116	8.0863	6.1739	6.8238	7.0527	6.0851	6.985	7.5321	6.0424	7.7869	6.1349	7.3204	7.7804	7.7558	5.8973	5.7549	7.1647	6.3775	6.465	7.2237	6.0695	6.835	6.6208	5.8677	5.7307
U133A__RAB31	6.2413	8.0673	8.3752	5.1431	7.7963	8.3412	5.7159	8.009	8.1732	6.3882	5.2803	6.3372	7.6547	6.0256	7.7825	6.0134	5.7421	7.6507	9.5565	6.5396	8.4846	8.1669	5.4419	9.649	4.7638	8.3981	8.3539	8.6618	5.3344	8.156	9.8536	8.2197	8.2362	5.2265	6.1315	5.4669	6.4993	5.4727	8.7646
U133A__TXNIP	9.0198	6.3159	6.4357	8.3832	9.4834	6.3813	7.8916	8.9429	9.8559	5.7644	9.3606	6.8518	6.1465	7.4178	7.8682	9.5912	9.4289	7.6529	6.0667	7.4504	5.6214	7.9565	7.329	6.5723	9.169	6.4066	8.9171	8.1792	7.3859	6.7269	5.781	8.2045	7.9514	10.3303	8.9095	10.2571	7.8199	10.4484	6.8079
U133A__TRIL	6.45	7.691	4.9883	5.7803	8.2706	4.3206	6.0987	4.2621	4.8923	6.7164	6.9271	4.5574	4.0993	4.5377	4.618	7.1587	7.1386	4.4006	4.3815	5.8478	4.3545	5.0011	7.308	4.4089	5.3409	4.5657	5.6758	4.9838	5.7791	7.6403	4.4034	4.3459	4.6801	7.0693	7.903	5.9149	7.3008	6.3898	4.6888
U133A__SATB1	7.5811	6.46	6.2436	7.915	5.7225	7.0344	6.4978	5.1319	6.1	5.8269	7.1574	6.5031	6.3052	5.7998	5.4998	7.6563	7.4283	5.3983	7.152	5.1854	6.1773	5.9801	5.4887	5.4686	5.7554	6.2095	6.7748	7.3489	6.0288	6.1325	5.3575	5.6958	5.9003	6.7011	5.4317	5.4964	10.497	5.5049	5.2759
U133A__LASP1	9.5381	8.8228	9.664	11.8925	9.0713	9.1628	9.3673	9.334	8.5106	8.657	8.8387	8.7288	9.609	9.423	9.7487	10.5579	9.9354	8.9098	9.4553	9.1961	8.8766	9.3005	9.6931	9.5261	8.2583	9.5882	11.114	9.393	9.1818	8.5311	7.9899	9.1735	9.2861	8.7128	8.7215	7.7283	9.741	8.6075	9.0406
U133A__PFDN4	6.2736	8.0407	8.5755	9.9712	7.5744	7.8459	6.6001	7.1942	7.3549	5.76	8.5312	7.8556	8.1576	7.8759	7.2268	4.7922	6.9091	7.9864	8.1208	7.2717	7.9155	10.3283	7.1502	8.4414	7.3345	8.3553	7.0275	6.9578	6.7379	8.3906	6.4956	8.1635	7.6051	6.7373	7.2441	6.3582	7.2095	6.8423	7.7724
U133A__CLNS1A	9.4608	8.6558	8.2594	6.9005	8.581	8.8302	6.9955	8.0207	7.7269	8.5912	8.5311	9.0546	9.5556	8.4244	8.5211	7.4982	8.0984	9.0511	8.2463	8.0085	8.011	8.7794	11.0338	8.2217	9.6021	8.4882	7.6112	7.6521	8.5151	8.1378	8.3304	9.2318	9.4287	8.085	8.3387	10.4912	8.8496	7.8664	8.2449
