Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__STC2	5.7835	5.2543	6.8332	9.0626	8.0552	6.6726	6.0133	5.5681	5.9542	7.4131	6.0528	6.4054	6.3303	6.3772	6.0836	5.2081	5.032	5.3824	6.2904	9.6068	6.611	7.9495	6.8579	5.4272	5.389	5.6758	5.3656	6.0906	5.4505	6.7059	5.1138	6.5744	6.8228	6.9057	8.8888	6.2151	9.9282	7.9189	5.6601	5.5722
U133A__CCND1	9.1764	8.4714	8.1237	9.1256	5.4377	8.8941	5.4406	10.0998	7.9929	9.1837	4.3292	8.6063	8.813	10.9904	7.1587	8.1578	6.4037	8.1008	9.0473	8.209	8.2177	9.1804	11.883	9.3043	8.8488	8.5351	10.1566	6.4148	6.4129	7.8056	7.9009	6.6177	8.3147	8.4694	8.7082	8.5885	7.1643	7.8528	8.5427	9.2077
U133A__RHOQ	5.7676	7.464	6.6728	6.7051	8.246	6.4015	6.3382	7.7497	6.7259	6.1135	8.1764	8.5219	6.1786	6.3748	6.9106	7.5691	6.9454	8.572	7.5504	7.8128	7.1904	7.2712	6.8144	6.7481	7.2082	8.0844	5.0555	8.6623	6.0637	7.0265	7.0925	9.122	7.1437	7.3307	6.9376	6.7023	6.4535	7.3277	6.2841	7.5618
U133A__ZNF544	6.9864	6.6867	6.9637	7.6542	7.1156	7.4338	6.0262	7.4326	7.681	7.4451	6.6237	9.6213	8.1072	6.7879	6.9704	7.0077	6.8549	7.3676	6.9216	7.1203	7.0009	6.9974	7.2612	6.4939	7.2039	7.0974	7.1081	6.825	6.2996	8.1382	6.724	7.0081	6.8126	6.8659	7.3366	6.3543	6.967	6.629	6.3383	6.9272
U133A__AMIGO2	5.8455	6.5327	5.0478	8.1995	8.6579	4.6776	5.9248	6.3495	4.6129	5.8787	3.9541	8.7387	4.9778	6.2682	4.6287	5.1466	5.4281	5.7522	5.0069	7.2447	4.8186	7.0588	6.0228	5.9365	8.2027	7.6933	4.0096	7.1669	6.5794	6.9238	5.5099	8.94	8.9749	7.9447	5.8444	4.696	5.1131	6.6145	7.8914	6.3577
U133A__SH3GLB2	6.5425	6.1316	7.5758	6.9276	5.7078	7.1346	5.6773	6.1178	5.6393	7.6168	5.069	5.9234	7.0037	5.1924	6.6129	6.4713	5.3567	5.5879	6.4594	5.1439	5.1173	7.4452	7.2121	7.0174	5.9868	6.6336	6.07	6.0047	6.1606	5.8607	5.7669	4.7977	6.3724	5.9489	9.1407	6.9105	7.6052	6.7678	5.9303	6.9862
U133A__S100A4	8.2788	9.1945	6.979	6.0435	6.8913	8.9847	6.762	11.7528	8.2919	5.0293	6.0555	6.2925	8.4597	5.8536	6.4269	9.2656	8.6688	6.4832	7.1612	8.8848	6.2022	5.6404	5.3011	11.2909	5.8488	8.4842	9.7073	7.711	6.064	9.9559	10.4085	11.1483	6.3436	10.0084	7.4983	8.0744	7.2883	8.4956	7.1827	5.8694
U133A__UBE2L6	7.0686	6.0578	6.009	9.2064	6.4877	7.7691	7.5001	6.5728	9.9793	8.4731	7.8909	9.2682	9.8403	7.5473	9.7988	5.2854	5.8958	8.4849	9.1647	7.392	6.342	6.1751	9.54	6.4095	6.0392	6.8248	7.4593	7.0879	6.5761	9.903	5.9433	6.3902	7.134	7.3836	7.5516	8.1028	7.7105	8.2647	5.9847	5.3484
U133A__TACC3	7.9931	7.225	7.6127	7.2142	7.6443	7.982	8.0035	7.6965	8.6478	7.214	7.2143	7.1982	7.173	8.3961	7.3963	7.6045	7.0091	7.3873	7.9097	7.7088	7.6992	7.9589	7.9334	6.8516	8.1394	7.527	7.3323	7.696	7.209	7.5217	6.9977	7.4363	8.1802	8.5846	11.6511	6.3867	7.9388	6.7576	7.2558	8.1604
U133A__IFI6	4.9866	6.1205	5.4451	10.1621	5.5759	5.5314	6.4811	7.4325	7.2127	6.6375	9.9393	6.0926	8.479	8.4356	8.9623	5.4425	5.726	6.5632	8.5826	6.9663	5.9167	7.0966	7.5224	6.7666	5.8968	6.2391	6.5746	6.6056	5.8892	9.3912	5.4492	6.297	5.3162	5.104	5.1714	5.6316	5.4146	6.5746	5.244	4.6725
U133A__LASP1	9.5381	8.8228	11.8925	9.0713	9.1628	9.3673	9.334	8.5106	8.657	8.8387	8.7288	9.609	9.423	9.7487	10.5579	9.9354	8.9098	9.4553	9.1961	8.8766	7.5227	9.3005	9.6931	8.2583	9.5882	11.114	9.393	8.1845	9.1818	9.0121	8.5311	7.9899	9.1735	9.2861	8.7128	7.7283	9.741	10.3033	8.6075	9.0406
U133A__PLK2	5.4424	6.9523	7.2092	5.1939	8.3725	6.0463	9.2903	7.0513	6.4452	6.2027	5.7464	8.2452	9.2273	6.818	7.1315	8.4373	6.6563	7.0758	8.5326	7.8286	6.7947	7.5027	6.8697	8.1218	6.1725	7.2951	8.1968	5.5758	8.4353	9.2612	5.3432	5.2835	6.169	5.4839	8.784	7.3299	8.5802	6.9561	6.1403	5.3885
U133A__SGCE	5.5324	7.5699	5.1425	6.8932	7.2662	4.8159	6.3382	6.9564	4.7718	6.2574	7.5661	6.3497	5.8754	6.2138	7.322	7.793	8.0293	8.1916	6.7123	7.8883	5.2118	4.4228	6.3419	6.6333	7.7257	5.9378	5.5746	7.7117	7.0881	7.3081	8.0773	7.8671	7.2408	7.1888	6.4691	6.0447	5.5657	7.5881	6.5415	5.5128
U133A__HMGCR	6.0331	6.4326	7.321	6.5609	7.8885	6.984	6.1376	5.8695	8.4586	7.2356	7.0394	7.1813	6.4928	6.9416	5.9492	6.5252	6.7469	6.5062	7.7537	6.9313	6.2219	7.1617	7.3516	6.6085	7.4748	7.067	7.7083	6.8621	7.7555	7.0617	6.2658	6.6407	6.9814	6.8028	7.84	6.1367	6.9266	8.4925	7.1185	8.0725
U133A__ADI1	7.576	8.4126	6.0904	7.5485	8.1381	7.1524	8.7872	7.9559	5.7867	7.111	7.2265	8.4107	8.9165	8.3018	6.6829	7.5084	6.2243	7.7446	7.2521	7.0495	8.7333	8.131	6.9574	5.8795	7.4451	8.669	7.2065	7.4689	8.8698	8.2637	7.9541	8.3028	6.8774	8.8092	7.8845	7.9971	6.6821	7.0726	6.8236	7.0473
U133A__LSM1	7.8171	7.8623	7.9043	9.1836	9.2115	9.878	8.3231	8.0733	8.0605	8.9855	9.4091	8.2982	7.8836	8.2887	7.7397	8.4755	8.3307	9.7167	6.9342	8.9638	8.561	8.0476	11.3265	8.9668	8.5705	9.2838	8.1226	8.1383	8.8467	8.8653	7.9526	8.0793	8.1342	8.5197	8.9891	10.2265	7.9451	8.3267	9.487	10.0421
U133A__EGR1	7.1754	8.7708	7.4814	7.3888	6.308	5.4248	10.0354	5.9257	5.5174	5.819	6.5474	5.91	8.6843	5.9632	6.5191	5.6021	6.4535	6.9361	5.6816	6.1835	6.0611	7.143	5.7529	5.2688	6.1269	7.3378	5.4053	6.3656	6.8313	8.3218	9.3693	6.3465	7.0071	7.1152	5.2344	5.7512	5.1156	6.4399	5.7614	5.5811
