Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__ITGB4	8.4764	6.8825	7.8694	7.2638	6.1489	5.1424	6.7049	9.9222	5.9812	6.4977	5.6302	7.2601	7.6693	6.7599	9.2314	6.4951	6.4958	5.6846	8.3127	5.2167	5.7594	7.597	7.8203	7.0236	6.7098	6.7099	5.7868	6.8612	5.7862	9.5481	7.0662	7.1408	7.4342	7.6944	6.2395	7.5587
U133A__CDCP1	7.0742	7.2215	8.8826	7.3078	7.3245	5.7458	7.0456	7.5834	6.5563	6.1087	5.8003	7.5225	8.6177	7.6904	8.2325	6.9611	7.7991	6.2206	5.5089	7.7861	6.0267	6.8073	7.4171	6.5984	7.661	5.7184	9.4111	8.3319	8.8519	5.8008	6.9583	7.2886	6.9554	7.7043	7.4395	7.2068
U133A__SPARC	3.7712	3.66	3.5138	3.5735	3.4648	10.4223	3.5195	4.282	3.8571	3.5912	8.829	5.2953	3.922	3.632	9.6467	9.8987	3.695	11.0811	3.715	4.7207	11.7943	4.1587	3.6311	10.9894	3.6342	4.0483	8.1684	3.7031	9.5455	3.8431	3.6479	3.7304	3.9174	3.54	3.7679	3.658
U133A__GOLM1	10.7915	6.9699	6.8996	6.1436	7.4106	7.6162	6.9619	6.097	6.8168	4.7724	7.2941	7.9946	8.2171	10.0582	6.9203	7.2777	7.3807	6.7465	5.3774	8.0129	7.4232	8.809	5.4568	9.5048	5.0972	8.7597	7.0625	7.1676	7.1221	8.1662	8.2527	8.4265	7.2974	10.2189	5.9218	5.7551
U133A__SLC39A6	7.7971	6.2623	5.3606	8.41	9.7579	7.1998	7.8475	7.3674	7.4381	7.3231	6.8048	5.6466	7.0401	6.5261	6.3182	7.2364	6.9683	6.666	10.5732	8.0261	5.5622	7.2093	8.0151	6.4029	6.5248	6.2838	6.153	7.6162	7.6329	7.1446	6.6113	7.6467	7.1279	8.8267	9.2532	11.5676
U133A__SHB	6.1653	6.8733	6.828	6.1711	6.3303	7.2606	6.1796	6.4954	6.4016	6.8149	6.1061	6.5164	7.1248	9.4468	6.3557	7.5118	8.0176	6.6858	6.5346	6.4142	6.7529	6.5025	6.3874	6.546	7.5095	6.2702	5.2957	5.9911	6.1421	7.0421	7.0962	6.027	6.3154	6.456	5.9912	5.9384
U133A__HIST1H2BK	7.8626	9.2518	9.6636	9.211	10.265	7.7061	10.2513	7.6802	8.4455	9.6962	8.8744	10.3357	8.5626	11.4476	8.3287	10.8107	9.2549	7.4624	10.0636	8.8671	9.2992	9.3189	10.3908	10.9972	9.5832	8.6993	9.5496	8.6964	7.2105	9.793	10.1358	9.1875	10.0889	8.8459	9.1856	8.8304
U133A__VAV3	6.6139	7.1379	7.0703	8.3207	8.416	8.4371	8.5097	7.4218	5.5936	6.3399	6.8818	6.9613	6.2428	8.366	6.9085	7.5863	7.8535	6.6148	6.4528	8.4579	6.1239	6.0939	8.7219	7.0271	8.7019	6.3496	5.5358	5.611	5.8513	9.0343	7.2773	7.438	8.7886	7.663	6.9197	6.7062
U133A__CARD10	5.7778	6.6189	6.4732	6.0074	5.6113	7.1832	6.9806	5.8013	5.447	5.0291	6.8955	6.4404	6.6995	5.3041	6.1251	5.6387	6.8007	8.2432	5.8035	6.6709	6.9111	6.3909	6.2227	6.8504	5.0682	5.6466	5.2563	6.1299	5.5845	8.1902	6.3387	5.6863	5.8941	5.8825	5.1234	6.1903
U133A__HIST1H3H	4.5987	5.0394	5.7959	5.2954	7.0262	5.1973	7.1901	5.2309	5.1804	7.7752	4.9774	6.7115	4.903	8.3387	5.3894	8.3287	4.9466	4.5073	6.6563	5.6775	4.9412	4.668	8.4879	6.8346	6.7291	5.1044	5.9021	5.0129	4.7309	5.8351	6.2272	4.5009	5.9355	5.0129	5.2029	5.5379
U133A__PCTP	6.8289	5.8709	6.6213	8.1664	6.5612	5.1232	5.3802	9.315	5.6513	6.7262	7.3226	6.1024	7.302	5.2925	6.4219	7.3253	7.702	5.4234	6.567	6.1451	7.3843	7.1665	6.5636	6.578	5.4163	5.4077	6.0721	6.2962	6.41	6.199	7.0656	6.584	6.8001	6.5245	6.6801	6.402
U133A__MARCKS	4.0846	7.9558	9.3462	9.0052	6.1751	9.3931	3.1121	7.562	9.3508	6.1638	7.7138	8.6914	8.1749	9.5401	8.7765	9.5328	9.2564	9.3228	6.1732	9.3868	9.2405	7.1593	8.1083	8.134	7.7284	7.2272	7.9364	6.5351	7.3555	8.9721	8.9906	8.8831	2.8129	7.525	5.898	6.8807
U133A__SEPP1	6.7939	8.2703	4.9517	6.4515	7.7486	4.5723	7.1106	4.7281	4.5017	7.5343	8.2599	8.2811	4.6901	8.1246	5.8341	6.3741	4.8683	4.9177	4.5954	9.4429	6.2604	5.3088	10.806	10.2101	9.6458	6.2624	4.7379	4.6913	5.1189	8.3721	8.0684	8.6532	8.6522	5.8956	9.6879	6.5472
U133A__LSM1	7.8171	7.8623	8.5086	7.9043	9.1836	9.2115	9.878	8.0733	8.0605	8.9855	9.4091	7.8836	8.2887	8.4755	8.3307	9.7167	6.9342	8.9638	8.0476	11.3265	9.5951	8.9668	9.2838	8.1226	8.8467	7.9526	8.0793	8.1342	8.5197	8.9891	7.9489	10.2265	7.9451	8.3267	9.487	10.0421
U133A__SARS	7.7374	8.322	11.1448	8.1394	8.1342	9.4981	9.6965	7.7344	7.4681	8.0177	8.2959	8.9196	8.2049	7.1093	8.7586	9.6745	9.0718	8.3933	8.5561	8.4441	8.8517	7.1754	7.8395	8.1705	8.5303	8.3585	9.224	8.73	8.4421	9.1614	9.4498	8.9271	7.9232	7.8378	7.7401	8.0215
U133A__MAGEA6	4.1337	10.693	11.5841	4.2307	9.8056	4.0703	3.9456	4.2992	4.86	11.4676	3.9504	4.0099	9.9063	3.986	9.5413	4.4473	6.445	9.4312	4.1283	4.1417	8.6643	4.1481	3.9064	4.9708	4.038	10.2216	9.7426	3.9341	10.1877	8.205	10.544	4.2629	4.3884	3.8095	7.8366	9.4051
U133A__BHLHE40	4.8137	9.0104	7.5841	7.9928	10.568	7.966	8.0251	9.1001	8.8729	7.9228	7.9559	9.1255	7.9007	9.1491	9.1102	9.058	9.8461	6.9324	7.2855	9.8204	8.4766	7.7957	6.4938	6.725	9.0946	7.9858	6.6069	8.2761	6.3476	9.8552	9.0027	5.9998	9.1508	10.0326	7.6047	7.3721
U133A__BASP1	5.4356	5.7977	4.4396	10.6202	9.2038	11.5185	8.8654	6.594	9.1826	5.6244	6.3603	8.6432	5.4185	9.2461	7.096	10.984	5.1029	10.982	11.1484	8.6087	11.8373	5.8638	8.7157	5.3006	6.2352	9.4114	10.254	7.787	10.2463	6.6101	4.8086	5.856	5.2301	8.934	5.5732	5.2642
U133A__C5orf23	5.6841	6.3829	5.455	7.5346	6.271	6.5705	7.2092	8.7788	7.6183	5.4248	7.2325	5.5515	5.5549	8.2279	6.8555	7.2818	8.3511	7.1384	5.5512	6.1622	6.0857	5.6845	5.9768	5.8137	7.0568	7.5061	5.7325	5.2448	6.0217	5.878	5.3433	5.4923	5.947	6.2081	6.4551	5.6891
U133A__IMPA2	8.7531	7.3139	7.0569	8.4529	5.4562	5.1665	6.023	8.6778	7.5464	6.8012	7.8668	8.3973	7.1983	6.5774	8.1387	7.6265	8.1532	4.5312	6.8415	6.571	8.0562	6.4168	7.4842	5.5594	6.2553	6.4363	8.9052	7.2363	6.417	5.4249	8.3917	6.665	6.5036	7.2796	7.0634	7.835
U133A__RHOBTB3	5.0787	5.0683	6.7277	5.1065	5.6136	6.0473	6.2514	4.9227	5.6696	8.5462	7.9271	7.275	6.0499	6.8141	6.2335	6.566	6.6969	5.985	8.3924	6.5413	6.3596	3.3827	5.9011	7.025	3.8914	5.5555	5.72	3.8442	6.2604	6.5518	6.8905	7.0476	5.4977	6.662	5.3302	4.6212
U133A__CNN3	6.5662	5.928	7.2837	6.2459	5.2624	7.9772	7.5358	7.333	7.2978	5.852	8.5066	8.3566	7.6308	5.711	7.0815	8.6543	9.1609	8.1059	3.6053	8.2442	7.3666	6.0036	7.1398	7.5905	8.7984	6.3226	7.2367	6.9493	5.7464	5.5974	9.1542	7.5337	7.6915	8.1608	6.8602	3.467
