Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__MLLT11	6.2166	5.4252	5.4696	5.9452	9.2362	5.5842	6.396	5.7505	6.2622	6.0969	5.7778	9.3885	5.6596	5.1106	7.3204	5.3868	5.5513	9.7364	5.8626	8.5124	5.5678	5.6979	8.9305	5.6819	8.5691	7.7028	9.2211	7.9421	5.7042	5.7603	7.4782	7.9219	7.7591	5.4643	6.006	5.7609	6.4866	6.123	5.5322	5.3209
U133A__F2RL1	5.0596	6.3428	3.9371	4.6177	3.3402	5.3026	5.8361	6.4559	4.9549	3.7885	5.0169	6.9584	6.7467	8.915	5.0788	5.178	6.0668	4.5773	5.9755	6.7862	5.3338	4.8866	7.0288	8.6755	4.2629	5.4487	3.9921	3.2747	7.1803	4.6219	7.6825	6.5574	4.4934	3.7193	6.6088	3.9098	4.5678	5.2637	4.4543	5.6641
U133A__CRIM1	6.6823	5.0556	4.5538	5.2347	6.6582	3.5903	5.9807	7.9088	5.0214	5.8645	5.4013	6.6716	6.0828	6.2967	4.8205	6.6118	6.6738	6.5511	6.4677	7.6681	4.209	4.0619	6.3739	8.3257	4.25	5.0642	6.0909	4.1324	7.3998	4.8529	6.1856	4.9762	7.7736	5.3263	5.9058	7.3237	6.0612	4.7611	3.0831	4.056
U133A__EXT1	5.9409	6.9912	6.0302	6.0805	8.4548	5.5923	6.9876	6.8187	7.0983	7.327	6.7887	7.3775	8.1855	10.4735	6.8258	8.2801	7.7689	7.278	7.6661	9.1103	6.1098	5.6871	9.0202	8.134	6.311	7.1049	8.246	6.3766	7.7789	6.5234	7.4435	8.7782	7.0972	7.003	6.7262	7.0514	5.8885	6.2246	5.1195	5.2664
U133A__TRPS1	8.6584	7.3827	7.0458	9.6951	6.9494	8.2062	3.4593	8.634	5.392	8.5305	7.8165	3.8643	6.1183	4.2236	6.5161	8.4291	7.4467	7.9026	6.7044	5.5976	7.4086	7.1694	5.0367	3.923	6.8585	7.5954	6.8846	8.5243	6.1981	8.38	7.5346	3.3148	4.1508	10.0281	6.6724	9.272	9.1202	8.4461	8.5384	8.6575
U133A__CYFIP2	6.119	7.2214	7.2856	7.9177	5.0692	8.2878	5.1518	5.5729	5.7304	7.8867	5.7349	5.1345	5.1257	5.5263	5.2595	7.4708	6.2103	5.5828	4.7354	5.6666	5.6376	6.6199	5.2283	5.4525	6.2671	5.9559	5.7349	6.8642	5.1087	6.9614	5.7687	5.5363	5.436	8.0359	5.5103	8.5498	7.3658	8.2599	5.8194	7.1325
U133A__GADD45A	5.3909	6.2445	7.5063	5.2446	7.3392	5.1443	8.6309	7.1551	6.8213	5.8339	6.7283	7.7482	8.4893	7.405	6.8995	5.0377	8.008	6.8747	8.2273	9.7214	5.0571	5.8846	7.5512	6.8579	6.8197	6.6866	8.9886	6.5109	9.8078	5.6789	8.471	7.4893	9.3585	5.2882	8.0219	7.1867	5.4167	6.9506	6.5311	5.8262
U133A__HIST2H2BE	5.2169	6.1555	5.9939	9.4664	4.7581	6.4892	5.8138	7.028	5.845	9.4831	6.6393	5.1986	7.3397	5.9223	8.8657	8.9328	6.3304	8.0707	6.4151	4.9797	7.2026	8.2043	5.8962	5.0337	9.2133	6.6612	5.5972	6.7257	5.5572	5.8532	5.39	5.6544	5.0466	7.1041	6.2	5.9142	6.7795	5.2721	5.3079	6.1542
U133A__KRT15	4.6753	6.8146	5.9967	7.5863	3.4215	3.485	3.828	10.4967	4.7698	5.9132	8.3286	5.8881	11.2728	11.1419	6.932	6.0745	10.3961	8.8581	5.6067	4.1525	4.9932	4.6388	3.6355	3.5272	5.5726	4.5513	3.4564	3.7484	7.8898	5.5479	3.0722	4.6297	3.9253	8.2127	4.0325	4.0707	5.0639	7.5535	4.407	4.2825
U133A__DHX40	7.0381	5.7867	8.6347	7.5986	5.919	5.9241	6.6666	6.2316	6.2846	7.014	5.6478	6.411	6.2943	5.4408	5.3047	6.003	6.5949	7.426	6.0468	5.1125	7.2359	8.2093	6.8654	6.4999	8.5027	4.9426	5.6922	6.9965	5.6456	5.1172	6.5324	3.9736	5.98	5.644	5.3564	6.3122	6.9005	7.842	7.2802	7.0766
U133A__ELF3	7.5457	9.7151	8.6588	7.6365	4.5443	6.8332	5.2965	8.8709	8.6235	7.3098	7.955	6.3115	8.395	8.3632	9.1607	9.5127	8.8539	7.0033	8.8438	5.3407	7.0076	8.1508	5.0759	5.1225	7.6662	7.8192	5.8174	7.1622	9.0809	8.9949	5.89	6.1304	4.9205	8.3142	7.5633	7.5694	7.2921	8.2882	9.5173	7.633
U133A__ISOC1	5.1663	6.6553	7.541	8.1396	5.287	9.2407	4.9017	5.7943	7.3405	8.0976	6.9094	6.4093	6.761	6.1868	5.981	6.9766	6.6684	5.8931	5.609	5.2129	7.5138	8.045	5.4164	6.9834	7.4249	7.287	5.4975	7.952	6.0864	6.9193	5.8083	6.542	6.1968	6.8505	7.2906	5.616	6.3399	6.6446	7.5794	7.608
U133A__TNC	5.3228	4.6808	5.0294	4.8493	6.8118	4.6548	6.2793	5.8077	9.2972	4.909	6.0354	4.8131	5.0022	8.1084	6.7858	5.3092	6.2336	9.3754	8.5657	6.5111	5.0374	4.7272	7.5353	5.0495	6.0046	6.2086	7.7184	9.5715	6.4274	4.904	7.4837	8.1507	6.8616	5.1442	4.6224	7.8556	4.9164	6.5265	5.2553	4.8657
