Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__PAM	6.5936	4.9904	5.7176	7.0863	6.6673	8.1748	5.0662	9.5932	7.0482	4.3977	8.7907	6.5625	5.8	6.8941	4.3226	7.3707	8.0552	9.9862	6.6152	4.9939	6.885	5.1649	7.0219	5.2092	5.7571	4.5287	5.2073	4.5169	7.177	6.6648	6.9385	8.2732	8.5536	5.5328	7.2031	7.9912	5.8766	6.8036
U133A__AZGP1	11.0784	9.5652	4.1337	4.3722	5.3773	3.828	4.9144	9.7205	4.6557	3.8861	7.4406	3.8669	7.7823	6.7995	6.6826	8.834	3.7841	10.0723	4.0968	4.4819	3.7957	3.9856	3.0804	7.5474	6.4078	9.4461	9.2802	5.7217	4.0741	3.8247	3.7598	4.1752	9.6783	4.0009	5.3704	7.4854	8.8218	4.9162
U133A__CDKN1A	8.2831	7.2923	7.3268	7.7668	9.5202	6.794	7.442	8.4726	7.4215	6.9593	8.0665	7.8881	9.2323	8.3044	6.6142	10.089	7.0906	7.2666	8.4832	8.0984	8.6455	9.5528	7.835	8.8575	9.465	7.5943	7.1964	7.4332	7.7385	9.0587	7.7207	7.994	8.4722	6.635	8.1709	8.8133	8.4019	9.8192
U133A__FN1	5.5508	8.2086	8.2103	5.0901	9.0318	10.9376	5.1521	5.7746	5.3775	8.8173	8.8456	4.7236	7.7597	5.8096	9.125	10.8297	11.166	5.7755	12.6523	9.0605	6.3942	8.9727	11.2772	6.6221	6.9068	5.3011	4.931	7.9249	9.9495	11.5261	10.6074	6.9136	5.1375	6.0347	6.7769	9.6411	5.6355	5
U133A__FOXA1	9.1328	7.7572	6.523	9.0263	9.4147	4.7595	8.7472	5.2283	5.7444	8.14	5.0961	5.822	6.5694	7.5076	8.8813	6.9658	5.4233	5.6401	5.6268	8.3942	8.6803	9.0814	4.7116	8.5308	8.8057	8.3218	9.2428	7.9736	5.241	5.689	5.6432	8.73	9.3117	8.6746	8.6077	7.9866	8.9553	8.3695
U133A__LMO4	7.4737	7.1325	7.3624	8.5532	7.9792	9.7098	5.7002	8.2677	7.6793	8.0974	7.6477	7.0389	7.4546	6.855	7.7206	8.0476	7.8791	8.7906	7.5205	6.2739	5.9112	7.0129	7.6279	7.9445	7.9322	9.2733	7.7056	6.1979	8.918	6.745	6.2862	9.1307	8.2001	7.5695	8.3962	6.7757	4.2304	6.628
U133A__STEAP1	3.7161	3.9583	3.7114	4.1853	4.1123	3.7128	3.5633	4.1825	3.8446	3.9806	4.3958	7.2176	3.6303	4.5839	7.2723	4.4257	6.4105	6.2642	5.633	4.0483	3.9447	3.9628	4.2744	5.8621	3.7494	4.4603	3.6677	3.6879	8.1299	7.6142	8.5636	5.8578	6.6618	7.2567	4.7198	4.0482	3.8274	4.0184
U133A__CBS	5.9765	5.4492	7.8767	5.6544	6.2438	7.3369	6.087	7.4403	8.4846	5.7384	8.0993	6.5391	5.9537	6.3435	5.1559	6.6224	6.4994	7.6089	5.9747	6.9595	7.2635	5.6818	6.6504	6.1478	5.6614	5.2172	8.0108	5.5159	8.1012	5.822	5.7536	8.3385	6.9199	6.5534	5.6538	6.9704	5.2268	6.395
U133A__PLK2	5.4424	6.9523	6.867	7.2092	5.1939	8.3725	6.0463	7.0513	6.4452	6.2027	5.7464	8.2452	9.2273	6.818	8.4373	6.6563	7.0758	8.5326	7.8286	6.7947	7.5027	6.8697	6.9099	8.1218	7.2951	8.1968	8.4353	5.3432	5.2835	6.169	5.4839	8.784	8.1345	7.3299	8.5802	6.9561	6.1403	5.3885
U133A__SGCE	5.5324	7.5699	5.5632	5.1425	6.8932	7.2662	4.8159	6.9564	4.7718	6.2574	7.5661	6.3497	5.8754	6.2138	7.793	8.0293	8.1916	6.7123	7.8883	5.2118	4.4228	6.3419	8.9305	6.6333	5.9378	5.5746	7.0881	8.0773	7.8671	7.2408	7.1888	6.4691	6.7479	6.0447	5.5657	7.5881	6.5415	5.5128
U133A__HPCAL1	5.578	5.9845	7.8283	6.8938	5.68	6.2353	6.2788	5.0138	6.6114	7.5659	5.1776	5.7204	6.5238	7.2026	6.7662	5.615	5.6009	6.7248	7.1728	6.3002	6.1858	6.2615	7.3554	5.8117	7.152	6.1281	5.5699	5.8186	6.4995	8.5889	8.5868	6.3343	6.1302	6.5193	5.2869	5.4867	6.0023	6.3035
U133A__ATP1B1	9.9985	10.6555	8.987	9.0894	9.4873	7.953	10.5124	10.7765	9.4161	5.5723	7.0005	8.0635	9.8683	9.024	8.4916	8.8909	8.4836	11.1555	5.7904	10.2571	8.5593	9.4818	4.4435	10.2751	9.7824	9.7554	9.9854	9.7093	7.8881	8.672	7.3406	8.7469	10.6697	8.8248	8.5279	8.5607	9.3935	8.2913
U133A__KIAA0020	6.2247	7.3972	7.3432	6.1192	6.9578	7.8359	7.9328	6.6593	7.9097	6.3977	7.504	7.236	7.2485	9.4969	6.0823	8.2661	8.2978	9.0329	7.6654	7.5429	7.0906	7.044	7.2368	7.1856	6.2583	7.158	6.6374	7.242	6.6178	7.9298	8.3902	6.5087	6.8071	7.1773	7.1141	6.5708	7.1869	7.9499
U133A__CARD10	5.7778	6.6189	6.4732	6.0074	5.6113	7.1832	6.9806	5.8013	5.447	5.0291	6.8955	7.94	6.4404	6.6995	5.3041	6.1251	5.6387	6.8007	8.2432	6.0254	5.8035	6.6709	6.9111	6.3909	6.2227	6.8504	5.0682	5.6466	5.2563	6.1299	5.5845	8.1902	6.3387	5.6863	5.8941	5.8825	5.1234	6.1903
U133A__ACSL1	5.8954	8.2165	6.9153	8.658	6.2343	5.1716	7.2737	7.9344	5.8146	6.185	8.0636	6.2	8.2443	6.2225	6.7455	5.5297	7.044	8.7631	4.7826	4.917	6.1018	6.4659	5.6861	7.0502	7.5073	7.6861	8.5253	6.84	4.6924	7.4148	6.8998	6.3058	9.291	8.5472	6.3515	8.1543	5.7848	5.8106
U133A__PSPH	3.0836	2.8068	6.7289	8.8397	6.7999	6.9781	3.9571	3.5236	4.0114	2.8876	4.9507	5.6603	5.337	4.8724	3.2991	8.5676	4.3599	6.2269	3.3834	3.9784	3.957	3.1641	7.7069	8.0686	3.8532	6.5213	3.6251	3.3861	7.1978	6.3427	3.5548	6.222	7.1996	3.3091	3.816	3.4727	2.8167	3.3359
U133A__DEPDC6	6.5775	5.651	5.4249	7.3238	6.9351	5.3355	6.1073	6.4586	5.8382	6.8016	5.4454	5.018	5.9569	5.7007	7.0469	5.6039	5.2684	6.8221	7.3107	5.2826	7.2091	6.8144	6.7692	6.3997	8.2562	7.3802	6.37	6.1324	5.3696	5.477	5.4188	5.853	8.0495	5.8502	6.5351	7.6139	5.8068	5.7792
U133A__FERMT2	6.0267	7.439	5.8723	5.3801	8.2001	9.8437	6.2531	6.9012	6.5681	6.2655	6.1023	4.3862	7.7149	6.2438	8.7037	9.2104	9.7082	8.4669	8.7483	8.2909	7.0989	6.4247	8.4146	6.1627	6.3958	5.8793	7.5523	7.6505	8.7006	8.3695	8.7763	7.4012	8.3016	5.937	7.0412	7.3012	4.5512	7.3271
U133A__TUBB6	4.8682	6.5678	8.0465	6.253	4.4901	9.8768	4.9213	8.3339	9.2657	7.3934	8.5949	8.9081	8.7762	7.6112	6.6415	9.8152	9.8057	8.0943	9.7499	8.3425	7.4325	7.8191	10.4802	5.4732	7.5802	5.0843	5.1846	6.5456	10.1106	9.4057	9.6441	5.1798	6.0299	5.5564	7.8651	8.1612	6.4891	9.5322
U133A__CTSL2	6.6891	6.6544	7.9888	6.1776	5.8575	7.9594	6.6191	10.2184	5.7305	6.0333	7.4727	7.4576	7.8409	7.0974	6.0122	8.0945	7.7367	8.1816	5.7412	7.1939	6.6615	6.6808	8.3407	7.0612	6.3803	7.5018	5.5789	6.5624	6.5317	6.8619	5.7468	7.4294	6.7808	5.8074	7.2087	6.9109	6.678	7.0021
U133A__MEGF9	6.1887	5.2454	5.728	7.1921	7.8359	5.352	6.5592	5.4416	7.4246	8.1128	5.4149	5.8697	5.8965	5.6407	5.7681	5.6285	6.0475	6.4887	5.5942	7.7911	6.5321	7.1962	5.0869	7.0854	9.258	7.1866	6.6597	5.7238	5.1876	5.0277	5.331	6.8868	6.9558	6.8659	6.6887	6.5666	6.1345	6.9286
U133A__LPCAT1	7.3577	8.9611	8.569	9.6749	7.1029	7.2521	7.0423	7.74	6.6152	6.6098	6.6442	7.3353	6.5708	10.0197	7.112	7.373	6.9475	7.7542	7.1383	7.6529	8.2705	7.4954	7.1965	7.3813	8.3462	6.6051	6.3507	8.3357	7.0926	5.9251	7.5598	7.3431	6.6121	7.2444	7.0242	8.9573	6.3502	6.8462
U133A__POMZP3	5.4865	6.9158	5.512	4.8456	6.8032	4.5827	6.9213	5.5264	7.0392	6.9656	5.8224	5.1062	6.2726	5.167	6.4184	5.8832	6.3568	6.674	5.9695	5.8044	5.7527	4.6042	5.6313	5.7987	5.5526	6.3727	4.785	7.0482	5.1092	5.7715	4.1477	4.9582	8.0627	4.7271	5.8462	5.25	6.281	8.1041
U133A__UNC13B	5.8654	6.5725	6.247	8.6947	6.836	6.2814	7.5756	6.0785	6.0703	6.063	6.198	6.356	6.456	6.2065	10.5586	7.1594	6.4438	6.3226	6.2149	6.499	7.2795	7.301	6.063	7.1499	6.8049	6.9117	7.4585	6.1252	6.9704	5.8598	6.6068	6.5921	7.0466	6.4418	6.7886	7.3338	5.8494	6.6952
U133A__COL5A2	3.6592	4.0376	3.5026	4.6751	3.4526	10.0719	3.8191	3.8886	3.4847	3.7263	3.4448	6.5973	3.7802	3.6864	3.3421	3.6693	9.4833	3.5658	7.0179	3.8522	3.5233	3.4666	8.4776	3.9137	3.4515	7.5595	3.711	3.7488	9.9755	3.6722	5.1542	9.1244	7.2526	3.6895	3.8055	3.6153	3.8998	3.5822
U133A__C4orf19	7.472	6.995	6.1152	5.7927	6.3656	5.2571	5.9706	5.259	4.7316	6.7285	5.4242	6.6961	7.585	5.7606	10.2326	6.1892	5.0874	6.2435	4.9288	5.7074	6.7407	6.5187	5.4766	6.6493	7.6176	8.3724	6.8461	6.9588	5.0222	4.9962	5.2601	8.0656	6.9566	7.7508	8.4822	7.0379	5.3883	6.2493
U133A__TLN1	6.6588	6.5424	5.8805	5.7994	5.612	6.5644	5.9856	6.3255	7.1334	6.2038	6.5911	6.6526	6.1384	6.1843	9.1773	6.3819	6.184	8.0898	6.6104	5.9366	6.2893	5.6054	7.1546	5.8129	5.9544	6.3669	6.1561	6.3103	6.3312	5.8417	6.5138	6.2184	6.0943	6.1867	6.0613	6.1134	5.9299	6.1477
