Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__ANKRD57	5.9697	4.6663	6.1402	6.2868	5.939	7.7336	6.5621	6.0224	5.2587	6.8299	5.4594	6.5732	6.5182	6.5702	5.2921	5.1079	5.4951	5.5572	6.0201	5.2873	5.7804	5.1389	7.8938	5.3602	5.5994	6.4687	6.098	4.9998	6.7942	6.1175	6.472	5.572	5.31	6.1903	6.4324	7.6739	6.4395	5.5621	7.0825	5.7018	6.1324	5.2503
U133A__C5orf13	7.5479	5.1369	6.7214	7.2221	10.5831	8.7053	6.6718	6.8127	10.1445	5.6449	7.1065	5.0964	5.3783	7.077	7.9666	6.914	5.561	7.2038	5.9763	8.7252	5.4808	5.8234	8.3707	9.2578	5.8943	5.5724	6.9229	7.5753	7.8776	8.2068	8.2004	4.9232	7.1556	5.2497	9.5255	9.8606	5.4205	6.0864	7.4534	6.3202	6.2864	6.9258
U133A__DEPDC6	6.5775	5.651	7.3238	6.9351	5.3355	6.1073	5.1492	6.4586	5.8382	6.8016	5.4454	5.018	5.9569	5.7007	6.5867	7.0469	5.6039	5.2684	6.8221	7.3107	5.2826	7.2091	6.8144	6.7692	6.3997	5.2031	8.2562	7.3802	5.133	6.37	6.3896	6.1324	5.3696	5.477	5.4188	5.853	5.8502	6.5351	7.6139	5.8068	10.0744	5.7792
U133A__CCND1	9.1764	8.4714	8.1237	9.1256	5.4377	8.8941	5.4406	10.0998	7.9929	9.1837	4.3292	8.6063	8.813	10.9904	7.1587	8.1578	6.4037	8.1008	9.0473	8.209	8.2177	9.1804	11.883	6.9939	9.3043	8.8488	8.5351	10.1566	6.4148	6.4129	7.8056	7.9009	6.6177	8.3147	8.4694	8.7082	8.5885	7.1643	7.8528	8.5427	9.8744	9.2077
U133A__AHNAK2	4.3732	3.6455	3.7668	4.2833	7.8526	4.6283	6.6866	9.299	3.5509	4.9391	3.8991	6.3896	4.45	6.0159	3.693	4.1841	7.2624	6.7199	6.3673	5.4933	3.9157	4.2351	4.6591	8.267	4.9602	5.1847	4.0095	4.1542	8.1732	3.6524	5.7244	3.8567	9.5019	5.603	7.6929	8.3787	4.0909	4.2427	4.4986	3.8844	4.0133	4.6233
U133A__DDAH1	8.9187	8.5483	7.8829	8.8633	8.3878	7.0164	7.2762	7.0683	5.6482	8.0142	6.9419	7.8773	8.3529	7.671	6.9839	8.697	7.4941	8.6928	7.845	9.6453	6.2098	7.4176	9.7077	6.2347	8.0152	10.6373	8.2905	8.9321	7.3515	8.726	8.8341	8.7206	8.3137	7.7288	8.0215	8.5239	8.3946	8.0016	9.3856	7.7819	9.4862	8.5761
U133A__ALDH4A1	6.0591	7.4246	8.3471	6.7169	6.082	7.9374	6.3639	5.962	6.3012	7.4468	6.466	6.4855	7.1706	5.8314	9.2661	7.2935	6.2652	5.8633	7.3004	6.2349	6.5478	7.738	7.2079	6.0012	7.847	5.8512	7.521	6.2685	6.068	9.9506	6.211	7.4964	5.9475	6.3586	5.7202	7.4961	6.5002	7.6683	7.696	7.7586	5.9932	7.7793
U133A__SLC1A4	6.0902	5.1754	8.2176	6.8155	4.8003	6.8859	4.8683	5.7327	5.1074	7.8823	4.3634	6.4325	5.903	4.3597	7.8159	6.3009	5.1746	4.6385	4.3902	5.7849	5.8689	4.9972	8.3702	6.7636	6.7105	4.5674	8.7053	7.2159	4.9516	6.8512	6.803	5.5833	7.6199	6.4011	3.8519	8.9226	7.5856	6.4569	7.3409	8.5448	7.2005	7.4771
U133A__ARHGAP29	6.5591	7.3738	6.2753	7.3346	5.1276	9.1535	8.4816	8.4873	7.8088	7.8577	6.566	7.504	9.7342	8.5161	6.1598	8.5221	7.9414	9.0108	9.1722	8.6052	4.3682	5.6539	7.3205	7.0369	5.82	9.7782	5.1043	7.1398	6.6222	7.2637	9.2873	7.1956	7.847	8.5281	6.4753	7.0779	7.1987	6.1439	8.6984	4.2457	8.3729	6.1199
U133A__SLC39A8	5.1516	4.2055	4.6934	5.3623	6.7829	4.5658	4.9292	4.7239	4.8535	5.2895	6.9349	6.8201	7.4608	6.518	6.3975	6.201	7.026	6.0177	8.7032	5.9219	6.7641	7.3615	4.8517	5.4355	5.6375	7.3636	8.4679	4.9229	9.1978	6.4025	6.4836	4.5111	4.9586	7.9776	7.8383	6.9244	6.2055	6.6736	6.9142	6.4371	5.7098	7.2598
U133A__BACE2	9.3765	8.281	6.3105	6.1423	6.0657	5.3419	6.603	7.5574	6.834	6.793	7.912	7.5191	7.95	7.8842	7.7563	9.2403	7.9159	7.0988	9.2209	6.3671	7.1378	6.2433	5.9436	6.2496	7.3922	6.7457	6.6809	7.7806	6.3089	5.4893	8.2188	9.4037	6.7943	8.3682	6.6684	5.4672	6.8133	7.5997	8.4457	6.8962	7.3362	6.4187
U133A__MT1F	8.8457	8.4682	9.0415	8.2996	9.723	8.3702	10.1491	9.3606	7.3736	10.1497	8.895	9.2237	8.6485	10.1593	8.2385	8.1514	9.0099	10.0446	9.6652	10.7	7.8613	8.0034	8.7306	9.3064	8.6793	10.6159	9.1573	10.5503	10.3282	8.8884	10.4899	8.8961	10.4918	11.0993	11.1161	8.3957	9.1751	8.0095	8.3509	9.2106	10.4592	8.4788
