Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__DECR1	6.66	9.0064	4.9993	7.3199	6.8777	7.0909	7.5545	7.8356	5.9952	7.8875	7.8221	5.3596	7.6481	6.4086	7.8985	7.6777	8.2614	7.4609	6.9361	6.6044	7.7078	7.9482	7.3017	6.9448	6.9046	7.1159	9.7578	7.3422	5.6397	6.2275	3.9487	8.2313	3.9781	7.355	7.5332	6.7474	6.8056
U133A__LAMB3	6.3544	4.6146	7.8457	4.2523	4.5548	4.2692	4.8434	8.3716	4.0661	4.4141	5.2448	9.146	6.9705	7.8459	4.6953	7.4785	6.003	7.8037	5.974	5.226	5.0082	5.795	8.1853	5.2156	7.5624	4.2693	4.6992	5.7854	9.5937	5.9034	5.4211	5.374	7.4778	4.4149	5.1624	4.6983	5.6776
U133A__DCTD	6.7368	5.2551	7.543	5.1467	5.2233	6.3193	7.0626	6.191	5.2222	5.2165	8.2899	7.0776	7.2563	7.3378	5.1893	5.3932	7.6038	6.9105	6.8982	5.9638	6.1875	7.3325	8.1583	6.0793	6.8102	6.0422	5.4363	7.4175	8.6957	7.8895	6.5288	6.9611	7.7797	6.4909	6.1735	6.6284	7.042
U133A__ABCC5	6.6226	8.0779	7.8607	7.1449	7.6776	6.8408	8.5504	7.4246	7.1746	9.5645	7.9864	8.1341	7.9396	7.1158	9.4831	7.1401	7.208	8.2613	7.2144	8.3302	7.7177	7.0907	6.9575	8.0859	7.7665	8.0521	8.6714	6.9314	6.6645	6.9156	10.0979	6.9137	7.4944	8.5541	8.0903	7.0478	7.2983
U133A__HMGCS1	4.7548	6.6928	6.068	8.4489	5.7519	6.6066	5.2763	6.7535	7.7171	7.8134	6.283	6.4676	6.3959	6.2914	7.887	6.3859	6.4413	6.6387	6.5232	5.2901	6.2517	7.1959	6.68	6.8716	6.897	7.225	5.5922	4.89	5.3679	5.1532	6.8847	8.9645	5.7117	6.1708	6.9066	5.231	6.3642
U133A__MT1G	9.5396	9.8014	11.1459	9.5375	9.1879	10.2389	9.5497	10.1966	8.9364	10.0569	9.4293	10.1144	9.3626	10.3956	8.9171	9.9396	10.5941	10.0105	11.0897	9.5614	9.4205	9.8725	10.9873	9.9641	11.216	9.6989	9.9504	10.9458	11.5697	11.2823	9.5986	10.4865	9.9742	9.6423	8.985	9.3284	8.7799
U133A__CTSL1	7.8798	7.8217	7.3628	6.5576	7.0167	9.757	7.4496	7.0288	6.4798	6.048	6.8949	7.4235	7.4542	8.3773	6.2641	7.0943	8.2269	7.8047	8.3916	7.4346	7.6	8.9738	7.4494	7.8617	7.5577	5.7749	7.5965	10.5886	7.5244	7.4769	6.9951	6.5554	7.7098	6.1703	7.8203	6.2306	6.448
U133A__GNG12	7.5942	7.7849	9.0112	6.4664	6.5978	9.7447	5.7435	7.6541	6.3405	6.7824	8.0676	8.631	8.0184	7.7945	7.4507	8.4371	8.502	9.4671	10.163	5.8447	6.4708	8.6305	9.2273	6.8388	8.3046	7.625	7.4958	9.7275	8.1413	9.2598	7.333	9.1562	8.3668	6.9594	7.5017	6.9873	7.0425
U133A__HIST1H2BG	4.8283	4.2641	3.7738	5.0005	8.9158	4.5763	5.5262	4.4331	5.2718	9.2574	5.3945	5.7249	6.471	4.4167	6.6603	4.5105	7.4535	4.1956	4.0378	5.3949	6.6731	5.2408	4.1684	8.9951	6.9417	6.9214	4.4134	4.9449	4.4145	4.68	5.8657	6.7726	3.6731	5.8628	4.7131	4.8942	4.9211
U133A__BHLHE40	4.8137	9.0104	7.5841	7.9928	10.568	7.966	8.0251	9.1001	8.8729	7.9228	7.9559	6.8667	9.1255	7.9007	9.1491	9.1102	9.058	9.8461	6.9324	6.5935	7.2855	8.4766	6.2979	6.4938	6.725	9.0946	7.9858	6.6069	8.2761	6.3476	9.8552	9.0027	5.9998	9.1508	10.0326	7.6047	7.3721
U133A__NNMT	7.4816	6.4025	8.9292	4.3441	4.2984	10.43	4.4886	4.4447	4.5027	4.0426	5.1421	4.462	6.0129	6.8071	4.2145	5.8981	7.0081	7.6329	7.5692	4.5485	4.4465	10.1086	4.4358	4.2956	4.9538	4.3555	4.6834	8.5814	8.774	9.9583	4.671	5.6167	5.758	4.3408	8.3456	4.1626	4.082
U133A__TIMP1	10.3333	7.0824	8.6722	6.0084	10.0101	10.3319	6.3865	7.5051	5.2107	9.0007	10.0557	7.8295	7.3896	9.965	5.853	8.1505	8.566	7.5314	9.0919	9.1396	8.942	10.7712	8.6568	8.1735	9.2124	7.044	5.6415	10.4042	10.5345	11.5046	6.6035	7.0967	8.7976	6.351	8.9574	5.2706	7.571
U133A__STEAP3	8.0543	8.4341	7.0147	6.9625	7.0864	7.3676	6.5586	6.8849	7.5276	7.445	7.753	7.6356	7.1557	7.53	7.9038	8.1799	7.1387	8.774	8.4079	7.3242	7.1979	7.9782	7.7131	7.0101	7.31	6.5345	7.9369	8.3281	8.0487	8.8255	6.5464	8.2534	7.0222	6.8751	7.3441	7.2453	7.7787
U133A__LOXL1	7.6117	4.1966	5.1158	4.3121	5.5348	8.338	5.7862	4.933	8.9195	5.1848	5.3431	3.9845	4.0034	4.3856	4.1953	4.8002	6.8359	4.9628	9.1502	5.6646	8.9368	8.3756	5.6773	6.3196	7.3211	4.5602	4.2818	9.7542	8.8104	6.6159	5.6259	3.9347	8.3171	4.6056	5.1326	5.3135	5.2119
U133A__SYNRG	7.2809	6.6195	6.8471	9.8116	7.4446	6.4624	7.1391	6.7788	7.4791	6.3822	6.7116	6.6046	6.574	6.2967	6.7863	6.4957	7.5364	6.6443	6.3439	6.9137	6.8778	6.8603	6.8511	6.6902	6.4818	7.2516	6.4561	6.5931	6.2908	6.4468	6.9097	7.1706	6.8952	6.7438	6.8543	6.7335	7.0088
U133A__ALDH4A1	6.0591	7.4246	6.5647	8.3471	6.7169	6.082	7.9374	5.962	6.3012	7.4468	6.466	6.4855	7.1706	5.8314	7.2935	6.2652	5.8633	7.3004	6.2349	6.5478	7.738	6.0012	5.8512	7.521	6.2685	9.9506	7.4964	5.9475	6.3586	5.7202	7.4961	6.7301	6.5002	7.6683	7.696	7.7586	7.7793
