Cell lines	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
U133A__DPYSL2	4.3957	6.3934	5.6905	9.755	6.403	8.6685	6.876	6.4028	8.1874	7.4548	5.8342	7.3601	7.5697	6.8732	9.3498	4.9229	6.4398	7.9753	7.9353	6.4448	4.2048	6.5866	3.6449	9.0406	8.4346	8.7608	6.6997	7.2071	7.204	5.519	7.3291	4.2719
U133A__COL4A2	5.4771	6.2726	4.9197	9.5328	4.7309	6.7139	4.8079	4.9894	7.5194	8.2333	5.0157	9.3085	8.3007	4.2182	8.3461	4.7889	4.7039	9.7331	5.9915	4.8098	5.2981	4.7465	5.4106	6.024	9.0196	4.8637	4.61	4.6647	4.8703	4.9757	4.6655	5.105
U133A__CTGF	7.1015	3.7722	4.1421	8.5961	4.3162	9.9978	4.0779	4.3177	9.4636	4.2303	6.0839	8.247	7.842	4.0585	9.9469	3.8967	4.0791	5.2649	9.6523	4.0025	4.9953	4.3345	7.9564	9.3229	4.4806	7.7701	4.498	6.5857	7.0046	4.3973	4.0011	4.4522
U133A__GNG12	7.7849	9.0112	6.4664	9.7447	5.7435	7.6541	6.3405	6.7824	8.0676	8.631	7.4507	8.4371	8.502	9.4671	10.163	5.8447	6.4708	8.6305	9.2273	6.8388	8.3046	7.625	7.4958	9.7275	8.1413	9.2598	7.333	9.1562	8.3668	6.9594	7.5017	6.9873
U133A__EPHA2	6.8505	7.7375	5.9049	8.0944	5.8575	6.3275	5.4135	5.1916	6.3529	7.8942	6.7903	6.7602	8.2689	6.7414	8.1722	6.0052	6.6211	7.5885	8.7282	5.6235	5.8814	5.967	6.6319	7.5941	8.0211	8.2738	6.9307	7.4133	6.077	5.5545	5.7672	5.4127
U133A__GATA3	3.6303	5.3574	5.039	4.1358	8.5593	2.9041	5.2215	8.0058	4.0984	4.9866	7.9089	3.0972	5.915	5.4572	3.2756	8.2784	9.0129	2.9786	3.0718	7.1761	6.9304	9.0051	4.2017	3.2494	3.2905	2.7796	8.2158	5.6253	7.0477	8.5736	7.9187	6.4257
U133A__SGK1	4.9334	6.1785	4.7827	8.6493	4.9394	7.9635	4.3632	4.5738	6.4205	8.1867	4.2787	5.4377	7.4515	6.0284	7.7563	5.059	5.5643	7.6973	7.0334	6.3626	4.4837	4.4109	4.9636	8.6062	6.7889	7.1807	4.5583	5.3698	6.1684	4.7328	5.5696	4.6854
U133A__KDM2A	6.0776	5.4846	6.8307	5.1137	6.4261	5.2782	6.9905	5.6064	5.5117	6.6561	6.8906	5.157	6.1068	5.6614	4.1525	6.0098	5.9119	4.4139	5.1802	6.2027	8.3951	6.7402	5.0631	4.418	4.6811	4.8195	5.0138	6.3186	6.2171	6.0868	6.6318	6.6085
U133A__COL6A1	6.3156	6.0991	6.3956	7.7987	5.9948	8.9878	5.7568	6.6083	8.0962	7.3804	5.8936	6.4987	9.1927	5.4538	10.8531	6.5479	6.2493	11.2448	6.5369	6.4207	5.7732	6.0757	5.7873	9.5167	7.8725	6.8032	6.018	7.0157	6.5026	6.3931	7.0413	5.7191
U133A__KIAA0182	8.7547	8.2326	9.4399	5.5927	8.9031	7.0695	8.2032	9.5198	6.5335	7.1268	8.5395	7.194	7.6429	7.7941	6.6802	9.3437	9.2681	5.5687	6.8539	9.4821	8.1927	8.8215	8.4014	6.3604	6.768	6.9346	9.4211	8.9541	8.2608	10.1651	8.3246	9.5845
U133A__AHNAK2	3.6455	4.6633	3.7668	7.8526	4.6283	9.299	3.5509	4.9391	3.8991	6.3896	4.1841	7.2624	6.7199	6.3673	5.4933	3.9157	4.2351	8.267	5.1847	4.0095	4.1542	3.6524	3.8567	9.5019	5.603	7.6929	8.3787	4.9678	4.0909	4.2427	4.4986	3.8844
U133A__ZNF217	7.5835	6.9251	7.8014	6.3906	7.2507	6.639	6.8205	7.0884	6.5128	5.7742	6.8491	6.55	6.4752	7.1567	5.4451	7.5959	8.0458	6.4752	5.7126	7.3471	6.1379	5.9462	7.1079	5.8327	5.9423	5.1742	6.4352	7.3122	5.7603	6.5379	9.0439	7.9256
U133A__MAP1B	4.7448	6.4849	4.9262	7.9119	4.5738	6.6054	8.1982	4.5955	5.1547	5.4784	4.6449	6.1241	8.077	7.8322	9.7287	4.2933	5.1401	8.6245	8.226	4.7169	4.9647	4.3393	4.5124	7.7301	5.7202	8.3276	10.7187	6.9184	4.8221	4.5797	4.5998	4.8576
U133A__LEPREL1	5.3422	8.3477	5.4569	9.3138	5.5085	7.9786	5.848	5.3502	6.5309	7.5076	5.1026	5.8493	7.0181	9.188	7.5821	5.5045	5.6844	6.6369	7.9034	4.9339	4.9033	5.3148	5.5942	6.252	5.3512	7.3962	5.376	5.3514	5.1657	5.3306	5.109	5.1199
U133A__CYB5A	7.709	5.1047	6.3098	5.7624	7.9642	6.9887	4.4315	6.1598	6.0589	5.0605	8.2505	5.2687	4.701	6.1142	3.8628	6.5067	6.1092	4.6541	6.1533	6.26	7.9185	7.5663	6.7328	4.648	7.3606	7.1314	6.3256	7.0204	5.551	6.3159	8.6476	7.8435
