Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__SUSD4	6.6086	6.9508	6.4035	6.7363	7.677	6.2558	6.0884	5.9114	8.035	9.813	6.3402	6.2625	6.3492	7.6664	6.2718	6.2591	6.1387	6.5387	6.4985	8.0919	6.1728	6.4318	7.0102	8.3366	6.7017	6.6934	6.3552	6.9363	6.3086	7.1127	6.7029	7.0237	6.5651	6.4004	6.1749	6.0546	6.7666	6.2368	7.3472	7.9352	7.4194
U133A__PTEN	6.0913	6.269	6.3825	6.7616	6.5673	6.7866	6.3073	6.2833	7.0194	7.0259	7.696	6.2325	8.17	4.6058	7.0343	7.1806	5.6098	4.8611	5.0714	5.7272	7.3598	6.9642	7.2994	7.083	7.3628	6.987	7.1792	6.1864	7.1573	6.7947	6.2051	7.5944	4.527	6.9457	7.5813	7.3894	6.3954	7.375	7.731	8.3939	9.5046
U133A__IL17RB	7.8873	5.2466	6.0934	6.843	6.2471	5.4904	7.3323	6.0119	7.4661	7.126	7.2657	7.2222	5.3553	6.507	5.8397	6.6872	5.6375	6.1953	5.9681	6.8122	5.8206	6.4179	5.8688	6.2372	5.2065	7.0024	5.0123	8.7116	8.1319	6.924	5.5917	6.0384	5.6864	4.3868	5.6571	6.3158	5.6092	6.6666	5.8909	6.2496	7.187
U133A__CTSL1	7.8798	7.8217	7.3628	6.5576	7.0167	9.757	7.4496	7.435	7.0288	6.4798	6.048	6.8949	7.4235	7.4542	8.3773	5.337	6.2641	7.0943	8.2269	7.8047	8.3916	7.4346	7.6	8.0089	8.9738	6.7347	7.4494	7.8617	7.5577	5.7749	7.5965	10.5886	7.5244	7.4769	6.9951	6.5554	7.7098	6.1703	7.8203	6.2306	6.448
U133A__CALML5	9.1843	4.9355	4.4468	7.506	5.0858	4.3927	4.4391	3.9667	7.0081	4.7674	4.4988	3.976	7.0929	6.2387	4.7763	6.2877	4.6611	5.6873	4.1746	7.6889	4.3762	4.2787	4.7548	3.9299	4.0226	5.8142	4.3322	9.4476	4.2781	8.6032	3.8489	4.0363	4.425	4.5789	10.2072	8.829	4.1725	4.0406	4.8753	4.1623	4.0767
U133A__SPRY4	9.1625	7.666	6.7206	7.0909	6.6778	6.1402	6.2326	6.2548	6.5822	6.2255	6.1928	6.858	6.8281	6.4451	6.6843	7.6043	6.3436	6.0899	6.4449	6.0177	6.9419	6.1993	6.3284	6.8972	6.7042	8.6704	9.0079	6.9669	6.9797	7.1359	7.2561	6.6597	6.6632	7.669	6.9477	7.7472	7.2227	6.3081	7.6452	6.1551	6.3391
U133A__NRIP1	5.5528	7.2417	7.4096	7.0521	7.9732	4.3597	5.9207	7.3447	6.3574	6.5283	8.4802	5.5339	7.3417	7.1886	7.2016	4.8924	7.5251	6.4286	8.3895	7.2883	5.6035	6.477	8.2701	9.7614	7.0626	7.0664	5.2151	8.0484	6.1913	8.4174	5.9009	3.7583	6.4733	5.6841	7.5076	7.1235	6.9367	7.2135	7.6569	6.1168	6.4789
U133A__STEAP1	3.7161	3.9583	3.7114	4.1853	4.1123	3.7128	3.5633	4.3669	4.1825	3.8446	3.9806	4.3958	7.2176	3.6303	4.5839	5.1658	7.2723	4.4257	6.4105	6.2642	5.633	4.0483	3.9447	3.9628	4.2744	5.8621	7.3482	3.7494	4.4603	3.6677	3.6879	8.1299	7.6142	8.5636	5.8578	6.6618	7.2567	4.7198	4.0482	3.8274	4.0184
U133A__G6PD	7.419	10.257	10.9347	7.6085	8.2352	8.511	8.3055	8.4506	7.1968	6.9496	9.2814	8.0679	9.3686	7.6264	10.5808	9.6087	7.7827	8.1939	8.8272	8.4124	9.0366	10.2266	10.4884	8.2878	7.8584	9.4783	7.5137	10.8347	8.9439	11.0569	9.6004	7.0779	9.3761	8.2127	10.0446	10.6344	8.6083	7.5745	8.9033	8.575	9.736
U133A__EGFR	6.5405	8.8087	11.1948	9.1916	5.4966	8.9985	4.6032	7.5795	8.5853	8.75	5.4451	6.1574	10.0365	8.0004	9.7369	8.7474	10.2614	7.8659	7.3722	9.5572	8.9579	5.5013	5.3316	4.5102	8.86	6.0289	9.7841	6.2142	4.6987	5.0824	8.0587	7.8138	9.152	8.0666	4.8664	8.4192	4.2139	6.1317	6.387	8.1672	4.7772
