Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__FARP1	7.4771	6.1313	8.1138	8.8341	6.541	6.6631	5.4307	8.6433	7.6265	8.0007	6.585	5.8878	7.8769	5.4775	7.1214	7.2328	7.2984	7.3103	7.3406	5.9912	5.8391	6.5233	6.071	8.236	5.4881	8.0231	7.4909	6.371	6.7873	5.9676	5.0966	5.858	4.6886	8.1285	5.8389	6.1601	7.5092	6.6622	8.4562	6.7694
U133A__ANK3	6.4478	7.308	7.5215	7.0276	2.7342	6.8733	4.2279	7.1104	5.6934	7.8747	7.0227	5.117	6.4182	4.6788	5.0538	7.3358	6.7191	6.6335	6.6594	2.6483	6.8444	5.6613	3.2294	6.2805	3.5943	7.386	7.623	2.9701	7.2424	7.0939	2.7388	3.1715	5.8833	9.1143	5.702	6.1148	6.4416	6.837	5.4545	6.6091
U133A__KIAA0020	6.2247	7.3972	6.1192	6.9578	7.8359	7.9328	6.5805	6.6593	7.9097	6.3977	7.504	7.236	7.2485	9.4969	6.4433	6.0823	8.2661	8.2978	9.0329	7.6654	7.0906	7.044	7.2368	7.1856	8.7173	6.2583	7.158	8.851	7.1276	7.242	6.6178	7.9298	8.3902	6.5087	7.1773	7.1141	6.5708	7.1869	6.6595	7.9499
U133A__TNC	5.3228	4.6808	5.0294	4.8493	6.8118	4.6548	6.2793	5.8077	9.2972	4.909	6.0354	4.8131	5.0022	8.1084	6.7858	5.3092	6.2336	9.3754	8.5657	6.5111	4.7272	7.5415	7.5353	5.0349	5.0495	6.0046	6.2086	7.7184	6.4274	4.904	7.4837	8.1507	6.8616	5.1442	7.8556	4.9164	6.5265	5.2553	5.9237	4.8657
U133A__SNAP29	6.0753	6.8847	6.6089	7.6741	7.0706	7.4019	7.2179	6.5554	7.2833	6.8021	7.1487	7.2073	7.9185	8.4478	6.9875	6.7032	7.5518	7.013	7.1292	7.5478	7.0938	7.2318	7.2566	7.0695	6.7081	7.2875	7.2888	6.7597	7.4473	6.3874	7.2314	7.0364	7.2486	6.6066	6.8386	7.0725	7.5151	7.0041	7.5015	6.7427
U133A__PITX1	9.8753	7.5732	7.034	4.5147	6.6076	8.178	5.7831	5.4193	6.9945	6.0236	7.476	7.629	9.1927	7.9791	7.0459	6.757	7.7254	6.4763	7.7318	6.1391	5.5115	5.7696	5.6804	6.1627	6.162	5.8575	9.6044	5.6066	8.1453	5.9408	5.1925	6.3959	6.8659	5.0373	8.2732	7.2836	7.4338	6.9897	7.731	7.3591
U133A__CXCR7	3.4505	3.4369	6.5177	8.9687	6.7031	3.6681	3.5324	3.4011	3.3612	7.9158	3.7108	7.6545	3.5148	3.6332	3.6488	4.1429	3.4287	3.4867	3.3762	3.7256	7.6049	4.9871	5.3976	7.5315	3.3214	6.8548	3.5821	3.2843	3.1798	3.4042	3.5035	3.4851	3.8524	8.5317	3.9559	3.1811	3.3253	3.6344	3.7854	3.5391
U133A__PBX1	10.6681	9.5764	9.4725	9.8965	7.1982	8.9231	6.5424	8.3278	6.6554	8.7516	7.3662	6.3245	8.2703	4.0816	6.8856	9.1327	6.7302	7.2431	8.0011	5.482	8.0443	8.9407	5.4143	8.5418	4.6607	8.253	8.9907	5.5921	7.7912	9.2953	7.468	4.6159	4.8149	9.5481	7.913	8.3759	9.2425	9.5066	9.3962	9.2392
U133A__TMEM45A	3.9251	5.6223	3.8356	4.4014	7.0954	4.067	4.7032	5.7298	5.2926	3.536	5.1283	6.8653	8.9616	7.9155	4.2052	6.9156	6.3791	5.8904	8.43	6.0737	4.2822	4.5262	6.6374	6.9656	5.4727	3.5937	7.3845	7.4182	8.1284	5.9107	7.7047	7.3691	5.9503	7.837	8.6357	3.6449	8.7797	4.7818	4.084	3.96
U133A__ALDH1A3	6.3501	8.1049	5.7829	5.558	5.0371	5.7541	7.5382	10.4029	6.9131	5.5586	5.9053	9.253	9.3821	11.1356	7.3345	7.2073	9.6541	7.0172	8.7778	6.3367	5.9722	5.3213	6.7306	7.3828	5.8164	5.5605	7.0272	8.8539	10.554	7.2823	5.5688	9.2197	5.8794	5.5785	4.9809	5.821	6.1372	6.0094	6.5869	5.9709
U133A__ALDOC	6.5777	8.3205	6.6705	8.4622	5.9173	6.748	8.2793	8.3786	7.6054	6.2571	8.268	6.8246	5.9627	7.5516	9.5103	6.3166	7.6059	5.9395	5.9531	6.084	7.7475	7.8802	5.3038	6.7481	7.1603	6.11	6.5345	6.252	5.4054	8.8374	6.2906	6.7714	6.409	6.929	6.3134	7.7955	11.3442	6.2557	6.4764	6.2591
