Cell lines	600MPE	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC38	HCC70	LY2	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	UACC812	ZR751	ZR75B
U133A__EMP3	4.327	4.4028	4.2731	4.2246	9.9908	4.5129	5.9249	4.8069	4.4271	6.169	4.4585	4.1728	4.8236	9.0618	5.7623	4.4979	4.5679	9.169	4.2846	9.3624	4.4717	4.519	4.3967	4.5344	9.6246	8.36	9.3993	5.4208	4.3435	4.3907	4.1567	4.2003	4.5004
U133A__P4HA1	5.7618	6.1237	8.818	8.1603	9.0919	7.1902	6.5065	6.6997	6.2185	7.4434	5.8957	7.3668	6.2182	7.365	7.7865	6.5969	7.498	7.5294	7.6432	7.5739	7.4626	7.2203	7.9305	9.3707	8.5351	7.5698	7.0624	8.8927	7.9661	6.1585	9.5099	10.0873	8.6853
U133A__FMOD	10.2579	5.9785	7.7497	5.8143	6.0435	6.017	6.1908	6.5752	6.0804	5.7981	5.9072	6.5648	6.206	6.0219	5.7453	6.1173	6.0289	6.2904	6.6446	5.5456	8.228	6.7226	7.1044	6.1881	6.4336	6.3553	5.7729	6.0522	6.3879	9.243	5.7972	8.2792	6.1841
U133A__GJA1	2.8251	2.9544	2.9839	5.4689	10.2343	2.855	3.0983	8.3065	2.8297	7.2101	2.6602	2.7479	2.9591	7.2452	2.8227	3.0721	4.9732	7.1043	2.9603	7.1958	2.8845	2.8895	2.7177	2.747	10.3929	2.8106	7.9029	2.7828	2.8426	2.8623	2.8055	2.7005	9.3974
U133A__C2orf54	7.7605	6.5213	6.8355	6.3039	5.7915	6.2505	6.405	6.3454	6.0255	5.9557	6.8201	6.0669	7.6327	6.0383	5.8493	6.2292	6.1992	5.841	7.4306	6.0411	7.0844	6.0172	7.549	8.1948	6.0615	6.1171	6.017	6.361	7.3656	7.5534	8.6595	8.4196	6.0049
U133A__KRT7	10.1211	11.0859	10.6804	10.0912	3.555	8.9173	9.7258	4.8813	7.8858	9.3769	10.4135	11.0505	10.5188	9.5229	9.7402	6.1713	8.418	4.0198	10.127	8.702	10.5889	10.3833	9.0756	10.8183	3.5269	11.4685	10.7265	10.5658	11.6066	9.6603	10.3015	6.8825	5.5108
U133A__FAM46A	5.9224	6.9012	6.4989	6.5939	10.377	6.3097	7.2304	5.9835	7.5642	6.5371	6.9581	7.4695	6.0447	7.0531	7.658	7.1067	9.2415	8.8317	7.2835	6.583	7.8299	6.9538	7.1539	6.7306	7.5647	6.494	6.2832	6.2753	7.3458	5.9477	7.6666	7.0118	6.554
U133A__DNM1	5.6161	5.4321	5.8578	5.8727	6.6942	5.6352	6.4943	5.9955	6.2088	7.913	6.0178	5.36	6.3878	8.6169	8.4682	5.5244	6.3168	7.6517	5.6249	5.6326	6.4587	6.9409	5.6904	5.7951	5.5233	6.324	5.5619	5.3328	5.261	5.5189	5.462	5.8005	8.0049
U133A__ST14	6.2778	6.1897	6.5451	6.0697	3.9898	6.2206	6.3367	6.6181	4.9063	6.9803	7.7047	7.101	7.1576	4.7531	6.3258	6.126	5.9004	4.5615	6.1623	3.929	6.3002	6.4807	6.4503	7.2871	4.9825	6.7263	4.1953	5.3351	6.6592	5.1746	7.4472	5.7941	6.2579
U133A__LRIG1	8.4873	5.1965	6.714	7.3323	3.8294	5.7543	4.6329	7.1662	4.7873	4.9515	5.9472	4.8144	5.5033	4.0003	5.209	5.4309	6.6869	4.104	7.4281	4.2748	8.0802	5.1363	8.3706	5.1384	5.4354	5.9374	4.1727	5.8208	8.3873	5.0683	6.743	6.956	6.6563
U133A__EPHX1	9.2984	9.1923	8.1169	8.3973	7.1109	8.2915	7.4411	8.4953	9.9386	8.5795	9.9609	8.4863	7.8213	9.4613	8.7891	7.0555	8.3233	9.6453	8.6387	6.3209	8.6889	7.9022	8.9822	9.2182	9.6237	8.4249	7.4054	8.0834	11.2866	9.5756	7.9728	8.159	7.221
U133A__PEG10	4.364	3.9906	8.1281	9.6016	8.1486	3.9172	3.9805	9.5011	7.9792	6.1931	5.5066	5.5936	8.8792	6.139	5.9425	3.7702	8.6599	8.9766	8.8855	7.1709	6.8148	5.9734	10.1885	7.2019	6.7001	6.6294	7.5611	7.2204	8.3068	5.4518	9.6121	7.1904	7.0366
U133A__PRODH	7.029	5.8233	8.8993	6.2647	5.8303	8.8246	7.1422	6.391	6.1094	5.6095	6.9142	6.0079	8.4251	6.0604	5.6111	6.283	6.2947	5.8934	8.895	5.9198	9.8687	8.7783	9.8905	7.0932	6.1111	6.2748	5.5846	7.0003	9.5521	8.7129	6.463	8.3004	8.9385
U133A__GGT1	6.3598	6.1146	6.9381	7.2095	5.218	6.6358	5.9838	5.8938	6.2897	5.7906	5.633	5.6301	6.5264	5.836	5.2491	5.6221	7.1572	5.3165	6.8532	5.7474	9.3288	5.4845	6.6688	7.0597	5.7279	5.4076	5.5316	5.1897	6.2766	6.0135	6.6745	7.9471	5.6866
