Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__UPF3B	5.4087	7.4007	8.996	6.0208	6.4356	8.5935	6.8089	6.8336	6.7156	8.967	5.7916	6.9372	7.1397	6.7902	7.4767	4.349	6.9753	7.8309	7.9876	7.8404	6.1483	7.3708	7.4787	6.5789	7.2884	5.6376	7.2472	6.0651	7.2458	7.3178	6.6988	6.1282	5.6486	6.551	5.1739	6.9342	6.3386	5.4531	5.4613	6.7386
U133A__CA12	9.2856	6.8362	5.5018	6.6024	10.0646	4.94	9.4907	5.492	5.3522	5.2704	9.9923	5.8997	5.8965	5.9293	4.8096	8.2238	5.138	5.3006	5.185	5.1204	6.4199	7.0757	8.7923	10.1694	5.1916	8.8035	5.7859	7.8998	10.1217	9.7319	8.5665	7.398	5.5183	8.3814	7.6774	4.9204	8.1588	9.8759	8.016	9.0498
U133A__FXYD5	9.4366	8.8706	10.2383	6.3544	6.9093	10.5229	6.5905	8.4872	9.7949	7.3967	6.6968	9.5407	10.4388	9.0421	11.5641	7.4501	7.8566	10.3211	8.4657	10.2902	9.5227	6.2427	6.8433	6.25	10.5826	6.4736	9.5884	6.6844	7.9084	8.14	8.7157	7.1906	10.2745	9.6556	8.4212	8.9687	6.5669	8.3634	6.2665	6.3151
U133A__TP53I3	6.4026	6.6763	8.2514	6.3293	5.9343	7.1322	6.819	8.4069	7.1618	6.3678	6.5144	7.206	6.7321	7.3316	7.6571	8.1537	5.8259	8.1345	6.9746	6.8374	7.2446	6.7114	7.2028	7.7129	7.0884	6.1951	7.7591	7.3	6.3167	7.4749	6.4755	7.6138	7.5304	7.6483	5.9188	5.8959	6.2309	11.9441	6.4171	6.7233
U133A__FANCG	5.7529	6.8231	6.2545	7.6	6.4537	7.0761	7.065	6.7387	6.4867	7.2667	6.451	6.1187	6.9206	6.517	6.4031	6.6078	9.5935	6.5269	6.0361	7.6104	6.1079	6.78	6.4459	6.9052	6.4125	6.4774	6.8825	6.9184	6.8003	7.3341	6.1179	6.1296	6.6838	6.6105	5.5828	5.7232	5.3223	6.4065	5.9315	7.0228
U133A__PYCARD	8.3425	4.2244	4.7298	5.4701	7.3246	4.447	5.1843	4.6586	5.0099	4.8594	5.9409	5.1793	7.5264	9.1393	4.5935	6.2451	6.2626	4.5237	6.4245	5.2816	5.108	6.9726	6.9218	7.3557	4.5675	7.1603	4.9364	7.8265	8.0508	7.5019	4.0792	4.5829	7.3411	4.6416	7.1454	5.9713	7.4295	5.4483	5.9965	6.5847
U133A__ELMO3	5.9066	5.7889	8.5436	6.3025	7.6556	5.2339	6.9758	5.5863	7.0401	5.4423	6.5243	5.5475	5.3853	6.8982	5.5113	7.6866	5.2542	6.1292	5.5702	7.6032	5.6752	6.3077	6.383	5.9392	5.4442	6.9119	4.9135	8.2494	7.547	7.8003	5.5882	5.0385	7.7912	5.3956	5.9363	8.1509	5.2154	7.257	7.128	7.3481
U133A__GADD45A	5.3909	6.2445	7.9181	7.5063	5.2446	7.3392	5.1443	8.6309	7.1551	6.8213	5.8339	6.7283	7.7482	8.4893	7.405	6.8995	5.0377	8.008	6.8747	8.2273	9.7214	5.0571	5.8846	7.9334	7.5512	5.2269	6.8579	6.8197	6.6866	6.5109	5.6789	8.471	7.4893	9.3585	5.2882	7.4148	7.1867	5.4167	6.5311	5.8262
U133A__FARP1	7.4771	6.1313	6.2527	8.1138	8.8341	6.541	6.6631	5.4307	8.6433	7.6265	8.0007	6.585	5.8878	7.8769	5.4775	7.1214	7.2328	7.2984	7.3103	7.3406	5.9912	5.3448	5.8391	6.5233	6.071	8.236	5.4881	8.0231	7.4909	5.6239	5.9676	5.0966	5.858	4.6886	8.1285	7.9765	5.8389	6.1601	6.6622	6.7694
U133A__MID1	6.1037	7.7529	6.9934	5.4843	4.4567	8.6155	4.4247	8.1964	5.3266	5.9754	4.3322	6.3817	6.6804	7.4209	6.1697	4.5019	9.0976	7.9875	6.0331	7.592	5.0431	4.6781	4.4599	4.4484	8.0006	4.8053	6.7265	5.0984	5.5412	3.9749	6.4367	6.5315	5.246	6.0018	5.3356	5.5969	5.4337	5.7925	5.3807	5.5598
U133A__TPD52L1	7.5691	7.9725	8.419	7.606	7.9326	4.9533	6.9205	4.5253	7.7398	7.015	9.1963	6.7747	6.7627	9.2769	7.7655	6.3176	7.331	7.9275	6.0534	8.7119	4.9874	8.7672	9.101	8.1636	4.4448	7.2668	4.8542	8.9955	10.0234	6.5342	8.4437	4.5276	7.166	5.6365	8.1106	8.9222	9.7928	8.0223	7.4465	7.8597
U133A__IL17RB	7.8873	5.2466	6.0934	6.843	6.2471	5.4904	7.3323	6.0119	7.4661	7.126	7.2657	7.2222	5.3553	6.507	5.8397	6.6872	5.6375	6.1953	5.9681	6.8122	5.8206	6.4179	5.8688	6.2372	5.2065	7.0024	5.0123	8.7116	8.1319	6.924	5.5917	6.0384	5.6864	4.3868	5.6571	6.3158	5.6092	6.6666	6.2496	7.187
U133A__DENND2D	7.4958	7.4556	4.9648	5.7265	8.5326	4.6513	8.6196	5.1985	5.5103	5.2798	7.1097	6.1298	6.2403	6.9926	5.5069	6.1241	4.5585	4.9996	6.5644	7.7754	5.2324	7.2123	6.653	7.6433	4.7386	6.6939	5.02	7.1371	7.3444	6.518	7.5157	5.1945	4.5415	4.1664	5.338	7.6249	7.0955	6.6906	6.7653	6.5483
U133A__IGFBP3	5.6494	4.871	4.8198	5.2836	5.3476	10.6212	4.8745	6.3437	10.6165	6.9528	5.2737	5.3532	11.0036	11.5055	9.3428	8.2413	11.644	9.1924	11.6705	11.6134	10.2776	5.4442	5.6197	9.3685	7.9102	6.1709	6.3213	6.7394	5.1851	9.1549	6.1615	10.0354	6.1315	5.5192	8.1578	7.2412	5.9969	5.2047	5.0017	4.7505
U133A__PPP1R3D	6.0376	6.2841	6.5806	5.8836	8.9569	5.5115	7.3522	4.8917	5.3847	5.2179	8.4079	6.0031	6.2885	6.1268	6.9745	5.6122	6.7862	5.4457	5.3754	5.7838	5.1445	6.6139	6.9967	9.3097	5.3464	7.7236	5.2928	7.7316	6.1594	7.5285	6.4306	4.8825	6.1016	4.8641	8.1589	6.6839	6.8287	5.7656	7.205	6.5275
U133A__PBX1	10.6681	9.5764	5.7993	9.4725	9.8965	7.1982	8.9231	6.5424	8.3278	6.6554	8.7516	7.3662	6.3245	8.2703	4.0816	6.8856	9.1327	6.7302	7.2431	8.0011	5.482	7.1916	8.0443	8.9407	5.4143	8.5418	4.6607	8.253	8.9907	9.1773	9.2953	7.468	4.6159	4.8149	9.5481	8.6203	7.913	8.3759	9.5066	9.2392
